,Foreign Exchange Reserves: USD mn: Annual: Egypt
Region,Egypt
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,USD MN
Source,CEIC Data
Status,Active
Series ID,409142337
SR Code,SR197292157
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1950
Last Obs. Date,2022
Last Update Time,04/01/2023
Series remarks,
Suggestions,
Mean,14808.493181818183
Variance,137001334.82251057
Standard Deviation,11704.756931372414
Skewness,0.483225268547942
Kurtosis,-0.773569618972819
Coefficient Variation,0.7904083682020717
Min,529
Max,40027.1
Median,13190.55
No. of Obs,44
1979,529
1980,1046
1981,688
1982,698
1983,739
1984,736
1985,792
1986,829
1987,1378
1988,1263
1989,1520
1990,2683
1991,5324
1992,10677
1993,12761
1994,13315.9
1995,15998
1996,17198
1997,18479
1998,17888
1999,14278
2000,12913
2001,12891
2002,13151
2003,13400
2004,13446.7
2005,20686.2
2006,24392.7
2007,30932.4
2008,31795.8
2009,30145.4
2010,31550.7
2011,13230.1
2012,9558.6
2013,12343
2014,10796.8
2015,12123.4
2016,19735.3
2017,32072.4
2018,37642
2019,40027.1
2020,33422.6
2021,32050.4
2022,24447.2
