Date,Reserves,GDP in mil USD,FER/GDP
2004-12-31,13446.7,21078.9,0.6379222824720455
2005-01-31,14662.8,22290.44,0.6578066650994776
2005-02-28,15455.4,22712.19,0.6804891998525902
2005-03-31,16149.2,23017.24,0.7016132255648375
2005-04-30,16589.8,23022.19,0.7206004294117979
2005-05-31,16882.7,23059.82,0.7321262698494612
2005-06-30,17392.2,23482.76,0.7406369609023812
2005-07-31,18336.4,24608.7,0.7451185962687993
2005-08-31,18798.9,25816.23,0.7281814579433171
2005-09-30,19571.0,26603.12,0.7356655911035999
2005-10-31,19648.1,26570.92,0.7394587767378773
2005-11-30,19781.6,26039.55,0.7596751863991504
2005-12-31,20686.2,25634.78,0.8069583589170651
2006-01-31,20596.7,25763.08,0.7994657471078769
2006-02-28,21103.2,26170.84,0.8063631125328802
2006-03-31,21438.1,26707.32,0.802705026187577
2006-04-30,21858.3,27075.85,0.8072987551637345
2006-05-31,21848.0,27490.42,0.794749589129595
2006-06-30,20834.2,28385.42,0.7339754000469255
2006-07-31,20959.2,29824.44,0.7027525076749136
2006-08-31,23002.6,31316.65,0.7345166229465795
2006-09-30,23411.6,32386.76,0.7228756442447469
2006-10-31,23867.2,32614.01,0.7318082014447166
2006-11-30,24578.5,32366.38,0.7593836567450546
2006-12-31,24392.7,32010.49,0.7620220746386575
2007-01-31,25655.1,31910.02,0.803982573498857
2007-02-28,26139.1,32020.25,0.8163302909877342
2007-03-31,26071.3,32175.44,0.8102857334662712
2007-04-30,26437.8,32420.93,0.8154547078075798
2007-05-31,27421.8,32867.74,0.8343074394527887
2007-06-30,27843.5,33754.39,0.8248852964014459
2007-07-31,28857.9,35512.66,0.8126087992282188
2007-08-31,28977.0,37474.41,0.7732476642060542
2007-09-30,29005.6,39040.85,0.7429551354542742
2007-10-31,30438.1,40226.69,0.7566642942782515
2007-11-30,31404.8,40407.92,0.7771941738154302
2007-12-31,30932.4,40108.5,0.7712180709824601
2008-01-31,32173.8,40343.35,0.7974994639760952
2008-02-29,32783.2,40523.04,0.8090014964326466
2008-03-31,33267.6,40859.23,0.8142003654988114
2008-04-30,33710.4,40961.09,0.8229859117518602
2008-05-31,34066.3,41668.48,0.8175556199794185
2008-06-30,34303.3,43065.42,0.7965393115868835
2008-07-31,33623.8,46269.38,0.7266965755754671
2008-08-31,33476.4,49360.66,0.6782000078605107
2008-09-30,33285.1,50349.91,0.6610756603139906
2008-10-31,32429.3,48697.87,0.6659285098095665
2008-11-30,31693.6,46970.18,0.6747600285968671
2008-12-31,31795.8,45199.28,0.7034581081822542
2009-01-31,30927.5,44546.1,0.6942807563400613
2009-02-28,30397.1,44548.77,0.6823330924737092
2009-03-31,29513.5,44627.66,0.6613275264712511
2009-04-30,28529.3,45174.86,0.6315304574269848
2009-05-31,28508.7,45927.18,0.6207370014880078
2009-06-30,28559.4,47700.53,0.5987229072716802
2009-07-31,28879.2,50847.32,0.567959137276065
2009-08-31,29092.3,54309.98,0.5356713443827451
2009-09-30,29864.5,56358.7,0.5299004412805831
2009-10-31,30369.8,56564.36,0.5369069852465403
2009-11-30,30364.7,55300.95,0.5490809832380819
2009-12-31,30145.4,53442.62,0.5640703992431508
2010-01-31,30410.7,53211.05,0.5715109925476005
2010-02-28,30673.0,52910.15,0.5797186362163025
2010-03-31,31077.8,53260.47,0.5835059285057004
2010-04-30,31230.6,53197.94,0.5870640855642154
2010-05-31,31254.3,53164.22,0.5878822260535375
2010-06-30,30826.6,54524.65,0.5653699748645795
2010-07-31,30842.7,57794.04,0.5336657551539916
2010-08-31,31095.7,61537.17,0.50531573031389
2010-09-30,31068.4,63912.28,0.48611002455240215
2010-10-31,31045.5,63626.08,0.48793670771482384
2010-11-30,31112.4,61638.95,0.5047522710883298
2010-12-31,31550.7,58810.34,0.5364821900366501
2011-01-31,30514.9,56525.94,0.5398388775135805
2011-02-28,28822.4,54264.0,0.5311514079315938
2011-03-31,25593.0,53322.09,0.4799699336616401
2011-04-30,23473.0,53535.32,0.4384581991851361
2011-05-31,22773.0,55476.95,0.41049480910540326
2011-06-30,21443.2,58739.5,0.3650558823279054
2011-07-31,20739.3,63406.14,0.3270866196869893
2011-08-31,20051.1,68341.6,0.2933952380394957
2011-09-30,19096.1,71708.54,0.26630161484252785
2011-10-31,17123.5,73025.21,0.23448751465418585
2011-11-30,15246.0,72042.68,0.21162455366735386
2011-12-31,13230.1,70199.34,0.18846473485363255
2012-01-31,11458.6,68475.93,0.16733763236220378
2012-02-29,10816.0,67369.87,0.16054654699496973
2012-03-31,10224.4,66688.74,0.1533152373249217
2012-04-30,10311.2,66715.4,0.1545550202801752
2012-05-31,10653.7,67677.6,0.1574184072721255
2012-06-30,10109.0,69619.83,0.14520288256952077
2012-07-31,9006.0,72773.54,0.12375377094476922
2012-08-31,9700.6,75990.95,0.12765467466849673
2012-09-30,9591.6,78259.44,0.12256157212471748
2012-10-31,10038.7,78782.0,0.1274237770048996
2012-11-30,9591.4,78076.08,0.122846843745229
2012-12-31,9558.6,75850.89,0.12601829721444271
2013-01-31,8162.6,69990.59,0.11662424905976647
2013-02-28,8086.7,67398.37,0.1199836138470411
2013-03-31,8020.1,66038.29,0.12144620946423659
2013-04-30,9007.2,64768.55,0.1390674949493234
2013-05-31,10636.2,64633.1,0.16456273952510403
2013-06-30,10354.0,66676.18,0.15528784042517135
2013-07-31,14291.1,70922.01,0.20150444128698555
2013-08-31,14321.3,75947.3,0.18856891555065156
2013-09-30,14092.9,80130.06,0.17587532069737624
2013-10-31,13958.3,80954.52,0.17242150283887792
2013-11-30,13034.7,79609.29,0.16373340347590087
2013-12-31,12343.0,77413.29,0.1594429070253958
2014-01-31,12348.9,75429.92,0.16371355027288906
2014-02-28,12361.6,74533.96,0.16585191501967692
2014-03-31,12562.0,73629.84,0.1706101765262562
