Date,Foreign Exchange Reserves USD mn,GDP in mil USD,FER/GDP,FER/GDP MA3
2010-03-31,40667.03,85109.76,0.4778186426562594,
2010-04-30,40322.01,85244.76,0.4730145289868844,
2010-05-31,38815.79,85651.6,0.4531823106631983,0.46800516076878074
2010-06-30,37468.44,87265.76,0.4293601522521548,0.45185233063407915
2010-07-31,37155.19,90161.57,0.4120956411916961,0.4315460347023497
2010-08-31,36769.65,93460.69,0.3934236950315689,0.41162649615847324
2010-09-30,34589.01,95977.18,0.3603878546962935,0.3886357303065195
2010-10-31,33597.017,97998.42,0.3428322313767916,0.36554792703488465
2010-11-30,33059.299,99667.73,0.3316951133531385,0.3449717331420745
2010-12-31,32339.252,99554.5,0.3248396807778654,0.33312234183593187
2011-01-31,33131.83,98221.44,0.3373176976432029,0.33128416392473564
2011-02-28,33246.07,97143.46,0.3422368320008366,0.334798070140635
2011-03-31,33221.8,96355.14,0.3447849279239281,0.3414464858559892
2011-04-30,32835.33,95995.5,0.3420507211275528,0.3430241603507725
2011-05-31,32100.81,96786.56,0.3316659875090095,0.33950054552016345
2011-06-30,31890.91,98740.48,0.3229770606746088,0.33223125643705703
2011-07-31,32521.71,102535.96,0.3171737017920347,0.32393891665855096
2011-08-31,32914.97,104381.28,0.3153340330756626,0.3184949318474353
2011-09-30,31740.23,105479.26,0.300914416729886,0.31114071719919445
2011-10-31,32594.69,110354.47,0.2953635679642156,0.3038706725899214
2011-11-30,32125.22,111347.86,0.2885122354394597,0.29493007337785376
2011-12-31,32639.78,110544.04,0.295264945988947,0.2930469164642074
2012-01-31,34136.57,108814.41,0.3137136892071555,0.2991636235451874
2012-02-29,33857.37,106828.78,0.3169311677995386,0.308636600998547
2012-03-31,35197.44,105769.69,0.3327743515179065,0.32113973617486685
2012-04-30,36660.89,107496.97,0.3410411474853663,0.33024888893427046
2012-05-31,36839.53,110933.83,0.3320856225733845,0.3353003738588858
2012-06-30,35412.5,114195.09,0.3101052768555986,0.32774401563811645
2012-07-31,36285.322,116472.51,0.3115355030985423,0.31790880084250844
2012-08-31,39509.81,117940.36,0.3349982143517283,0.318879664768623
2012-09-30,40640.4,119278.73,0.3407179134117206,0.32908387695399705
2012-10-31,42167.41,121033.9,0.3483933840023333,0.3413698372552607
2012-11-30,42568.26,122422.85,0.3477149894811304,0.34560876229839477
2012-12-31,43830.42,122356.81,0.3582180673065929,0.35144214693001885
2013-01-31,45824.4437528,120436.69,0.3804857452724747,0.3621396006867326
2013-02-28,47295.84557399,118393.01,0.3994817394539594,0.37939518401100897
2013-03-31,47884.12451848,117846.26,0.4063270613635087,0.3954315153633143
2013-04-30,47903.09,120388.55,0.3979040365549713,0.40123761245747974
2013-05-31,47702.88,124711.94,0.3825045140024283,0.3955785373069694
2013-06-30,44957.0,128380.13,0.3501865904014897,0.3768650469862964
2013-07-31,45834.11,130084.05,0.352342274091251,0.361677792831723
2013-08-31,45428.84,130695.4,0.3475932588293084,0.35004070777401636
2013-09-30,44108.48,131807.27,0.3346437567518089,0.3448597632241228
2013-10-31,44155.11,134394.22,0.3285491742129982,0.33692872993137185
2013-11-30,43414.2,137171.28,0.3164962811457325,0.3265630707035132
2013-12-31,42847.31,137878.62,0.310761088267347,0.3186021812086926
2014-01-31,40667.56,135289.1,0.3005974612884556,0.30928494356717834
2014-02-28,36923.613,131921.33,0.2798911517947856,0.29708323378352935
2014-03-31,37399.22,129926.42,0.2878492303566896,0.28944594781331023
2014-04-30,37105.27,131681.6,0.281780218344856,0.28317353349877705
2014-05-31,35398.1,135876.35,0.2605170068227472,0.27671548517476424
2014-06-30,37330.03,140016.94,0.2666108115203774,0.26963601222932687
2014-07-31,39065.42,142719.08,0.2737224763500437,0.2669500982310561
2014-08-31,38705.71,144792.79,0.2673179375851518,0.26921707515185767
2014-09-30,38278.62,147727.03,0.2591172380572465,0.266719217330814
2014-10-31,36280.25,152452.93,0.2379767315721646,0.254803969071521
2014-11-30,35248.66,153606.55,0.2294736780430262,0.24218921589081244
2014-12-31,34241.54,144512.62,0.2369449809988913,0.23479846353802736
2015-01-31,32385.71,138443.98,0.2339264589186181,0.23344837265351184
2015-02-28,29566.96,123253.86,0.239886685901764,0.23691937527309115
2015-03-31,29357.21,107044.32,0.2742528515291609,0.24935533211651437
2015-04-30,29829.75,107713.15,0.276936938526076,0.2636921586523337
2015-05-31,28566.54,111865.25,0.2553656296302918,0.2688518065618429
2015-06-30,28335.21,116378.95,0.2434736694221764,0.25859207919284805
2015-07-31,31222.81,119171.0,0.262000067130426,0.25361312206096476
2015-08-31,30637.17,121084.53,0.2530229914589419,0.2528322426705148
2015-09-30,29880.21,123733.52,0.2414884018493937,0.2521704868129206
2015-10-31,30336.36,128150.02,0.2367253629769234,0.2437455854284197
2015-11-30,29263.02,131834.65,0.2219675934968538,0.23339378610772363
2015-12-31,28284.82,131968.39,0.2143302649975497,0.22434107382377566
2016-01-31,27607.85,126479.58,0.218279108769969,0.2181923224214575
2016-02-29,27811.82,119169.42,0.2333805098657021,0.22199662787774024
2016-03-31,27336.38,113156.82,0.2415796060723516,0.23107974156934089
2016-04-30,26614.81,112241.67,0.2371205809749623,0.23736023230433867
2016-05-31,26594.39,115248.31,0.2307573100204246,0.23648583235591283
2016-06-30,26505.5,101822.48,0.260310886161877,0.24272959238575462
2016-07-31,25581.58,83231.85,0.3073532547936877,0.2661404836586631
2016-08-31,25031.93,82273.72,0.3042518315690599,0.29063865750820816
2016-09-30,23806.51,87085.78,0.2733685109095882,0.2949911990907786
2016-10-31,23689.87,91408.27,0.259165500014386,0.2789286141643447
2016-11-30,25081.22,94814.12,0.2645304306995625,0.26568814720784556
2016-12-31,26990.58,95724.14,0.2819621048567268,0.2685526785235584
2017-01-31,28592.98,92979.62,0.3075187874504111,0.28467044100223343
2017-02-28,29990.36,88948.21,0.3371665376964865,0.30888247666787483
2017-03-31,29996.38,85087.79,0.3525344823270178,0.3324066024913051
2017-04-30,30749.28,84515.1,0.3638317886389532,0.35117760288748584
2017-05-31,29811.85,86201.02,0.3458410352916937,0.3540691020858882
2017-06-30,30340.97,88562.79,0.3425927525544306,0.3507551921616925
2017-07-31,30898.96,90939.09,0.3397764371734971,0.34273674167320706
2017-08-31,31278.95,93462.77,0.3346674831058399,0.33901222427792255
2017-09-30,33159.73,96197.24,0.3447056277290284,0.33971651600278846
2017-10-31,34332.58,99661.4,0.344492250761077,0.3412884538653151
2017-11-30,38207.96,102106.69,0.374196440997157,0.3544647731624208
2017-12-31,39353.49,102270.54,0.3847979095446254,0.3678288671009531
2018-01-31,41150.28,99534.31,0.4134280932876312,0.3908074812764712
2018-02-28,45276.58,95802.13,0.4726051498019929,0.4236103842114165
2018-03-31,46730.54,93168.01,0.5015728037982136,0.4625353489626125
2018-04-30,47438.22155668,93878.99,0.5053124405863335,0.4931634647288467
2018-05-31,46923.01269813,96902.79,0.4842276749527026,0.4970376397790832
2018-06-30,47157.89590357,100532.36,0.4690817554026385,0.4862072903138916
2018-07-31,45814.2,103657.69,0.4419758919960496,0.4650951074504636
2018-08-31,44606.79,106291.87,0.4196632348268969,0.4435736274085283
2018-09-30,42608.95,109127.94,0.3904495035826755,0.417362876801874
2018-10-31,40606.28693469,112579.13,0.3606910706690485,0.39026793635954027
2018-11-30,43348.25349663,115077.59,0.3766871855469862,0.37594258659957003
2018-12-31,42594.84285275,114974.9,0.3704707971283297,0.3692830177814548
2019-01-31,42515.66,111285.49,0.3820413604684672,0.37639978104792776
2019-02-28,42328.96,106873.57,0.3960657438504206,0.38285930048240585
2019-03-31,44793.08,103858.59,0.4312891211020677,0.4031320751403185
2019-04-30,44474.29116559,105164.97,0.4229002410744756,0.416751702008988
2019-05-31,44898.41625592,109471.03,0.4101397077922807,0.4214430233229413
2019-06-30,44747.02462492,114217.26,0.3917711265785924,0.4082703584817829
2019-07-31,43971.93,117913.68,0.3729162723103884,0.39160903556042054
2019-08-31,42062.42,120712.7,0.3484506601210974,0.37104601967002604
2019-09-30,40689.89,123382.69,0.3297860502149856,0.3503843275488238
2019-10-31,39614.79988852,126522.74,0.3131041889269865,0.33044696642102317
2019-11-30,38799.55434096,128899.24,0.3010068510951655,0.31463236341237916
2019-12-31,38092.72020072,129147.79,0.2949544874187936,0.3030218424803152
2020-01-31,36730.57325384,126180.5,0.2910954803146286,0.2956856062761959
2020-02-29,36599.88995038,121562.63,0.3010784642482644,0.29570947732722885
2020-03-31,33689.05331424,109307.64,0.308204013134306,0.30012598589906636
2020-04-30,36459.47800102,95553.0,0.3815628813435475,0.3302817862420393
2020-05-31,36203.16598699,93837.06,0.3858088263527225,0.35852524027685867
2020-06-30,35779.67803,94377.8,0.3791111684103677,0.38216095870221256
2020-07-31,35559.80419848,97514.63,0.3646612226132632,0.37652707245878453
2020-08-31,35511.92622709,98145.14,0.3618307154800533,0.3685343688345614
2020-09-30,35964.52684048,103002.53,0.3491615870064551,0.35855117503325723
2020-10-31,35580.47865929,108708.91,0.3273004821710566,0.34609759488585495
2020-11-30,34938.19920454,113011.46,0.3091562502116156,0.32853943979637573
2020-12-31,36476.89169057,114793.17,0.317761864147231,0.3180728655099678
2021-01-31,35440.8751485,113054.94,0.3134836491753479,0.3134672545113982
2021-02-28,34461.45837489,109590.97,0.3144552728649997,0.31523359539585954
2021-03-31,35137.83950442,105440.01,0.3332495843316024,0.32039616879064997
2021-04-30,34320.72712804,102644.75,0.3343641747682175,0.3273563439882732
2021-05-31,34180.21175483,97183.0,0.3517097821103485,0.3397745137367228
