Date,GDP in mil Local,US/Local,GDP in mil USD
1995-03-31,1461.3,0.18,8118.33
1995-04-30,1490.0196886130561,0.19,7842.21
1995-05-31,1551.40985677012,0.19,8165.32
1995-06-30,1672.2,0.2,8361.0
1995-07-31,1874.2757430948593,0.2,9371.38
1995-08-31,2096.619856922801,0.2,10483.1
1995-09-30,2259.1,0.21,10757.62
1995-10-31,2317.9801259490177,0.22,10536.27
1995-11-30,2291.0902023373346,0.24,9546.21
1995-12-31,2218.0,0.26,8530.77
1996-01-31,2136.6626876258033,0.26,8217.93
1996-02-29,2072.0511124294626,0.28,7400.18
1996-03-31,2031.4,0.29,7004.83
1996-04-30,2040.462927904592,0.29,7036.08
1996-05-31,2141.7143769065733,0.29,7385.22
1996-06-30,2373.7,0.3,7912.33
1996-07-31,2764.5864009831025,0.31,8918.02
1996-08-31,3185.589252831627,0.31,10276.09
1996-09-30,3472.9,0.32,10852.81
1996-10-31,3545.871236353148,0.33,10745.06
1996-11-30,3505.2813643883505,0.35,10015.09
1996-12-31,3509.7,0.37,9485.68
1997-01-31,3680.616129712382,0.5,7361.23
1997-02-28,3931.9092954583734,0.69,5698.42
1997-03-31,4223.9,0.72,5866.53
1997-04-30,4465.977128984107,0.7,6379.97
1997-05-31,4779.763423278589,0.71,6732.06
1997-06-30,5286.4,0.72,7342.22
1997-07-31,6100.925247537643,0.72,8473.51
1997-08-31,7030.230575201288,0.74,9500.31
1997-09-30,7806.3,0.75,10408.4
1997-10-31,8283.623198865156,0.77,10757.95
1997-11-30,8403.006729639483,0.78,10773.09
1997-12-31,8183.5,0.8,10229.38
1998-01-31,7673.614670459245,0.83,9245.32
1998-02-28,7166.470680368375,0.82,8739.6
1998-03-31,6822.7,0.82,8320.37
1998-04-30,6912.865477705677,0.84,8229.6
1998-05-31,7399.500813326958,0.85,8705.3
1998-06-30,8144.7,0.86,9470.58
1998-07-31,9079.451963066305,0.87,10436.15
1998-08-31,10031.539293075872,0.88,11399.48
1998-09-30,10819.8,0.91,11889.89
1998-10-31,11354.646852799,0.94,12079.41
1998-11-30,11511.98077167043,0.99,11628.26
1998-12-31,11220.5,1.05,10686.19
1999-01-31,10486.28266021724,1.14,9198.49
1999-02-28,9793.641723968974,1.23,7962.31
1999-03-31,9479.8,1.41,6723.26
1999-04-30,9972.300532703657,1.48,6738.04
1999-05-31,11082.707811924953,1.52,7291.26
1999-06-30,12382.3,1.58,7836.9
1999-07-31,13654.218761297816,1.59,8587.56
1999-08-31,14821.39680108559,1.61,9205.84
1999-09-30,15883.2,1.64,9684.88
1999-10-31,16879.619088812222,1.67,10107.56
1999-11-30,17478.899134179075,1.74,10045.34
1999-12-31,17381.1,1.8,9656.17
2000-01-31,16408.040201549153,1.84,8917.41
2000-02-29,15273.621977875642,1.87,8167.71
2000-03-31,14621.4,1.92,7615.31
2000-04-30,15110.720014080527,1.98,7631.68
2000-05-31,16478.49516754776,2.04,8077.69
