Date,Ticker,Reserves,Annual_Percent_Change
01/31/1995,HUE0081MEU,753840,
02/28/1995,HUE0081MEU,753070,
03/31/1995,HUE0081MEU,798870,
04/30/1995,HUE0081MEU,767370,
05/31/1995,HUE0081MEU,811200,
06/30/1995,HUE0081MEU,936000,
07/31/1995,HUE0081MEU,1025020,
08/31/1995,HUE0081MEU,1055580,
09/30/1995,HUE0081MEU,1152900,
10/31/1995,HUE0081MEU,1251700,
11/30/1995,HUE0081MEU,1217390,
12/31/1995,HUE0081MEU,1658190,
01/31/1996,HUE0081MEU,1739940,130.810251512257
02/29/1996,HUE0081MEU,1645150,118.459107387095
03/31/1996,HUE0081MEU,1571370,96.6990874610387
04/30/1996,HUE0081MEU,1443360,88.0917940498065
05/31/1996,HUE0081MEU,1438320,77.3076923076923
06/30/1996,HUE0081MEU,1486550,58.8194444444444
07/31/1996,HUE0081MEU,1415840,38.1280365261166
08/31/1996,HUE0081MEU,1487120,40.8817901059133
09/30/1996,HUE0081MEU,1622210,40.706913001995
10/31/1996,HUE0081MEU,1591450,27.1430854038508
11/30/1996,HUE0081MEU,1565740,28.6144949441017
12/31/1996,HUE0081MEU,1589740,-4.1279949824809
01/31/1997,HUE0081MEU,1517160,-12.8038897893031
02/28/1997,HUE0081MEU,1499780,-13.8027748083267
03/31/1997,HUE0081MEU,1481210,-5.73766840400415
04/30/1997,HUE0081MEU,1421140,-1.53946347411595
05/31/1997,HUE0081MEU,1505040,4.63874520273653
06/30/1997,HUE0081MEU,1529580,2.89462177525142
07/31/1997,HUE0081MEU,1596500,12.7599163747316
08/31/1997,HUE0081MEU,1609390,8.22193232556888
09/30/1997,HUE0081MEU,1590700,-1.94241189488414
10/31/1997,HUE0081MEU,1682950,5.74947375035345
11/30/1997,HUE0081MEU,1729870,10.4825833152375
12/31/1997,HUE0081MEU,1695470,6.65077308239083
01/31/1998,HUE0081MEU,1776280,17.0792797068206
02/28/1998,HUE0081MEU,1880750,25.4017255864193
03/31/1998,HUE0081MEU,2008560,35.6026491854632
04/30/1998,HUE0081MEU,2094950,47.4133442166148
05/31/1998,HUE0081MEU,2165970,43.914447456546
06/30/1998,HUE0081MEU,2088430,36.5361733286262
07/31/1998,HUE0081MEU,2090900,30.9677419354839
08/31/1998,HUE0081MEU,2087370,29.6994513449195
09/30/1998,HUE0081MEU,1907190,19.8962720814736
10/31/1998,HUE0081MEU,1768690,5.09462550877923
11/30/1998,HUE0081MEU,1906310,10.1996103753461
12/31/1998,HUE0081MEU,2023580,19.3521560393283
01/31/1999,HUE0081MEU,1946850,9.60265273492918
02/28/1999,HUE0081MEU,2127690,13.1298684035624
03/31/1999,HUE0081MEU,2058290,2.47590313458398
