Date,Foreign Exchange Reserves USD mn
2004-12-31,13446.7
2005-01-31,14662.8
2005-02-28,15455.4
2005-03-31,16149.2
2005-04-30,16589.8
2005-05-31,16882.7
2005-06-30,17392.2
2005-07-31,18336.4
2005-08-31,18798.9
2005-09-30,19571.0
2005-10-31,19648.1
2005-11-30,19781.6
2005-12-31,20686.2
2006-01-31,20596.7
2006-02-28,21103.2
2006-03-31,21438.1
2006-04-30,21858.3
2006-05-31,21848.0
2006-06-30,20834.2
2006-07-31,20959.2
2006-08-31,23002.6
2006-09-30,23411.6
2006-10-31,23867.2
2006-11-30,24578.5
2006-12-31,24392.7
2007-01-31,25655.1
2007-02-28,26139.1
2007-03-31,26071.3
2007-04-30,26437.8
2007-05-31,27421.8
2007-06-30,27843.5
2007-07-31,28857.9
2007-08-31,28977.0
2007-09-30,29005.6
2007-10-31,30438.1
2007-11-30,31404.8
2007-12-31,30932.4
2008-01-31,32173.8
2008-02-29,32783.2
2008-03-31,33267.6
2008-04-30,33710.4
2008-05-31,34066.3
2008-06-30,34303.3
2008-07-31,33623.8
2008-08-31,33476.4
2008-09-30,33285.1
2008-10-31,32429.3
2008-11-30,31693.6
2008-12-31,31795.8
2009-01-31,30927.5
2009-02-28,30397.1
2009-03-31,29513.5
2009-04-30,28529.3
2009-05-31,28508.7
2009-06-30,28559.4
2009-07-31,28879.2
2009-08-31,29092.3
2009-09-30,29864.5
2009-10-31,30369.8
2009-11-30,30364.7
2009-12-31,30145.4
2010-01-31,30410.7
2010-02-28,30673.0
2010-03-31,31077.8
2010-04-30,31230.6
2010-05-31,31254.3
2010-06-30,30826.6
2010-07-31,30842.7
2010-08-31,31095.7
2010-09-30,31068.4
2010-10-31,31045.5
2010-11-30,31112.4
2010-12-31,31550.7
2011-01-31,30514.9
2011-02-28,28822.4
2011-03-31,25593.0
2011-04-30,23473.0
2011-05-31,22773.0
2011-06-30,21443.2
2011-07-31,20739.3
2011-08-31,20051.1
2011-09-30,19096.1
2011-10-31,17123.5
2011-11-30,15246.0
2011-12-31,13230.1
2012-01-31,11458.6
2012-02-29,10816.0
2012-03-31,10224.4
2012-04-30,10311.2
2012-05-31,10653.7
2012-06-30,10109.0
2012-07-31,9006.0
2012-08-31,9700.6
2012-09-30,9591.6
2012-10-31,10038.7
2012-11-30,9591.4
2012-12-31,9558.6
2013-01-31,8162.6
2013-02-28,8086.7
2013-03-31,8020.1
2013-04-30,9007.2
2013-05-31,10636.2
2013-06-30,10354.0
2013-07-31,14291.1
2013-08-31,14321.3
2013-09-30,14092.9
2013-10-31,13958.3
2013-11-30,13034.7
2013-12-31,12343.0
2014-01-31,12348.9
2014-02-28,12361.6
2014-03-31,12562.0
2014-04-30,12596.4
2014-05-31,12417.4
2014-06-30,11818.2
2014-07-31,11866.6
2014-08-31,12006.5
2014-09-30,12228.4
2014-10-31,12237.7
2014-11-30,11303.4
2014-12-31,10796.8
2015-01-31,10730.7
2015-02-28,10948.6
2015-03-31,10766.8
2015-04-30,15943.5
2015-05-31,15030.0
2015-06-30,15535.9
2015-07-31,14153.2
2015-08-31,13650.3
2015-09-30,11874.9
2015-10-31,11885.4
2015-11-30,12121.2
2015-12-31,12123.4
2016-01-31,12069.1
2016-02-29,11852.2
2016-03-31,11885.3
2016-04-30,12269.4
2016-05-31,12834.0
2016-06-30,12707.6
2016-07-31,10565.2
2016-08-31,11588.8
2016-09-30,14596.2
2016-10-31,14203.5
2016-11-30,18411.8
2016-12-31,19735.3
2017-01-31,21691.5
2017-02-28,21735.6
2017-03-31,23705.0
2017-04-30,23771.3
2017-05-31,26239.4
2017-06-30,26442.1
2017-07-31,31113.8
2017-08-31,31166.8
2017-09-30,31531.7
2017-10-31,31785.3
2017-11-30,31743.4
2017-12-31,32072.4
2018-01-31,33068.1
2018-02-28,37407.4
2018-03-31,37468.4
2018-04-30,38866.4
2018-05-31,39098.3
2018-06-30,37301.0
2018-07-31,39421.6
2018-08-31,39584.7
2018-09-30,39642.6
2018-10-31,39621.3
2018-11-30,39717.1
2018-12-31,37642.0
2019-01-31,37588.7
2019-02-28,39059.0
2019-03-31,39125.3
2019-04-30,39335.1
2019-05-31,39452.3
2019-06-30,39456.1
2019-07-31,39785.3
2019-08-31,39652.6
2019-09-30,39753.7
2019-10-31,39801.8
2019-11-30,40126.3
2019-12-31,40027.1
2020-01-31,39934.7
2020-02-29,39916.6
2020-03-31,34587.3
2020-04-30,31331.3
2020-05-31,30281.5
2020-06-30,32015.5
2020-07-31,31620.6
2020-08-31,31737.7
2020-09-30,32024.2
2020-10-31,32847.3
2020-11-30,33186.7
2020-12-31,33422.6
2021-01-31,33552.3
2021-02-28,33943.2
2021-03-31,34264.6
2021-04-30,34060.9
2021-05-31,34023.0
2021-06-30,34287.9
2021-07-31,34144.2
2021-08-31,31591.6
2021-09-30,31959.9
2021-10-31,31824.8
2021-11-30,32057.1
2021-12-31,32050.4
2022-01-31,32081.9
2022-02-28,29499.9
2022-03-31,26938.5
2022-04-30,27191.8
2022-05-31,25863.9
2022-06-30,23822.4
2022-07-31,23670.4
2022-08-31,24004.8
2022-09-30,24339.4
2022-10-31,24391.3
2022-11-30,24243.1
2022-12-31,24447.2
2023-01-31,23772.4
2023-02-28,24619.4
2023-03-31,24120.5
2023-04-30,23812.2
2023-05-31,24344.4
2023-06-30,24713.7
2023-07-31,24156.7
2023-08-31,24675.4
2023-09-30,24934.4
