Date,Foreign Exchange Reserves USD mn
1998-01-31,8531.6
1998-02-28,9025.6
1998-03-31,9421.0
1998-04-30,9934.8
1998-05-31,10049.5
1998-06-30,9531.4
1998-07-31,9671.1
1998-08-31,9324.0
1998-09-30,8713.4
1998-10-31,8169.5
1998-11-30,8625.9
1998-12-31,9238.8
1999-01-31,8903.9
1999-02-28,9258.1
1999-03-31,8661.4
1999-04-30,8508.4
1999-05-31,8573.8
1999-06-30,9120.2
1999-07-31,9545.6
1999-08-31,9517.5
1999-09-30,10026.7
1999-10-31,9951.5
1999-11-30,10614.3
1999-12-31,10706.6
2000-01-31,11000.7
2000-02-29,11306.9
2000-03-31,10436.6
2000-04-30,10074.0
2000-05-31,10473.3
2000-06-30,10259.2
2000-07-31,9991.3
2000-08-31,10110.9
2000-09-30,10322.1
2000-10-31,9853.3
2000-11-30,10522.1
2000-12-31,10915.2
2001-01-31,10478.8
2001-02-28,10826.7
2001-03-31,10414.9
2001-04-30,10976.4
2001-05-31,10664.0
2001-06-30,11181.6
2001-07-31,11478.0
2001-08-31,11647.8
2001-09-30,11625.4
2001-10-31,11363.0
2001-11-30,10886.8
2001-12-31,10302.2
2002-01-31,9683.7
2002-02-28,9235.5
2002-03-31,9165.4
2002-04-30,9604.8
2002-05-31,9324.9
2002-06-30,9695.4
2002-07-31,9499.7
2002-08-31,9568.8
2002-09-30,9484.1
2002-10-31,9148.1
2002-11-30,9107.0
2002-12-31,9721.3
2003-01-31,14681.2
2003-02-28,13343.0
2003-03-31,12906.3
2003-04-30,12149.9
2003-05-31,12157.6
2003-06-30,11585.1
2003-07-31,11478.7
2003-08-31,10894.6
2003-09-30,12066.9
2003-10-31,11729.0
2003-11-30,11805.7
2003-12-31,12015.3
2004-01-31,12537.9
2004-02-29,12491.2
2004-03-31,11812.4
2004-04-30,11515.6
2004-05-31,12662.9
2004-06-30,12157.0
2004-07-31,12336.8
2004-08-31,12162.5
2004-09-30,12273.5
2004-10-31,13902.3
2004-11-30,14589.5
2004-12-31,15311.7
2005-01-31,14341.9
2005-02-28,17000.1
2005-03-31,16711.5
2005-04-30,16739.5
2005-05-31,16937.6
2005-06-30,16574.3
2005-07-31,17220.9
2005-08-31,17476.8
2005-09-30,17023.7
2005-10-31,17089.9
2005-11-30,16232.9
2005-12-31,18283.0
2006-01-31,19810.43390528
2006-02-28,19547.68952878
2006-03-31,21295.88295227
2006-04-30,20728.77848473
2006-05-31,21537.46964456
2006-06-30,20824.55634831
2006-07-31,20466.79107544
2006-08-31,20527.64625424
2006-09-30,20648.64767317
2006-10-31,20505.41324823
2006-11-30,21745.07688626
2006-12-31,21315.52935687
2007-01-31,20738.40287467
2007-02-28,22373.33268835
2007-03-31,22374.12690881
2007-04-30,22971.44583065
2007-05-31,22261.05898506
2007-06-30,22568.99526983
2007-07-31,22510.86497736
2007-08-31,22755.72741897
2007-09-30,23090.00829223
2007-10-31,23625.03376109
2007-11-30,24172.74503813
2007-12-31,23772.92322189
2008-01-31,23871.64277408
2008-02-29,24199.72979321
2008-03-31,26310.32588384
2008-04-30,25887.98297571
2008-05-31,25836.4876793
2008-06-30,27051.24967923
2008-07-31,26594.15971303
2008-08-31,25188.39830404
2008-09-30,24730.11258487
2008-10-31,22419.20409243
2008-11-30,29188.94249281
2008-12-31,33619.78234261
2009-01-31,31303.73356552
2009-02-28,31331.8535606
2009-03-31,36809.74978541
2009-04-30,35612.12971828
2009-05-31,37172.46360273
2009-06-30,37780.06534664
2009-07-31,41233.25972572
2009-08-31,41952.25242142
2009-09-30,42987.67724655
2009-10-31,43308.86410992
2009-11-30,44651.49553519
2009-12-31,42478.96146988
2010-01-31,43805.11753789
2010-02-28,43148.58156385
2010-03-31,43964.90910009
2010-04-30,43995.61634245
2010-05-31,41401.05655826
2010-06-30,41488.28358209
2010-07-31,43950.23675155
2010-08-31,43294.01130193
2010-09-30,44425.90620852
2010-10-31,44620.89669108
2010-11-30,42065.23587493
2010-12-31,43580.55499641
2011-01-31,44444.57490889
2011-02-28,45382.37858412
2011-03-31,49369.33040967
2011-04-30,52265.6116767
2011-05-31,52911.52492035
2011-06-30,52284.89939473
2011-07-31,50224.24103133
2011-08-31,52980.82206368
2011-09-30,51295.18386274
2011-10-31,51039.41761297
2011-11-30,46363.75340948
2011-12-31,47724.67674921
2012-01-31,48013.64412492
2012-02-29,45734.22049877
2012-03-31,45224.62253508
2012-04-30,45397.7298613
2012-05-31,43153.71023713
2012-06-30,43783.62763497
2012-07-31,43041.9023532
2012-08-31,43294.05877927
2012-09-30,43811.18766255
2012-10-31,44516.29807913
2012-11-30,43144.27504638
2012-12-31,44027.91065043
2013-01-31,46004.31864564
2013-02-28,46505.88972542
2013-03-31,44882.1562184
2013-04-30,46296.84700762
2013-05-31,45408.66877276
2013-06-30,44271.11150411
2013-07-31,44285.54497542
2013-08-31,40204.4923321
2013-09-30,41350.88528001
2013-10-31,44587.84199758
2013-11-30,47035.47762342
2013-12-31,46254.1786062
2014-01-31,45930.56962576
2014-02-28,46118.94571517
2014-03-31,49493.32079864
2014-04-30,49479.31244678
2014-05-31,49113.37883925
2014-06-30,49009.97348142
2014-07-31,46918.83974796
2014-08-31,46576.48190688
2014-09-30,44930.13704486
2014-10-31,42747.56074828
2014-11-30,42208.48967443
2014-12-31,41774.87854597
2015-01-31,43007.42780484
2015-02-28,40614.64962358
2015-03-31,39344.05127662
2015-04-30,41173.04203048
2015-05-31,40468.69721372
2015-06-30,38493.01856691
2015-07-31,37630.66375602
2015-08-31,37334.55687945
2015-09-30,35839.53650587
2015-10-31,35105.22528968
2015-11-30,34842.40888994
2015-12-31,32899.78743365
2016-01-31,33862.67662056
2016-02-29,34062.39651139
2016-03-31,30729.74028891
2016-04-30,29503.61970244
2016-05-31,27792.50904224
2016-06-30,26998.32943456
2016-07-31,26689.48413824
2016-08-31,26326.80331415
2016-09-30,25902.53960431
2016-10-31,26713.7691264
2016-11-30,26214.41924956
2016-12-31,25405.79542072
2017-01-31,25920.37768692
2017-02-28,26105.50841337
2017-03-31,25548.6026323
2017-04-30,26022.94413435
2017-05-31,25964.28879662
2017-06-30,26198.53148942
2017-07-31,25611.29248295
2017-08-31,26041.48926762
2017-09-30,25663.66644618
2017-10-31,25685.52325265
2017-11-30,25669.30992898
2017-12-31,27435.81602391
2018-01-31,28574.38344037
2018-02-28,26991.17369343
2018-03-31,27802.83712248
2018-04-30,27395.73730571
2018-05-31,28941.20706487
2018-06-30,27478.89930311
2018-07-31,27527.84117974
2018-08-31,27769.44778405
2018-09-30,27016.45210406
2018-10-31,26315.80846384
2018-11-30,26436.55383246
2018-12-31,29648.5762831
2019-01-31,28816.45995313
2019-02-28,28251.86249136
2019-03-31,29081.44291225
2019-04-30,28475.05089852
2019-05-31,28044.48383133
2019-06-30,28973.43017426
2019-07-31,28330.54492476
2019-08-31,29790.87367276
2019-09-30,29098.47875334
2019-10-31,29293.43050975
2019-11-30,30373.39746023
2019-12-31,29872.6159502
2020-01-31,27589.24474725
2020-02-29,25407.49607362
2020-03-31,26249.65126505
2020-04-30,29401.7153415
2020-05-31,30195.89103319
2020-06-30,31661.60819305
2020-07-31,32637.43262078
2020-08-31,33385.49567296
2020-09-30,35387.94863948
2020-10-31,32956.15776584
2020-11-30,36779.64586557
2020-12-31,38999.17572583
2021-01-31,37977.52130938
2021-02-28,38013.77043901
2021-03-31,32044.05619683
2021-04-30,30823.52408374
2021-05-31,31010.44082445
2021-06-30,30845.76851342
2021-07-31,31409.96906172
2021-08-31,31281.27285995
2021-09-30,36094.29247511
2021-10-31,35258.34025878
2021-11-30,33555.35652223
2021-12-31,34926.75517495
2022-01-31,31243.10541372
2022-02-28,31732.2240286
2022-03-31,32305.51078615
2022-04-30,27553.45419396
2022-05-31,27993.50027444
2022-06-30,30730.94487211
2022-07-31,28426.78520387
2022-08-31,28409.57134211
2022-09-30,30250.07196804
2022-10-31,28851.67402091
2022-11-30,30675.58829807
2022-12-31,32841.8890729
2023-01-31,34884.38907282
2023-02-28,33715.34561096
2023-03-31,34391.0189871
2023-04-30,34876.20654758
2023-05-31,33328.61054757
2023-06-30,34559.56057992
2023-07-31,35260.17945806
2023-08-31,34331.74088487
2023-09-30,33574.23382438
