Date,Foreign Exchange Reserves USD mn
1960-01-31,150.23035485
1960-02-29,168.91199358
1960-03-31,147.12137485
1960-04-30,149.45310985
1960-05-31,143.92911861
1960-06-30,143.84584236
1960-07-31,157.19780109
1960-08-31,152.0346736
1960-09-30,176.60116733
1960-10-31,173.57546358
1960-11-30,159.02987859
1960-12-31,217.32325353
1961-01-31,146.58767956
1961-02-28,164.81633964
1961-03-31,143.55408383
1961-04-30,145.82928063
1961-05-31,140.43923107
1961-06-30,140.35797404
1961-07-31,153.38618429
1961-08-31,148.34824852
1961-09-30,172.31907195
1961-10-31,169.36673324
1961-11-30,155.17383892
1961-12-31,212.05375892
1962-01-31,148.28707856
1962-02-28,166.72706449
1962-03-31,145.21831418
1962-04-30,147.51988746
1962-05-31,142.06735076
1962-06-30,141.98515171
1962-07-31,155.16439872
1962-08-31,150.06805788
1962-09-30,174.31677638
1962-10-31,171.33021105
1962-11-30,156.97277772
1962-12-31,214.51210976
1963-01-31,124.51097694
1963-02-28,139.99432644
1963-03-31,121.9342531
1963-04-30,123.86679598
1963-05-31,119.28850987
1963-06-30,119.21949049
1963-07-31,130.28559912
1963-08-31,126.00639703
1963-09-30,146.36711665
1963-10-31,143.8594122
1963-11-30,131.80402566
1963-12-31,180.11759765
1964-01-31,149.64582354
1964-02-29,168.25477388
1964-03-31,146.54894027
1964-04-30,148.87160272
1964-05-31,143.36910477
1964-06-30,143.28615254
1964-07-31,156.58616014
1964-08-31,151.44312186
1964-09-30,175.91402981
1964-10-31,172.90009877
1964-11-30,158.41110921
1964-12-31,216.47767045
1965-01-31,159.52285435
1965-02-28,179.36004596
1965-03-31,156.22156838
1965-04-30,158.69753286
1965-05-31,152.8318551
1965-06-30,152.7434278
1965-07-31,166.92127202
1965-08-31,161.43877925
1965-09-30,187.52483359
1965-10-31,184.31197492
1965-11-30,168.86667269
1965-12-31,230.76578468
1966-01-31,137.6145432
1966-02-28,154.72736426
1966-03-31,134.7666443
1966-04-30,136.90256848
1966-05-31,131.8424624
1966-06-30,131.76617939
1966-07-31,143.99688805
1966-08-31,139.26734167
1966-09-30,161.7708285
1966-10-31,158.99921261
1966-11-30,145.67511419
1966-12-31,199.07321854
1967-01-31,69.44890117
1967-02-28,78.08510045
1967-03-31,68.01167336
1967-04-30,69.08959422
1967-05-31,66.53594837
1967-06-30,66.4974512
1967-07-31,72.66983137
1967-08-31,70.2830066
1967-09-30,81.63967281
1967-10-31,80.24094217
1967-11-30,73.51676918
1967-12-31,100.4647907
1968-01-31,66.02300571
1968-02-29,74.23318362
1968-03-31,64.65667596
1968-04-30,65.68142327
1968-05-31,63.25374808
1968-06-30,63.21714996
1968-07-31,69.08504829
1968-08-31,66.81596495
1968-09-30,77.61240989
1968-10-31,76.28267825
1968-11-30,69.8902069
1968-12-31,95.50888982
1969-01-31,85.11124359
1969-02-28,95.69510666
1969-03-31,83.34988748
1969-04-30,84.67090456
1969-05-31,81.54135218
1969-06-30,81.494173
1969-07-31,89.05856845
1969-08-31,86.13345919
1969-09-30,100.05131776
1969-10-31,98.33714083
1969-11-30,90.09651045
1969-12-31,123.12193756
1970-01-31,108.24
1970-02-28,121.7
1970-03-31,106.0
1970-04-30,107.68
1970-05-31,103.7
1970-06-30,103.64
1970-07-31,113.26
1970-08-31,109.54
1970-09-30,127.24
1970-10-31,125.06
1970-11-30,114.58
1970-12-31,156.58
1971-01-31,161.94
1971-02-28,180.4
1971-03-31,202.62
1971-04-30,171.64
1971-05-31,202.22
1971-06-30,242.16
1971-07-31,199.0
1971-08-31,109.96
1971-09-30,208.16
1971-10-31,251.82
1971-11-30,198.4
1971-12-31,281.38
1972-01-31,216.7
1972-02-29,166.6
1972-03-31,233.8
1972-04-30,234.0
1972-05-31,228.6
1972-06-30,209.08
1972-07-31,202.54
1972-08-31,202.76
1972-09-30,241.1
1972-10-31,223.72
1972-11-30,201.0
1972-12-31,243.58
1973-01-31,219.65
