Date,Foreign Exchange Reserves USD mn
1998-01-31,21704.8
1998-02-28,23900.0
1998-03-31,24018.4
1998-04-30,25531.5
1998-05-31,25911.0
1998-06-30,26033.4
1998-07-31,28478.1
1998-08-31,28508.1
1998-09-30,27021.4
1998-10-31,27436.1
1998-11-30,27573.0
1998-12-31,27209.5
1999-01-31,28380.6
1999-02-28,28793.0
1999-03-31,27445.1
1999-04-30,27248.4
1999-05-31,26908.8
1999-06-30,26283.4
1999-07-31,27656.3
1999-08-31,27673.0
1999-09-30,26653.6
1999-10-31,26279.1
1999-11-30,25867.2
1999-12-31,26107.1
2000-01-31,25775.2
2000-02-29,25047.4
2000-03-31,25081.0
2000-04-30,24352.5
2000-05-31,24628.3
2000-06-30,24787.0
2000-07-31,24465.3
2000-08-31,24374.3
2000-09-30,24272.1
2000-10-31,24970.2
2000-11-30,25414.7
2000-12-31,26320.5
2001-01-31,26990.8
2001-02-28,27591.0
2001-03-31,26845.7
2001-04-30,26570.8
2001-05-31,25830.0
2001-06-30,25887.6
2001-07-31,26583.1
2001-08-31,26734.4
2001-09-30,26938.7
2001-10-31,27588.0
2001-11-30,24827.2
2001-12-31,25152.6
2002-01-31,24919.3
2002-02-28,24971.1
2002-03-31,25568.8
2002-04-30,25702.8
2002-05-31,25909.4
2002-06-30,26556.8
2002-07-31,27620.8
2002-08-31,27661.4
2002-09-30,27515.3
2002-10-31,27518.8
2002-11-30,27777.1
2002-12-31,27959.4
2003-01-31,28568.3
2003-02-28,29995.6
2003-03-31,29274.6
2003-04-30,29166.0
2003-05-31,31525.5
2003-06-30,30160.9
2003-07-31,30087.8
2003-08-31,29609.3
2003-09-30,30764.2
2003-10-31,31661.5
2003-11-30,31945.1
2003-12-31,31917.9
2004-01-31,34838.6
2004-02-29,35477.3
2004-03-31,34455.3
2004-04-30,33450.4
2004-05-31,34442.1
2004-06-30,34202.0
2004-07-31,33806.0
2004-08-31,34731.2
2004-09-30,34486.2
2004-10-31,33337.0
2004-11-30,35034.8
2004-12-31,34563.8
2005-01-31,38810.9
2005-02-28,40341.2
2005-03-31,36068.5
2005-04-30,38617.1
2005-05-31,38601.8
2005-06-30,39153.9
2005-07-31,38789.8
2005-08-31,39301.4
2005-09-30,38954.3
2005-10-31,39579.3
2005-11-30,39277.6
2005-12-31,40497.0
2006-01-31,41075.8
2006-02-28,43426.2
2006-03-31,42097.4
2006-04-30,43038.1
2006-05-31,46114.6
2006-06-30,44682.5
2006-07-31,46070.2
2006-08-31,46388.6
2006-09-30,46438.9
2006-10-31,44919.6
2006-11-30,47097.9
2006-12-31,46117.5
2007-01-31,48812.8
2007-02-28,48479.7
