Date,Foreign Exchange Reserves USD mn
2005-04-30,16658.66291554
2005-05-31,16345.53153967
2005-06-30,16654.45756676
2005-07-31,18009.36960396
2005-08-31,20261.02585279
2005-09-30,20071.46945408
2005-10-31,20023.86525201
2005-11-30,19646.29009611
2005-12-31,19888.80480411
2006-01-31,20988.76880432
2006-02-28,21093.48863754
2006-03-31,22027.06513857
2006-04-30,23089.86413357
2006-05-31,23385.30638441
2006-06-30,23226.7910612
2006-07-31,23332.1198173
2006-08-31,23692.58482411
2006-09-30,23769.75429341
2006-10-31,27014.2564435
2006-11-30,28148.05068471
2006-12-31,28122.52997524
2007-01-31,28209.7803893
2007-02-28,28641.61372131
2007-03-31,28793.39264488
2007-04-30,29247.78122668
2007-05-31,29513.00288272
2007-06-30,29744.13521666
2007-07-31,30764.23469174
2007-08-31,33690.13278804
2007-09-30,35843.11290082
2007-10-31,36475.0286517
2007-11-30,37369.03316343
2007-12-31,36955.75349435
2008-01-31,37920.71415367
2008-02-29,38333.85609519
2008-03-31,39631.66953414
2008-04-30,39322.77518841
2008-05-31,38972.66531224
2008-06-30,39107.49658816
2008-07-31,39215.29838351
2008-08-31,37898.37354969
2008-09-30,36519.55246132
2008-10-31,34529.43362847
2008-11-30,34448.07598628
2008-12-31,36375.80308802
2009-01-31,33186.02160695
2009-02-28,32701.27372756
2009-03-31,33194.45795225
2009-04-30,32841.27943981
2009-05-31,37859.7991102
2009-06-30,37034.99375185
2009-07-31,38947.74335753
2009-08-31,38594.63316573
2009-09-30,39989.20306001
2009-10-31,40438.05470316
2009-11-30,41645.62508667
2009-12-31,39157.1453935
2010-01-31,37498.30803337
2010-02-28,39288.65986958
2010-03-31,42018.08623683
2010-04-30,41774.71825865
2010-05-31,38375.40407513
2010-06-30,37669.48136712
2010-07-31,40044.00384547
2010-08-31,38950.71819841
2010-09-30,43147.94816811
2010-10-31,43705.63315833
2010-11-30,41715.35667011
2010-12-31,41980.40885239
2011-01-31,43761.94550786
2011-02-28,43263.42709925
2011-03-31,45499.12068946
2011-04-30,46541.24474553
2011-05-31,46154.69455902
2011-06-30,49095.56783165
2011-07-31,46149.79781335
2011-08-31,46154.24553249
2011-09-30,44513.60757037
2011-10-31,44184.52846176
2011-11-30,42102.77760995
2011-12-31,42470.11212162
2012-01-31,42086.18736634
2012-02-29,44113.4087196
2012-03-31,45662.50979216
2012-04-30,44943.50317464
2012-05-31,41078.32675614
2012-06-30,41382.84698833
2012-07-31,39215.33203715
2012-08-31,38667.86603766
2012-09-30,41420.63068142
2012-10-31,40894.95567476
2012-11-30,40398.3006286
2012-12-31,40997.75297374
2013-01-31,42582.47107875
2013-02-28,42036.04977841
2013-03-31,41242.45172847
2013-04-30,42544.3198996
2013-05-31,42422.32799303
2013-06-30,41995.13501459
2013-07-31,44177.76490663
2013-08-31,42417.81597228
2013-09-30,44744.96385323
2013-10-31,46876.8424118
2013-11-30,44064.0512243
2013-12-31,44777.60259923
2014-01-31,44333.37904433
2014-02-28,43652.19726079
2014-03-31,43040.28465045
2014-04-30,44945.16654978
2014-05-31,41831.04287498
2014-06-30,42743.8352253
2014-07-31,41352.37714478
2014-08-31,40581.67605088
2014-09-30,39208.90429572
2014-10-31,40335.99946672
2014-11-30,39119.47517411
2014-12-31,38965.02616194
2015-01-31,34523.09272977
2015-02-28,34117.63951073
2015-03-31,32853.11002594
2015-04-30,33577.3833948
2015-05-31,33210.38926401
2015-06-30,33572.61414602
2015-07-31,32135.57011612
2015-08-31,32830.8488549
2015-09-30,32511.0998556
2015-10-31,34934.2157393
2015-11-30,33896.55268783
2015-12-31,34995.32101978
2016-01-31,34302.87495902
2016-02-29,33489.26377451
2016-03-31,35618.51167941
2016-04-30,35709.84374603
2016-05-31,35878.88527292
2016-06-30,33932.04916808
2016-07-31,35117.072525
2016-08-31,35368.55391295
2016-09-30,36034.80431074
2016-10-31,36291.95923377
2016-11-30,35040.24913136
2016-12-31,34803.15518307
2017-01-31,35907.75197227
2017-02-28,35287.05417872
2017-03-31,35774.31524884
2017-04-30,37828.77991156
2017-05-31,38497.53601262
2017-06-30,38800.40127466
2017-07-31,39558.70334769
2017-08-31,40175.58874259
2017-09-30,37963.4855679
2017-10-31,38134.3524122
2017-11-30,37931.62121827
2017-12-31,38854.82755733
2018-01-31,40193.6058686
2018-02-28,41400.28421102
2018-03-31,41346.474486
2018-04-30,39077.86322172
2018-05-31,37257.51359237
2018-06-30,35699.23948283
2018-07-31,35345.75198683
2018-08-31,34640.90486928
2018-09-30,35136.02563162
2018-10-31,35317.50382874
2018-11-30,35472.64925376
2018-12-31,36503.92528956
2019-01-31,35182.35827436
2019-02-28,35594.16045653
2019-03-31,34591.55910177
2019-04-30,36368.66133589
2019-05-31,35244.89887818
2019-06-30,35671.44594944
2019-07-31,38124.83541513
2019-08-31,37796.29187404
2019-09-30,37284.22753697
2019-10-31,37577.6587393
2019-11-30,35905.04782263
2019-12-31,35596.84247363
2020-01-31,37979.6764763
2020-02-29,38062.34898171
2020-03-31,36234.52103291
2020-04-30,34892.79945585
2020-05-31,38236.51405826
2020-06-30,37965.59778975
2020-07-31,41458.86743159
2020-08-31,41334.99043187
2020-09-30,36807.59404686
2020-10-31,37966.97234568
2020-11-30,38481.58077202
2020-12-31,44289.24492946
2021-01-31,44022.68550875
2021-02-28,41072.30226908
2021-03-31,40528.88593044
2021-04-30,44667.76267986
2021-05-31,44383.29424445
2021-06-30,42213.96182297
2021-07-31,44852.94358416
2021-08-31,45217.83584626
2021-09-30,43861.42081001
2021-10-31,42186.26359305
2021-11-30,40511.20989845
2021-12-31,41978.60913845
2022-01-31,44503.41059511
2022-02-28,43174.32812603
2022-03-31,40752.85306412
2022-04-30,39007.92122134
2022-05-31,40211.97588186
2022-06-30,40351.21108062
2022-07-31,40012.28484033
2022-08-31,39536.16534653
2022-09-30,39258.98353084
2022-10-31,42260.2234352
2022-11-30,43489.18843826
2022-12-31,46228.27246899
2023-01-31,50807.39436751
2023-02-28,51495.17567652
2023-03-31,54190.47267727
2023-04-30,55183.03160829
2023-05-31,52924.06489309
2023-06-30,54666.84106635
2023-07-31,55766.4012147
2023-08-31,54793.34503613
2023-09-30,59108.04165232
