,Foreign Exchange Reserves: USD mn: Monthly: Hungary
Region,Hungary
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,269529203
SR Code,SR197289967
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1998-01
Last Obs. Date,2023-09
Last Update Time,18/10/2023
Series remarks,
Suggestions,
Mean,27130.657727924863
Variance,167512015.99340063
Standard Deviation,12942.643315544186
Skewness,0.10891861460277992
Kurtosis,-1.164358553526829
Coefficient Variation,0.4770486379407849
Min,8169.5
Max,52980.82206368
Median,27395.73730571
No. of Obs,309
1998-01,8531.6
1998-02,9025.6
1998-03,9421
1998-04,9934.8
1998-05,10049.5
1998-06,9531.4
1998-07,9671.1
1998-08,9324
1998-09,8713.4
1998-10,8169.5
1998-11,8625.9
1998-12,9238.8
1999-01,8903.9
1999-02,9258.1
1999-03,8661.4
1999-04,8508.4
1999-05,8573.8
1999-06,9120.2
1999-07,9545.6
1999-08,9517.5
1999-09,10026.7
1999-10,9951.5
1999-11,10614.3
1999-12,10706.6
2000-01,11000.7
2000-02,11306.9
2000-03,10436.6
2000-04,10074
2000-05,10473.3
2000-06,10259.2
2000-07,9991.3
2000-08,10110.9
2000-09,10322.1
2000-10,9853.3
2000-11,10522.1
2000-12,10915.2
2001-01,10478.8
2001-02,10826.7
2001-03,10414.9
2001-04,10976.4
2001-05,10664
2001-06,11181.6
2001-07,11478
2001-08,11647.8
2001-09,11625.4
2001-10,11363
2001-11,10886.8
2001-12,10302.2
2002-01,9683.7
2002-02,9235.5
2002-03,9165.4
2002-04,9604.8
2002-05,9324.9
2002-06,9695.4
2002-07,9499.7
2002-08,9568.8
2002-09,9484.1
2002-10,9148.1
2002-11,9107
2002-12,9721.3
2003-01,14681.2
2003-02,13343
2003-03,12906.3
2003-04,12149.9
2003-05,12157.6
2003-06,11585.1
2003-07,11478.7
2003-08,10894.6
2003-09,12066.9
2003-10,11729
2003-11,11805.7
2003-12,12015.3
2004-01,12537.9
2004-02,12491.2
2004-03,11812.4
2004-04,11515.6
2004-05,12662.9
2004-06,12157
2004-07,12336.8
2004-08,12162.5
2004-09,12273.5
2004-10,13902.3
2004-11,14589.5
2004-12,15311.7
2005-01,14341.9
2005-02,17000.1
2005-03,16711.5
2005-04,16739.5
2005-05,16937.6
2005-06,16574.3
2005-07,17220.9
2005-08,17476.8
2005-09,17023.7
2005-10,17089.9
2005-11,16232.9
2005-12,18283
2006-01,19810.43390528
2006-02,19547.68952878
2006-03,21295.88295227
2006-04,20728.77848473
2006-05,21537.46964456
2006-06,20824.55634831
2006-07,20466.79107544
2006-08,20527.64625424
2006-09,20648.64767317
2006-10,20505.41324823
2006-11,21745.07688626
2006-12,21315.52935687
2007-01,20738.40287467
2007-02,22373.33268835
2007-03,22374.12690881
2007-04,22971.44583065
2007-05,22261.05898506
2007-06,22568.99526983
2007-07,22510.86497736
2007-08,22755.72741897
2007-09,23090.00829223
2007-10,23625.03376109
2007-11,24172.74503813
2007-12,23772.92322189
2008-01,23871.64277408
2008-02,24199.72979321
2008-03,26310.32588384
2008-04,25887.98297571
2008-05,25836.4876793
2008-06,27051.24967923
2008-07,26594.15971303
2008-08,25188.39830404
2008-09,24730.11258487
2008-10,22419.20409243
2008-11,29188.94249281
2008-12,33619.78234261
2009-01,31303.73356552
2009-02,31331.8535606
2009-03,36809.74978541
2009-04,35612.12971828
2009-05,37172.46360273
2009-06,37780.06534664
2009-07,41233.25972572
2009-08,41952.25242142
2009-09,42987.67724655
2009-10,43308.86410992
2009-11,44651.49553519
2009-12,42478.96146988
2010-01,43805.11753789
2010-02,43148.58156385
2010-03,43964.90910009
2010-04,43995.61634245
2010-05,41401.05655826
2010-06,41488.28358209
2010-07,43950.23675155
2010-08,43294.01130193
2010-09,44425.90620852
2010-10,44620.89669108
2010-11,42065.23587493
2010-12,43580.55499641
2011-01,44444.57490889
2011-02,45382.37858412
2011-03,49369.33040967
2011-04,52265.6116767
2011-05,52911.52492035
2011-06,52284.89939473
2011-07,50224.24103133
2011-08,52980.82206368
2011-09,51295.18386274
2011-10,51039.41761297
2011-11,46363.75340948
2011-12,47724.67674921
2012-01,48013.64412492
2012-02,45734.22049877
2012-03,45224.62253508
2012-04,45397.7298613
2012-05,43153.71023713
2012-06,43783.62763497
2012-07,43041.9023532
2012-08,43294.05877927
2012-09,43811.18766255
2012-10,44516.29807913
2012-11,43144.27504638
2012-12,44027.91065043
2013-01,46004.31864564
2013-02,46505.88972542
2013-03,44882.1562184
2013-04,46296.84700762
2013-05,45408.66877276
2013-06,44271.11150411
2013-07,44285.54497542
2013-08,40204.4923321
2013-09,41350.88528001
2013-10,44587.84199758
2013-11,47035.47762342
2013-12,46254.1786062
2014-01,45930.56962576
2014-02,46118.94571517
2014-03,49493.32079864
2014-04,49479.31244678
2014-05,49113.37883925
2014-06,49009.97348142
2014-07,46918.83974796
2014-08,46576.48190688
2014-09,44930.13704486
2014-10,42747.56074828
2014-11,42208.48967443
2014-12,41774.87854597
2015-01,43007.42780484
2015-02,40614.64962358
2015-03,39344.05127662
2015-04,41173.04203048
2015-05,40468.69721372
2015-06,38493.01856691
2015-07,37630.66375602
2015-08,37334.55687945
2015-09,35839.53650587
2015-10,35105.22528968
2015-11,34842.40888994
2015-12,32899.78743365
2016-01,33862.67662056
2016-02,34062.39651139
2016-03,30729.74028891
2016-04,29503.61970244
2016-05,27792.50904224
2016-06,26998.32943456
2016-07,26689.48413824
2016-08,26326.80331415
2016-09,25902.53960431
2016-10,26713.7691264
2016-11,26214.41924956
2016-12,25405.79542072
2017-01,25920.37768692
2017-02,26105.50841337
2017-03,25548.6026323
2017-04,26022.94413435
2017-05,25964.28879662
2017-06,26198.53148942
2017-07,25611.29248295
2017-08,26041.48926762
2017-09,25663.66644618
2017-10,25685.52325265
2017-11,25669.30992898
2017-12,27435.81602391
2018-01,28574.38344037
2018-02,26991.17369343
2018-03,27802.83712248
2018-04,27395.73730571
2018-05,28941.20706487
2018-06,27478.89930311
2018-07,27527.84117974
2018-08,27769.44778405
2018-09,27016.45210406
2018-10,26315.80846384
2018-11,26436.55383246
2018-12,29648.5762831
2019-01,28816.45995313
2019-02,28251.86249136
2019-03,29081.44291225
2019-04,28475.05089852
2019-05,28044.48383133
2019-06,28973.43017426
2019-07,28330.54492476
2019-08,29790.87367276
2019-09,29098.47875334
2019-10,29293.43050975
2019-11,30373.39746023
2019-12,29872.6159502
2020-01,27589.24474725
2020-02,25407.49607362
2020-03,26249.65126505
2020-04,29401.7153415
2020-05,30195.89103319
2020-06,31661.60819305
2020-07,32637.43262078
2020-08,33385.49567296
2020-09,35387.94863948
2020-10,32956.15776584
2020-11,36779.64586557
2020-12,38999.17572583
2021-01,37977.52130938
2021-02,38013.77043901
2021-03,32044.05619683
2021-04,30823.52408374
2021-05,31010.44082445
2021-06,30845.76851342
2021-07,31409.96906172
2021-08,31281.27285995
2021-09,36094.29247511
2021-10,35258.34025878
2021-11,33555.35652223
2021-12,34926.75517495
2022-01,31243.10541372
2022-02,31732.2240286
2022-03,32305.51078615
2022-04,27553.45419396
2022-05,27993.50027444
2022-06,30730.94487211
2022-07,28426.78520387
2022-08,28409.57134211
2022-09,30250.07196804
2022-10,28851.67402091
2022-11,30675.58829807
2022-12,32841.8890729
2023-01,34884.38907282
2023-02,33715.34561096
2023-03,34391.0189871
2023-04,34876.20654758
2023-05,33328.61054757
2023-06,34559.56057992
2023-07,35260.17945806
2023-08,34331.74088487
2023-09,33574.23382438
