,Foreign Exchange Reserves: USD mn: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,269547003
SR Code,SR197290417
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1998-01
Last Obs. Date,2023-09
Last Update Time,06/10/2023
Series remarks,
Suggestions,
Mean,76820.0275080907
Variance,1564307201.068039
Standard Deviation,39551.323632313986
Skewness,0.11618562167684578
Kurtosis,-1.182922133676452
Coefficient Variation,0.5148569313926428
Min,21704.8
Max,156699.3
Median,89431
No. of Obs,309
1998-01,21704.8
1998-02,23900
1998-03,24018.4
1998-04,25531.5
1998-05,25911
1998-06,26033.4
1998-07,28478.1
1998-08,28508.1
1998-09,27021.4
1998-10,27436.1
1998-11,27573
1998-12,27209.5
1999-01,28380.6
1999-02,28793
1999-03,27445.1
1999-04,27248.4
1999-05,26908.8
1999-06,26283.4
1999-07,27656.3
1999-08,27673
1999-09,26653.6
1999-10,26279.1
1999-11,25867.2
1999-12,26107.1
2000-01,25775.2
2000-02,25047.4
2000-03,25081
2000-04,24352.5
2000-05,24628.3
2000-06,24787
2000-07,24465.3
2000-08,24374.3
2000-09,24272.1
2000-10,24970.2
2000-11,25414.7
2000-12,26320.5
2001-01,26990.8
2001-02,27591
2001-03,26845.7
2001-04,26570.8
2001-05,25830
2001-06,25887.6
2001-07,26583.1
2001-08,26734.4
2001-09,26938.7
2001-10,27588
2001-11,24827.2
2001-12,25152.6
2002-01,24919.3
2002-02,24971.1
2002-03,25568.8
2002-04,25702.8
2002-05,25909.4
2002-06,26556.8
2002-07,27620.8
2002-08,27661.4
2002-09,27515.3
2002-10,27518.8
2002-11,27777.1
2002-12,27959.4
2003-01,28568.3
2003-02,29995.6
2003-03,29274.6
2003-04,29166
2003-05,31525.5
2003-06,30160.9
2003-07,30087.8
2003-08,29609.3
2003-09,30764.2
2003-10,31661.5
2003-11,31945.1
2003-12,31917.9
2004-01,34838.6
2004-02,35477.3
2004-03,34455.3
2004-04,33450.4
2004-05,34442.1
2004-06,34202
2004-07,33806
2004-08,34731.2
2004-09,34486.2
2004-10,33337
2004-11,35034.8
2004-12,34563.8
2005-01,38810.9
2005-02,40341.2
2005-03,36068.5
2005-04,38617.1
2005-05,38601.8
2005-06,39153.9
2005-07,38789.8
2005-08,39301.4
2005-09,38954.3
2005-10,39579.3
2005-11,39277.6
2005-12,40497
2006-01,41075.8
2006-02,43426.2
2006-03,42097.4
2006-04,43038.1
2006-05,46114.6
2006-06,44682.5
2006-07,46070.2
2006-08,46388.6
2006-09,46438.9
2006-10,44919.6
2006-11,47097.9
2006-12,46117.5
2007-01,48812.8
2007-02,48479.7
2007-03,48341
2007-04,49582.7
2007-05,52743
2007-06,52060.1
2007-07,53649.2
2007-08,53762.6
2007-09,55627.1
2007-10,57293.5
2007-11,65341
2007-12,62731.4
2008-01,65262.4
2008-02,69050.7
2008-03,73604.7
2008-04,75960.5
2008-05,75716.1
2008-06,79179.5
2008-07,81666.5
2008-08,78563.5
2008-09,70991.7
2008-10,61189
2008-11,60338.8
2008-12,58941.8
2009-01,55853.5
2009-02,58417.5
2009-03,57808.9
2009-04,60741.7
2009-05,64330
2009-06,63644.7
2009-07,67948.7
2009-08,70595.3
2009-09,72291.2
2009-10,77651.5
2009-11,78630.2
2009-12,73404.6
2010-01,78998.2
2010-02,78974.8
2010-03,79114.8
2010-04,82242.6
2010-05,80133.3
2010-06,78970.8
2010-07,86893.6
2010-08,86619.5
2010-09,91850.6
2010-10,92820.2
2010-11,89623.2
2010-12,86328.4
2011-01,88825.3
2011-02,96331.1
2011-03,99284.3
2011-04,104240.8
2011-05,99850.3
2011-06,101491.6
2011-07,98637.1
2011-08,98242.7
2011-09,92334.3
2011-10,94346.8
2011-11,90428.3
2011-12,89699
2012-01,91658.8
2012-02,93072.4
2012-03,91297.7
2012-04,94266.4
2012-05,90070.8
2012-06,93194.7
2012-07,93948.7
2012-08,95032.8
2012-09,96814
2012-10,97188.5
2012-11,98733.9
2012-12,100327.8
2013-01,99463.1
