,Foreign Exchange Reserves: USD mn: Monthly: Romania
Region,Romania
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,236999903
SR Code,SR197290447
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,2005-04
Last Obs. Date,2023-09
Last Update Time,03/10/2023
Series remarks,
Suggestions,
Mean,37901.77593428566
Variance,52829734.03315749
Standard Deviation,7268.406567684384
Skewness,-0.6043765897430763
Kurtosis,1.4734385831152101
Coefficient Variation,0.19176955138688997
Min,16345.53153967
Max,59108.04165232
Median,38631.249601695
No. of Obs,222
2005-04,16658.66291554
2005-05,16345.53153967
2005-06,16654.45756676
2005-07,18009.36960396
2005-08,20261.02585279
2005-09,20071.46945408
2005-10,20023.86525201
2005-11,19646.29009611
2005-12,19888.80480411
2006-01,20988.76880432
2006-02,21093.48863754
2006-03,22027.06513857
2006-04,23089.86413357
2006-05,23385.30638441
2006-06,23226.7910612
2006-07,23332.1198173
2006-08,23692.58482411
2006-09,23769.75429341
2006-10,27014.2564435
2006-11,28148.05068471
2006-12,28122.52997524
2007-01,28209.7803893
2007-02,28641.61372131
2007-03,28793.39264488
2007-04,29247.78122668
2007-05,29513.00288272
2007-06,29744.13521666
2007-07,30764.23469174
2007-08,33690.13278804
2007-09,35843.11290082
2007-10,36475.0286517
2007-11,37369.03316343
2007-12,36955.75349435
2008-01,37920.71415367
2008-02,38333.85609519
2008-03,39631.66953414
2008-04,39322.77518841
2008-05,38972.66531224
2008-06,39107.49658816
2008-07,39215.29838351
2008-08,37898.37354969
2008-09,36519.55246132
2008-10,34529.43362847
2008-11,34448.07598628
2008-12,36375.80308802
2009-01,33186.02160695
2009-02,32701.27372756
2009-03,33194.45795225
2009-04,32841.27943981
2009-05,37859.7991102
2009-06,37034.99375185
2009-07,38947.74335753
2009-08,38594.63316573
2009-09,39989.20306001
2009-10,40438.05470316
2009-11,41645.62508667
2009-12,39157.1453935
2010-01,37498.30803337
2010-02,39288.65986958
2010-03,42018.08623683
2010-04,41774.71825865
2010-05,38375.40407513
2010-06,37669.48136712
2010-07,40044.00384547
2010-08,38950.71819841
2010-09,43147.94816811
2010-10,43705.63315833
2010-11,41715.35667011
2010-12,41980.40885239
2011-01,43761.94550786
2011-02,43263.42709925
2011-03,45499.12068946
2011-04,46541.24474553
2011-05,46154.69455902
2011-06,49095.56783165
2011-07,46149.79781335
2011-08,46154.24553249
2011-09,44513.60757037
2011-10,44184.52846176
2011-11,42102.77760995
2011-12,42470.11212162
2012-01,42086.18736634
