Date,GDP in mil Local,US/Local,GDP in mil USD
2001-09-30,99800.0,4.14,24106.28
2001-10-31,96991.54296428371,4.14,23427.91
2001-11-30,94745.57783362118,4.14,22885.41
2001-12-31,93400.0,4.36,21422.02
2002-01-31,93274.8848742973,4.5,20727.75
2002-02-28,93527.07018891063,4.5,20783.79
2002-03-31,93200.0,4.5,20711.11
2002-04-30,91784.44889805348,4.5,20396.54
2002-05-31,90827.98203731122,4.5,20184.0
2002-06-30,92500.0,4.5,20555.56
2002-07-31,98119.36236536589,4.5,21804.3
2002-08-31,104975.95829436234,4.5,23327.99
2002-09-30,109300.0,4.5,24288.89
2002-10-31,108910.6168532642,4.5,24202.36
2002-11-30,105704.68808159132,4.5,23489.93
2002-12-31,102500.0,4.5,22777.78
2003-01-31,101670.20837474203,4.56,22296.1
2003-02-28,102180.89364090722,5.46,18714.45
2003-03-31,102500.0,5.65,18141.59
2003-04-30,101578.32441351893,5.82,17453.32
2003-05-31,101037.62003924727,5.94,17009.7
2003-06-30,103200.0,5.99,17228.71
2003-07-31,109524.42461315152,6.09,17984.31
2003-08-31,117078.89113511165,6.14,19068.22
2003-09-30,121800.0,6.14,19837.13
2003-10-31,121404.28105890316,6.14,19772.68
2003-11-30,118229.73106060295,6.14,19255.66
2003-12-31,115700.0,6.15,18813.01
2004-01-31,116610.40234764975,6.16,18930.26
2004-02-29,119397.35604227714,6.17,19351.27
2004-03-31,122200.0,6.18,19773.46
2004-04-30,123215.35447024296,6.18,19937.76
2004-05-31,123736.11182323405,6.19,19989.68
2004-06-30,125600.0,6.19,20290.79
2004-07-31,130080.74408193033,6.2,20980.77
2004-08-31,135130.86895563366,6.21,21760.2
2004-09-30,137900.0,6.22,22170.42
2004-10-31,136766.27099760075,6.23,21952.85
2004-11-30,133585.43539949687,6.23,21442.28
2004-12-31,130900.0,6.21,21078.9
2005-01-31,130844.90238925342,5.87,22290.44
2005-02-28,132184.9362158288,5.82,22712.19
2005-03-31,133500.0,5.8,23017.24
2005-04-30,133528.7140638551,5.8,23022.19
2005-05-31,133746.96733422353,5.8,23059.82
2005-06-30,136200.0,5.8,23482.76
2005-07-31,142238.276865852,5.78,24608.7
2005-08-31,149217.79162401814,5.78,25816.23
2005-09-30,153500.0,5.77,26603.12
2005-10-31,153048.50085257663,5.76,26570.92
2005-11-30,149987.8044785471,5.76,26039.55
2005-12-31,147400.0,5.75,25634.78
2006-01-31,147880.05890999569,5.74,25763.08
2006-02-28,150220.60846971523,5.74,26170.84
