Date,GDP in mil Local,US/Local,GDP in mil USD
1995-03-31,1257810.0,116.36,10809.64
1995-04-30,1333756.3712457705,120.24,11092.45
1995-05-31,1398571.0613996456,123.87,11290.64
1995-06-30,1434850.0,125.53,11430.34
1995-07-31,1439459.052683323,126.38,11389.93
1995-08-31,1437777.8866467127,130.56,11012.39
1995-09-30,1463478.0,133.68,10947.62
1995-10-31,1538567.8604177567,133.88,11492.14
1995-11-30,1624969.8897495577,135.75,11970.31
1995-12-31,1680346.0,138.99,12089.69
1996-01-31,1669404.91581523,141.92,11763.0
1996-02-29,1630459.3508676142,144.4,11291.27
1996-03-31,1608107.0,146.04,11011.41
1996-04-30,1639615.7909766864,148.75,11022.63
1996-05-31,1701276.1974787426,151.93,11197.76
1996-06-30,1749141.0,152.79,11448.01
1996-07-31,1758505.4164210546,153.15,11482.24
1996-08-31,1753747.2605088602,153.93,11393.15
1996-09-30,1773613.0,156.67,11320.69
1996-10-31,1844072.63297785,159.03,11595.75
1996-11-30,1930007.4418175733,159.41,12107.19
1996-12-31,1991445.0,163.74,12162.24
1997-01-31,1994805.871858032,166.1,12009.67
1997-02-28,1975727.0483947715,173.32,11399.3
1997-03-31,1976304.0,176.83,11176.29
1997-04-30,2029811.0185047504,179.77,11291.16
1997-05-31,2111415.535881068,181.4,11639.56
1997-06-30,2173397.0,185.04,11745.55
1997-07-31,2190838.194004109,191.91,11415.97
1997-08-31,2192096.6161325653,197.89,11077.35
1997-09-30,2221471.0,195.96,11336.35
1997-10-31,2308138.2208667477,195.59,11800.9
1997-11-30,2406237.4604408084,196.19,12264.83
1997-12-31,2463388.0,201.47,12227.07
1998-01-31,2437587.223017225,206.26,11818.03
1998-02-28,2383016.958118455,207.78,11468.94
1998-03-31,2353125.0,210.55,11176.09
1998-04-30,2399700.4793486795,211.56,11342.88
1998-05-31,2490609.472599783,210.69,11821.2
1998-06-30,2565669.0,215.89,11884.15
1998-07-31,2591684.0563697163,217.72,11903.75
1998-08-31,2600059.581097655,221.43,11742.13
1998-09-30,2641267.0,220.44,11981.8
1998-10-31,2746779.4721344113,215.7,12734.26
1998-11-30,2852196.3025285667,217.67,13103.3
1998-12-31,2882758.0,217.13,13276.65
1999-01-31,2783857.1723217084,215.96,12890.61
1999-02-28,2651004.7836105027,223.25,11874.6
1999-03-31,2562452.0,233.15,10990.57
1999-04-30,2609279.5217841654,235.68,11071.28
1999-05-31,2738474.2502661995,235.28,11639.21
1999-06-30,2854557.0,240.16,11886.06
1999-07-31,2901208.0729142255,241.94,11991.44
1999-08-31,2915282.4843558376,239.09,12193.24
1999-09-30,2962257.0,242.97,12191.86
1999-10-31,3084648.151442483,240.53,12824.38
1999-11-30,3211154.0570868384,246.45,13029.64
1999-12-31,3258280.0,251.29,12966.21
2000-01-31,3163231.1408173023,251.15,12594.99
2000-02-29,3021689.3513665996,259.95,11624.12
2000-03-31,2930525.0,266.42,10999.64
2000-04-30,2982069.465808318,272.87,10928.54
2000-05-31,3124994.705769556,285.52,10944.92
2000-06-30,3263165.0,273.66,11924.16
2000-07-31,3339948.1798903476,276.63,12073.7
2000-08-31,3381736.856823625,288.18,11734.81
2000-09-30,3442020.0,300.99,11435.66
2000-10-31,3556700.1152757187,307.1,11581.57
2000-11-30,3663003.2594189346,308.27,11882.45
2000-12-31,3688342.0,295.41,12485.5
2001-01-31,3582501.363031137,282.24,12693.1
2001-02-28,3453522.5411352245,288.13,11985.99
2001-03-31,3395609.0,292.63,11603.76
2001-04-30,3506334.6343078758,298.99,11727.26
2001-05-31,3715119.8613345595,295.4,12576.57
2001-06-30,3892980.0,289.33,13455.16
2001-07-31,3964557.897283954,289.49,13694.97
2001-08-31,3966193.4494786677,279.07,14212.18
2001-09-30,3973506.0,280.92,14144.62
2001-10-31,4037532.354723272,281.52,14341.9
2001-11-30,4112403.0280442154,283.15,14523.76
2001-12-31,4136606.0,277.01,14933.06
2002-01-31,4066469.126555787,275.92,14737.86
2002-02-28,3977933.7835522406,279.91,14211.47
2002-03-31,3939887.0,279.48,14097.21
2002-04-30,4022098.5045899614,273.61,14700.12
2002-05-31,4173883.140859143,265.8,15703.1
2002-06-30,4302211.0,254.09,16931.84
2002-07-31,4356253.605522638,248.59,17523.85
2002-08-31,4379478.025066202,250.9,17455.07
2002-09-30,4444286.0,248.66,17872.94
2002-10-31,4595155.415319964,248.18,18515.41
