Date,GDP in mil Local,US/Local,GDP in mil USD
2010-03-31,12583478.33,147.85,85109.76
2010-04-30,12607700.285712603,147.9,85244.76
2010-05-31,12703844.939986082,148.32,85651.6
2010-06-30,12934530.67,148.22,87265.76
2010-07-31,13352929.158183252,148.1,90161.57
2010-08-31,13857415.82248726,148.27,93460.69
2010-09-30,14304438.44,149.04,95977.18
2010-10-31,14620383.700493095,149.19,97998.42
2010-11-30,14774744.8250123,148.24,99667.73
2010-12-31,14789816.74,148.56,99554.5
2011-01-31,14686069.078797458,149.52,98221.44
2011-02-28,14565691.137113709,149.94,97143.46
2011-03-31,14501448.14,150.5,96355.14
2011-04-30,14581716.388325501,151.9,95995.5
2011-05-31,14787050.657595366,152.78,96786.56
2011-06-30,15054961.2,152.47,98740.48
2011-07-31,15366038.572908679,149.86,102535.96
2011-08-31,15730259.085748794,150.7,104381.28
2011-09-30,16163642.18,153.24,105479.26
2011-10-31,16686699.379935175,151.21,110354.47
2011-11-30,17109711.9756629,153.66,111347.86
2011-12-31,17260345.71,156.14,110544.04
2012-01-31,17009868.544770267,156.32,108814.41
2012-02-29,16643923.289833903,155.8,106828.78
2012-03-31,16450359.58,155.53,105769.69
2012-04-30,16691054.902077643,155.27,107496.97
2012-05-31,17219148.35545266,155.22,110933.83
2012-06-30,17743632.52,155.38,114195.09
2012-07-31,18097498.816279996,155.38,116472.51
2012-08-31,18318496.43914225,155.32,117940.36
2012-09-30,18521600.56,155.28,119278.73
2012-10-31,18791722.760511052,155.26,121033.9
2012-11-30,19000025.910973802,155.2,122422.85
2012-12-31,18998342.4,155.27,122356.81
2013-01-31,18696592.26317065,155.24,120436.69
2013-02-28,18379331.554623358,155.24,118393.01
2013-03-31,18295631.91,155.25,117846.26
2013-04-30,18690321.69910398,155.25,120388.55
2013-05-31,19360281.037350234,155.24,124711.94
2013-06-30,19931015.71,155.25,128380.13
2013-07-31,20196849.1736548,155.26,130084.05
2013-08-31,20291768.190474793,155.26,130695.4
2013-09-30,20464395.99,155.26,131807.27
2013-10-31,20879485.329728063,155.36,134394.22
2013-11-30,21290354.10254913,155.21,137171.28
2013-12-31,21401519.78,155.22,137878.62
2014-01-31,21000926.628748726,155.23,135289.1
2014-02-28,20480787.058758214,155.25,131921.33
2014-03-31,20169778.04,155.24,129926.42
2014-04-30,20440934.927517164,155.23,131681.6
2014-05-31,21092085.931227148,155.23,135876.35
2014-06-30,21734829.86,155.23,140016.94
2014-07-31,22154282.652547035,155.23,142719.08
2014-08-31,22476184.857248526,155.23,144792.79
2014-09-30,22933144.01,155.24,147727.03
2014-10-31,23669841.18259737,155.26,152452.93
2014-11-30,24256010.628433064,157.91,153606.55
2014-12-31,24205863.34,167.5,144512.62
2015-01-31,23189366.617063414,167.5,138443.98
2015-02-28,21957674.51754283,178.15,123253.86
2015-03-31,21041701.1,196.57,107044.32
2015-04-30,21165633.561881036,196.5,107713.15
2015-05-31,21981522.17651853,196.5,111865.25
2015-06-30,22859153.01,196.42,116378.95
2015-07-31,23413527.21911081,196.47,119171.0
2015-08-31,23793109.36319944,196.5,121084.53
2015-09-30,24313636.94,196.5,123733.52
2015-10-31,25180197.44157189,196.49,128150.02
2015-11-30,25904189.790624324,196.49,131834.65
2015-12-31,25930469.41,196.49,131968.39
2016-01-31,24859562.23584955,196.55,126479.58
2016-02-29,23416790.2912139,196.5,119169.42
2016-03-31,22235315.29,196.5,113156.82
2016-04-30,22055487.87850063,196.5,112241.67
2016-05-31,22646293.0685028,196.5,115248.31
2016-06-30,23547466.91,231.26,101822.48
2016-07-31,24475989.34339527,294.07,83231.85
2016-08-31,25441501.42585536,309.23,82273.72
2016-09-30,26537651.01,304.73,87085.78
2016-10-31,27853013.35152763,304.71,91408.27
2016-11-30,28887966.368617535,304.68,94814.12
2016-12-31,29169058.99,304.72,95724.14
2017-01-31,28330891.446027834,304.7,92979.62
2017-02-28,27112302.69075701,304.81,88948.21
