Date,GDP in mil Local,US/Local,GDP in mil USD
2002-03-31,189879.4,4.14,45864.59
2002-04-30,193943.3776297905,4.06,47769.3
2002-05-31,197183.3330556046,4.05,48687.24
2002-06-30,198461.7,4.02,49368.58
2002-07-31,197642.58094639838,4.12,47971.5
2002-08-31,197394.61861440935,4.18,47223.59
2002-09-30,200992.1,4.15,48431.83
2002-10-31,210307.88591820264,4.12,51045.6
2002-11-30,219706.95110974324,3.96,55481.55
2002-12-31,222880.7,3.91,57002.74
2003-01-31,215053.40790374903,3.83,56149.71
2003-02-28,203729.17908800105,3.86,52779.58
2003-03-31,194803.2,4.0,48700.8
2003-04-30,195611.81644900917,3.96,49396.92
2003-05-31,202184.12589705386,3.75,53915.77
2003-06-30,207707.9,3.8,54659.97
2003-07-31,207989.60813707102,3.91,53194.27
2003-08-31,206497.98826795572,3.92,52678.06
2003-09-30,208842.8,3.98,52473.07
2003-10-31,218569.71218713638,3.92,55757.58
2003-11-30,229836.71408659857,3.95,58186.51
2003-12-31,235798.2,3.79,62215.88
2004-01-31,230954.32017873522,3.73,61918.05
2004-02-29,221589.33294878874,3.85,57555.67
2004-03-31,214304.7,3.89,55091.18
2004-04-30,215419.6531972363,3.96,54398.9
2004-05-31,221383.07249439866,3.94,56188.6
2004-06-30,226018.2,3.79,59635.41
2004-07-31,225700.02176909582,3.64,62005.5
2004-08-31,224589.72504872066,3.64,61700.47
2004-09-30,228868.4,3.58,63929.72
2004-10-31,242331.08847187264,3.46,70037.89
2004-11-30,257030.70360852388,3.28,78363.02
2004-12-31,263900.2,3.1,85129.1
2005-01-31,255743.9869514085,3.1,82498.06
2005-02-28,241923.91868263166,3.06,79060.1
2005-03-31,230098.9,3.05,75442.26
2005-04-30,229721.51038695683,3.21,71564.33
2005-05-31,236400.28786016259,3.29,71854.19
2005-06-30,242441.24,3.34,72587.2
2005-07-31,242999.628126835,3.4,71470.48
2005-08-31,241731.53873613957,3.29,73474.63
2005-09-30,244647.8,3.2,76452.44
2005-10-31,255509.27297561936,3.26,78377.08
2005-11-30,267667.86770970956,3.37,79426.67
2005-12-31,273342.5,3.25,84105.38
2006-01-31,266386.6645820174,3.16,84299.58
2006-02-28,254729.5308327566,3.17,80356.32
2006-03-31,244896.2,3.22,76054.72
2006-04-30,244897.06397993112,3.2,76530.33
2006-05-31,250997.612227828,3.05,82294.3
2006-06-30,256604.7,3.17,80947.85
2006-07-31,257768.4616819434,3.15,81831.26
2006-08-31,258372.70743946842,3.05,84712.36
2006-09-30,264324.1,3.12,84719.26
2006-10-31,279358.6407607464,3.09,90407.33
2006-11-30,295429.8905849625,2.97,99471.34
2006-12-31,303606.4,2.89,105054.12
2007-01-31,296670.4676890517,2.98,99553.85
