,Gross Domestic Product (GDP)
Region,Egypt
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,EGP bn
Source,Ministry of Planning and Economic Development
Status,Active
Series ID,127585708
SR Code,SR1763451
Trade Code,
Mnemonic,EG.GDP.NM.EGP-BN-Q
Function Description,
First Obs. Date,09/2001
Last Obs. Date,03/2023
Last Update Time,08/10/2023
Series remarks,
Suggestions,
Mean,697.4045977011494
Variance,433658.98300187127
Standard Deviation,658.5278908306551
Skewness,1.204051255113148
Kurtosis,0.48958611537208485
Coefficient Variation,0.9442551612096574
Min,92.5
Max,2618.8
Median,428.1
No. of Obs,87
09/2001,99.8
12/2001,93.4
03/2002,93.2
06/2002,92.5
09/2002,109.3
12/2002,102.5
03/2003,102.5
06/2003,103.2
09/2003,121.8
12/2003,115.7
03/2004,122.2
06/2004,125.6
09/2004,137.9
12/2004,130.9
03/2005,133.5
06/2005,136.2
09/2005,153.5
12/2005,147.4
03/2006,153.3
06/2006,163.5
09/2006,185.9
12/2006,183.1
03/2007,183.4
06/2007,192.4
09/2007,219.8
12/2007,221.8
03/2008,223.5
06/2008,230.4
09/2008,273.4
12/2008,249.5
03/2009,251.7
06/2009,267.6
09/2009,311.1
12/2009,293.4
03/2010,292.4
06/2010,309.7
09/2010,364.3
12/2010,341.1
03/2011,316.2
06/2011,349.5
09/2011,428.1
12/2011,422.6
03/2012,402.8
06/2012,421.2
09/2012,476.6
12/2012,468
03/2013,448.4
06/2013,467.4
09/2013,554.5
12/2013,535.7
03/2014,513.2
06/2014,526.6
09/2014,647.1
12/2014,623.8
03/2015,587.6
06/2015,585.4
09/2015,710.9
12/2015,689.8
03/2016,647.6
06/2016,661.1
09/2016,877.9
12/2016,899.8
03/2017,924.1
06/2017,954.1
09/2017,1224.9
12/2017,1199.9
03/2018,1107.4
06/2018,1134
09/2018,1473.4
12/2018,1448.8
03/2019,1336
06/2019,1337.8
09/2019,1640.2
12/2019,1617.7
03/2020,1494.7
06/2020,1400
09/2020,1711.1
12/2020,1742
03/2021,1619
06/2021,1591
09/2021,2006.3
12/2021,2010.2
03/2022,1877.4
06/2022,1948.6
09/2022,2444.7
12/2022,2517.9
03/2023,2618.8
