,Gross Domestic Product (GDP)
Region,Hungary
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,HUF mn
Source,Hungarian Central Statistical Office
Status,Active
Series ID,359249237
SR Code,SR85117507
Trade Code,
Mnemonic,HU.GDP.NM.HUF-MN-Q
Function Description,
First Obs. Date,03/1995
Last Obs. Date,06/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,7106873.675438597
Variance,15706480025794.896
Standard Deviation,3963140.1723626805
Skewness,0.8340269270336874
Kurtosis,0.48224812596703215
Coefficient Variation,0.5576488837925063
Min,1257810
Max,18871593
Median,6635632
No. of Obs,114
03/1995,1257810
06/1995,1434850
09/1995,1463478
12/1995,1680346
03/1996,1608107
06/1996,1749141
09/1996,1773613
12/1996,1991445
03/1997,1976304
06/1997,2173397
09/1997,2221471
12/1997,2463388
03/1998,2353125
06/1998,2565669
09/1998,2641267
12/1998,2882758
03/1999,2562452
06/1999,2854557
09/1999,2962257
12/1999,3258280
03/2000,2930525
06/2000,3263165
09/2000,3442020
12/2000,3688342
03/2001,3395609
06/2001,3892980
09/2001,3973506
12/2001,4136606
03/2002,3939887
06/2002,4302211
09/2002,4444286
12/2002,4747475
03/2003,4172831
06/2003,4704431
09/2003,4874447
12/2003,5378302
03/2004,4753947
06/2004,5356318
09/2004,5349315
12/2004,5650478
03/2005,4884392
06/2005,5657084
09/2005,5803062
12/2005,6250428
03/2006,5315834
06/2006,6087158
09/2006,6294427
12/2006,6647989
03/2007,5796671
06/2007,6356593
09/2007,6547755
12/2007,7040879
03/2008,6330799
06/2008,6855502
09/2008,6770223
12/2008,7293420
03/2009,6023446
06/2009,6574453
09/2009,6623275
12/2009,7299602
03/2010,6057981
06/2010,6764876
09/2010,7023754
12/2010,7638482
03/2011,6288612
06/2011,6993091
09/2011,7297038
12/2011,7959461
03/2012,6482457
06/2012,7125402
09/2012,7441947
12/2012,7946825
03/2013,6667960
06/2013,7526800
09/2013,7839753
12/2013,8317390
03/2014,7219736
06/2014,8105508
09/2014,8502492
12/2014,8976971
03/2015,7657122
06/2015,8554488
09/2015,8966416
12/2015,9787187
03/2016,7923459
06/2016,9038091
09/2016,9293296
12/2016,9951820
03/2017,8532102
06/2017,9697274
09/2017,10079621
12/2017,10965760
03/2018,9364341
06/2018,10675815
09/2018,11205298
12/2018,12141256
03/2019,10384660
06/2019,11788599
09/2019,12269520
12/2019,13231408
03/2020,11126593
06/2020,10983526
09/2020,12448615
12/2020,13866687
03/2021,11365153
06/2021,13566976
09/2021,14084802
12/2021,16181996
03/2022,13696522
06/2022,16339485
09/2022,17167589
12/2022,18871593
03/2023,15488981
06/2023,18587624
