,Gross Domestic Product (GDP)
Region,Poland
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,PLN mn
Source,Statistics Poland
Status,Active
Series ID,359420117
SR Code,SR85267967
Trade Code,
Mnemonic,PL.GDP.NM.PLN-MN-Q
Function Description,
First Obs. Date,03/2002
Last Obs. Date,06/2023
Last Update Time,31/08/2023
Series remarks,
Suggestions,
Mean,420148.85750000004
Variance,26487649741.372852
Standard Deviation,162750.26802243016
Skewness,0.7329345935505908
Kurtosis,0.04407520748413196
Coefficient Variation,0.38736334781638704
Min,189879.4
Max,874266.6
Median,397093.2
No. of Obs,86
03/2002,189879.4
06/2002,198461.7
09/2002,200992.1
12/2002,222880.7
03/2003,194803.2
06/2003,207707.9
09/2003,208842.8
12/2003,235798.2
03/2004,214304.7
06/2004,226018.2
09/2004,228868.4
12/2004,263900.2
03/2005,230098.9
06/2005,242441.245
09/2005,244647.8
12/2005,273342.5
03/2006,244896.2
06/2006,256604.7
09/2006,264324.1
12/2006,303606.4
03/2007,272905.4
06/2007,285685.6
09/2007,290508.5
12/2007,338408.6
03/2008,302030.848
06/2008,311056.714
09/2008,314013.412
12/2008,358469.826
03/2009,321110.2
06/2009,330450
09/2009,337326.1
12/2009,383138.2
03/2010,328151.3
06/2010,347247.3
09/2010,354441.3
12/2010,404528.4
03/2011,355127.7
06/2011,374546
09/2011,383444.5
12/2011,440522.6
03/2012,374631.4
06/2012,394901.6
09/2012,398273
12/2012,444932.7
03/2013,374894.1
06/2013,395913.4
09/2013,400482.1
12/2013,458836.4
03/2014,394621.4
06/2014,413397.8
09/2014,420936.7
12/2014,471596.4
03/2015,412279.3
06/2015,433578.7
09/2015,440997.2
12/2015,511615.4
03/2016,428321.4
06/2016,448549.5
09/2016,453478.9
12/2016,522855.1
03/2017,459118.2
06/2017,478551.6
09/2017,489383.7
12/2017,555740.5
03/2018,489978.7
06/2018,510710
09/2018,527438.7
12/2018,598379.1
03/2019,527507.6
06/2019,554322.7
09/2019,568393.2
12/2019,638268.3
03/2020,559518.6
06/2020,529052.1
09/2020,589122.6
12/2020,659978.3
03/2021,595751.8
06/2021,621312.1
09/2021,666402.2
12/2021,747836
03/2022,694185.1
06/2022,725438.9
09/2022,784434
12/2022,874266.6
03/2023,800379.7
06/2023,806707.1
