,Exchange Rate against USD: Period Avg: Monthly: Hungary
Region,Hungary
Subnational,
Frequency,Monthly
Unit,USD/HUF
Source,CEIC Data
Status,Active
Series ID,212321902
SR Code,SR197139457
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1968
Last Obs. Date,09/2023
Last Update Time,29/09/2023
Series remarks,
Suggestions,
Mean,149.31523611345244
Variance,10401.06212930898
Standard Deviation,101.98559765628174
Skewness,0.37567601183423244
Kurtosis,-1.2295399155243063
Coefficient Variation,0.6830220432346986
Min,31.7855
Max,426.0995
Median,135.75
No. of Obs,669
01/1968,60
02/1968,60
03/1968,60
04/1968,60
05/1968,60
06/1968,60
07/1968,60
08/1968,60
09/1968,60
10/1968,60
11/1968,60
12/1968,60
01/1969,60
02/1969,60
03/1969,60
04/1969,60
05/1969,60
06/1969,60
07/1969,60
08/1969,60
09/1969,60
10/1969,60
11/1969,60
12/1969,60
01/1970,60
02/1970,60
03/1970,60
04/1970,60
05/1970,60
06/1970,60
07/1970,60
08/1970,60
09/1970,60
10/1970,60
11/1970,60
12/1970,60
01/1971,60
02/1971,60
03/1971,60
04/1971,60
05/1971,60
06/1971,60
07/1971,60
08/1971,60
09/1971,60
10/1971,60
11/1971,60
12/1971,57.8594
01/1972,55.26
02/1972,55.26
03/1972,55.26
04/1972,55.26
05/1972,55.26
06/1972,55.26
07/1972,55.26
08/1972,55.26
09/1972,55.26
10/1972,55.26
11/1972,55.26
12/1972,55.26
01/1973,55.26
02/1973,52.1038
03/1973,49.7366
04/1973,49.7366
05/1973,49.7366
06/1973,49.7366
07/1973,47.5225
08/1973,46.7524
09/1973,46.7524
10/1973,46.7524
11/1973,46.7524
12/1973,46.7524
01/1974,46.7524
02/1974,46.7524
03/1974,46.7524
04/1974,46.7524
05/1974,46.7524
06/1974,46.7524
07/1974,46.7524
08/1974,46.7524
09/1974,46.7524
10/1974,46.7524
11/1974,46.7524
12/1974,46.7524
01/1975,46.2858
02/1975,46.2858
03/1975,43.5085
04/1975,43.5085
05/1975,43.5085
06/1975,43.5085
07/1975,43.5085
08/1975,43.5085
09/1975,43.5085
10/1975,43.5085
11/1975,43.5085
12/1975,43.5085
01/1976,41.3
02/1976,41.3
03/1976,41.4032
04/1976,41.7
05/1976,41.7
06/1976,41.7
07/1976,41.7
08/1976,41.7
09/1976,41.7
10/1976,41.7
11/1976,41.7
12/1976,41.3
01/1977,41.3
02/1977,41.3
03/1977,41.2645
04/1977,41.2
05/1977,41.2
06/1977,41.2
07/1977,41.0645
08/1977,40.6
09/1977,40.6
10/1977,40.6
11/1977,40.6
12/1977,40.6
01/1978,39.8
02/1978,39.8
03/1978,39.0516
04/1978,38.727
05/1978,37.83
06/1978,37.83
07/1978,37.83
08/1978,37.45
09/1978,37.45
10/1978,37.45
11/1978,36.1396
12/1978,35.578
01/1979,35.578
02/1979,35.578
03/1979,35.578
04/1979,35.578
05/1979,35.578
06/1979,35.578
07/1979,35.578
08/1979,35.578
09/1979,35.578
10/1979,35.578
11/1979,35.578
12/1979,35.578
01/1980,34
02/1980,33.5
03/1980,31.9345
04/1980,32.9677
05/1980,32.6022
06/1980,32.2436
07/1980,32.0497
08/1980,31.7855
09/1980,32.2393
10/1980,32.2393
11/1980,32.613
12/1980,32.2126
01/1981,32.5534
02/1981,32.9951
03/1981,33.5655
04/1981,33.5655
05/1981,34.049
06/1981,34.729
07/1981,35.0739
08/1981,35.6076
09/1981,35.9536
10/1981,34.7496
11/1981,34.4996
12/1981,34.4297
01/1982,34.4297
02/1982,34.5634
03/1982,34.65
04/1982,34.9365
05/1982,34.5993
06/1982,35.0563
07/1982,37.3159
08/1982,38.2278
09/1982,38.3549
10/1982,38.59
11/1982,38.9634
12/1982,39.8794
01/1983,39.4771
02/1983,39.8807
03/1983,40.1801
04/1983,41.3416
05/1983,41.7838
06/1983,42.4982
07/1983,43.5512
08/1983,44.5886
09/1983,44.6811
10/1983,44.37
11/1983,44.6442
12/1983,45.0572
01/1984,45.2934
02/1984,46.1272
03/1984,45.6318
04/1984,45.7064
05/1984,46.4329
06/1984,46.701
07/1984,49.2601
08/1984,49.5754
09/1984,50.0671
10/1984,50.6811
11/1984,50.1836
12/1984,50.8465
01/1985,51.3183
02/1985,51.9637
03/1985,52.1753
04/1985,50.8891
05/1985,51.0777
06/1985,50.8274
07/1985,50.0027
08/1985,49.2789
09/1985,49.6054
10/1985,48.4457
11/1985,48.1489
12/1985,47.6997
01/1986,47.1483
02/1986,45.8948
03/1986,46.0034
04/1986,46.2473
05/1986,45.4411
06/1986,46.1304
07/1986,45.0227
08/1986,43.7482
09/1986,44.3895
10/1986,46.5017
11/1986,46.9371
12/1986,46.5213
01/1987,44.9127
02/1987,44.3674
03/1987,46.6678
04/1987,47.4927
05/1987,47.0797
06/1987,47.6231
07/1987,48.0745
08/1987,48.2871
09/1987,47.5169
10/1987,47.4854
11/1987,47.1171
12/1987,47.0221
01/1988,47.1855
02/1988,48.0639
03/1988,47.7863
04/1988,47.5811
05/1988,47.9429
06/1988,48.9414
07/1988,51.7269
08/1988,54.306
09/1988,54.0731
10/1988,53.3753
11/1988,51.9589
12/1988,52.0172
01/1989,53.291
02/1989,53.7327
03/1989,54.9872
04/1989,58.9038
05/1989,61.6652
06/1989,62.428
07/1989,60.7576
08/1989,60.5814
09/1989,61.0604
10/1989,59.6382
11/1989,59.1209
12/1989,62.6297
01/1990,62.3583
02/1990,63.9429
03/1990,65.6779
04/1990,65.2133
05/1990,64.5682
06/1990,65.0232
07/1990,64.013
08/1990,62.3791
09/1990,62.3538
10/1990,61.3735
11/1990,60.6212
12/1990,60.946
01/1991,68.5942
02/1991,69.5312
03/1991,72.6464
04/1991,75.1838
05/1991,75.5736
06/1991,76.9751
07/1991,77.2875
08/1991,76.2677
09/1991,75.4876
10/1991,75.2144
11/1991,77.284
12/1991,76.7791
01/1992,76.9168
02/1992,77.811
03/1992,79.64
04/1992,79.978
05/1992,79.2806
06/1992,78.464
07/1992,77.4897
08/1992,76.6426
09/1992,77.3893
10/1992,78.7987
11/1992,82.529
12/1992,82.921
01/1993,83.83
02/1993,85.8029
03/1993,87.1248
04/1993,87.6453
05/1993,87.6655
06/1993,90.2683
07/1993,94.5871
08/1993,95.2813
09/1993,93.4563
10/1993,97.8523
11/1993,99.715
12/1993,99.9694
01/1994,101.96
02/1994,103
03/1994,103.09
04/1994,103.25
05/1994,102.59
06/1994,102.73
07/1994,100.93
08/1994,107.52
09/1994,108.19
10/1994,107.56
11/1994,109.04
12/1994,111.6
01/1995,111.51
02/1995,111.85
03/1995,116.36
04/1995,120.24
05/1995,123.87
06/1995,125.53
07/1995,126.38
08/1995,130.56
09/1995,133.68
10/1995,133.88
11/1995,135.75
12/1995,138.99
01/1996,141.92
02/1996,144.4
03/1996,146.04
04/1996,148.75
05/1996,151.93
06/1996,152.79
07/1996,153.15
08/1996,153.93
09/1996,156.67
10/1996,159.03
11/1996,159.41
12/1996,163.74
01/1997,166.1
02/1997,173.317
03/1997,176.8295
04/1997,179.76818182
05/1997,181.40157895
06/1997,185.03857143
07/1997,191.91
08/1997,197.89
09/1997,195.96
10/1997,195.59
11/1997,196.19
12/1997,201.47
01/1998,206.26
02/1998,207.78
03/1998,210.55
04/1998,211.56
05/1998,210.69
06/1998,215.89
07/1998,217.72
08/1998,221.43
09/1998,220.44272727
10/1998,215.7
11/1998,217.66619048
12/1998,217.12857143
01/1999,215.96
02/1999,223.248
03/1999,233.14772727
04/1999,235.67666667
05/1999,235.284
06/1999,240.16045455
07/1999,241.94090909
08/1999,239.09238095
09/1999,242.97
10/1999,240.52904762
11/1999,246.45045455
12/1999,251.29
01/2000,251.1455
02/2000,259.95285714
03/2000,266.41590909
04/2000,272.87421053
05/2000,285.51863636
06/2000,273.65857143
07/2000,276.6347619
08/2000,288.1826087
09/2000,300.98904762
10/2000,307.09714286
11/2000,308.27190476
12/2000,295.40526316
01/2001,282.24045455
02/2001,288.1285
03/2001,292.6285
04/2001,298.99052632
05/2001,295.40136364
06/2001,289.3295
07/2001,289.49227273
08/2001,279.06772727
09/2001,280.917
10/2001,281.52333333
11/2001,283.15
12/2001,277.00882353
01/2002,275.92272727
02/2002,279.91
03/2002,279.4765
04/2002,273.6147619
05/2002,265.80047619
06/2002,254.094
07/2002,248.5873913
08/2002,250.902
09/2002,248.66285714
10/2002,248.17863636
11/2002,237.627
12/2002,231.87421053
01/2003,226.07454545
02/2003,227.5335
03/2003,227.24857143
04/2003,226.25904762
05/2003,212.169
06/2003,223.697
07/2003,232.10695652
08/2003,232.8395
09/2003,227.78818182
10/2003,218.45619048
11/2003,221.684
12/2003,215.8155
01/2004,209.758
02/2004,207.9405
03/2004,206.575
04/2004,208.63666667
05/2004,210.6675
06/2004,208.59727273
07/2004,203.60727273
08/2004,204.50666667
09/2004,202.77545455
10/2004,197.56047619
11/2004,188.88095238
12/2004,183.42227273
01/2005,187.80571429
02/2005,187.2335
03/2005,185.9105
04/2005,191.68619048
05/2005,198.34333333
06/2005,204.65409091
07/2005,204.57571429
08/2005,198.82565217
09/2005,200.57727273
10/2005,209.3705
11/2005,213.02809524
12/2005,212.97238095
01/2006,207.11590909
02/2006,210.6025
03/2006,216.87363636
04/2006,216.32
05/2006,205.46409091
06/2006,214.89380952
07/2006,218.80714286
08/2006,213.98521739
09/2006,215.70571429
10/2006,211.83
11/2006,200.81857143
12/2006,192.26421053
01/2007,195.22
02/2007,193.87
03/2007,188.74
04/2007,182.13
05/2007,183.84
06/2007,186.69
07/2007,179.96
08/2007,187.33
09/2007,182.44
10/2007,176.29
11/2007,173.14
12/2007,173.86
01/2008,174.11
02/2008,177.69
03/2008,167.56
04/2008,161.03
05/2008,158.88
06/2008,155.92
07/2008,147.06
08/2008,157.45
09/2008,167.43
10/2008,193.23
11/2008,208.22
12/2008,196.78
01/2009,211.69
02/2009,233.34
03/2009,233.54
04/2009,223.7
05/2009,206.58
06/2009,200.27
07/2009,193.27
08/2009,189.1
09/2009,186.84
10/2009,181.41
11/2009,181.6
12/2009,186.76
01/2010,188.56
02/2010,198.08
03/2010,195.67
04/2010,197.66
05/2010,219.74
06/2010,230.31
07/2010,222.23
08/2010,217.76
09/2010,216.22
10/2010,197.55
11/2010,201.88
12/2010,209.67
01/2011,206.31
02/2011,198.67
03/2011,193.16
04/2011,183.58
05/2011,185.87
06/2011,185.31
07/2011,187.36
08/2011,189.7
09/2011,206.69
10/2011,216.55
11/2011,228.58
12/2011,230.88
01/2012,238.06
02/2012,219.57
03/2012,220.96
04/2012,224.69
05/2012,229.38
06/2012,234.39
07/2012,232.9
08/2012,224.78
09/2012,221.01
10/2012,217.71
11/2012,220.27
12/2012,217.53
01/2013,220.95
02/2013,219.04
03/2013,233.91
04/2013,229.53
05/2013,225.32
06/2013,224.23
07/2013,225.45
08/2013,224.9
09/2013,224.5
10/2013,216.35
11/2013,220.69
12/2013,219.47
01/2014,221.96
02/2014,227.04
03/2014,225.46
04/2014,222.51
05/2014,221.6
06/2014,225.18
07/2014,228.71
08/2014,235.63
09/2014,242.62
10/2014,242.72
11/2014,246.19
12/2014,251.6
01/2015,272.65
