,Exchange Rate against USD: Period Avg: Monthly: Nigeria
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,USD/NGN
Source,CEIC Data
Status,Active
Series ID,236274303
SR Code,SR197139837
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1957
Last Obs. Date,09/2023
Last Update Time,03/10/2023
Series remarks,
Suggestions,
Mean,79.10355661581823
Variance,14746.565873721866
Standard Deviation,121.43543911775453
Skewness,2.014247042464431
Kurtosis,4.79325747554599
Coefficient Variation,1.5351451225831638
Min,0.52988555
Max,769.81652381
Median,7.94281
No. of Obs,801
01/1957,0.714286
02/1957,0.714286
03/1957,0.714286
04/1957,0.714286
05/1957,0.714286
06/1957,0.714286
07/1957,0.714286
08/1957,0.714286
09/1957,0.714286
10/1957,0.714286
11/1957,0.714286
12/1957,0.714286
01/1958,0.714286
02/1958,0.714286
03/1958,0.714286
04/1958,0.714286
05/1958,0.714286
06/1958,0.714286
07/1958,0.714286
08/1958,0.714286
09/1958,0.714286
10/1958,0.714286
11/1958,0.714286
12/1958,0.714286
01/1959,0.714286
02/1959,0.714286
03/1959,0.714286
04/1959,0.714286
05/1959,0.714286
06/1959,0.714286
07/1959,0.714286
08/1959,0.714286
09/1959,0.714286
10/1959,0.714286
11/1959,0.714286
12/1959,0.714286
01/1960,0.714286
02/1960,0.714286
03/1960,0.714286
04/1960,0.714286
05/1960,0.714286
06/1960,0.714286
07/1960,0.714286
08/1960,0.714286
09/1960,0.714286
10/1960,0.714286
11/1960,0.714286
12/1960,0.714286
01/1961,0.714286
02/1961,0.714286
03/1961,0.714286
04/1961,0.714286
05/1961,0.714286
06/1961,0.714286
07/1961,0.714286
08/1961,0.714286
09/1961,0.714286
10/1961,0.714286
11/1961,0.714286
12/1961,0.714286
01/1962,0.714286
02/1962,0.714286
03/1962,0.714286
04/1962,0.714286
05/1962,0.714286
06/1962,0.714286
07/1962,0.714286
08/1962,0.714286
09/1962,0.714286
10/1962,0.714286
11/1962,0.714286
12/1962,0.714286
01/1963,0.714286
02/1963,0.714286
03/1963,0.714286
04/1963,0.714286
05/1963,0.714286
06/1963,0.714286
07/1963,0.714286
08/1963,0.714286
09/1963,0.714286
10/1963,0.714286
11/1963,0.714286
12/1963,0.714286
01/1964,0.714286
02/1964,0.714286
03/1964,0.714286
04/1964,0.714286
05/1964,0.714286
06/1964,0.714286
07/1964,0.714286
08/1964,0.714286
09/1964,0.714286
10/1964,0.714286
11/1964,0.714286
12/1964,0.714286
01/1965,0.714286
02/1965,0.714286
03/1965,0.714286
04/1965,0.714286
05/1965,0.714286
06/1965,0.714286
07/1965,0.714286
08/1965,0.714286
09/1965,0.714286
10/1965,0.714286
11/1965,0.714286
12/1965,0.714286
01/1966,0.714286
02/1966,0.714286
03/1966,0.714286
04/1966,0.714286
05/1966,0.714286
06/1966,0.714286
07/1966,0.714286
08/1966,0.714286
09/1966,0.714286
10/1966,0.714286
11/1966,0.714286
12/1966,0.714286
01/1967,0.714286
02/1967,0.714286
03/1967,0.714286
04/1967,0.714286
05/1967,0.714286
06/1967,0.714286
07/1967,0.714286
08/1967,0.714286
09/1967,0.714286
10/1967,0.714286
11/1967,0.714286
