,Exchange Rate against USD: Period Avg: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,USD/PLN
Source,CEIC Data
Status,Active
Series ID,212328302
SR Code,SR197139917
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1957
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,1.6209723770286981
Variance,2.9604807020648236
Standard Deviation,1.7206047489370775
Skewness,0.30020492274454375
Kurtosis,-1.6786069269582453
Coefficient Variation,1.0614645710934378
Min,0.000332
Max,4.8939
Median,0.95
No. of Obs,801
01/1957,0.0004
02/1957,0.0004
03/1957,0.0004
04/1957,0.0004
05/1957,0.0004
06/1957,0.0004
07/1957,0.0004
08/1957,0.0004
09/1957,0.0004
10/1957,0.0004
11/1957,0.0004
12/1957,0.0004
01/1958,0.0004
02/1958,0.0004
03/1958,0.0004
04/1958,0.0004
05/1958,0.0004
06/1958,0.0004
07/1958,0.0004
08/1958,0.0004
09/1958,0.0004
10/1958,0.0004
11/1958,0.0004
12/1958,0.0004
01/1959,0.0004
02/1959,0.0004
03/1959,0.0004
04/1959,0.0004
05/1959,0.0004
06/1959,0.0004
07/1959,0.0004
08/1959,0.0004
09/1959,0.0004
10/1959,0.0004
11/1959,0.0004
12/1959,0.0004
01/1960,0.0004
02/1960,0.0004
03/1960,0.0004
04/1960,0.0004
05/1960,0.0004
06/1960,0.0004
07/1960,0.0004
08/1960,0.0004
09/1960,0.0004
10/1960,0.0004
11/1960,0.0004
12/1960,0.0004
01/1961,0.0004
02/1961,0.0004
03/1961,0.0004
04/1961,0.0004
05/1961,0.0004
06/1961,0.0004
07/1961,0.0004
08/1961,0.0004
09/1961,0.0004
10/1961,0.0004
11/1961,0.0004
12/1961,0.0004
01/1962,0.0004
02/1962,0.0004
03/1962,0.0004
04/1962,0.0004
05/1962,0.0004
06/1962,0.0004
07/1962,0.0004
08/1962,0.0004
09/1962,0.0004
10/1962,0.0004
11/1962,0.0004
12/1962,0.0004
01/1963,0.0004
02/1963,0.0004
03/1963,0.0004
04/1963,0.0004
05/1963,0.0004
06/1963,0.0004
07/1963,0.0004
08/1963,0.0004
09/1963,0.0004
10/1963,0.0004
11/1963,0.0004
12/1963,0.0004
01/1964,0.0004
02/1964,0.0004
03/1964,0.0004
04/1964,0.0004
05/1964,0.0004
06/1964,0.0004
07/1964,0.0004
08/1964,0.0004
09/1964,0.0004
10/1964,0.0004
11/1964,0.0004
12/1964,0.0004
01/1965,0.0004
02/1965,0.0004
03/1965,0.0004
04/1965,0.0004
05/1965,0.0004
06/1965,0.0004
07/1965,0.0004
08/1965,0.0004
09/1965,0.0004
10/1965,0.0004
11/1965,0.0004
12/1965,0.0004
01/1966,0.0004
02/1966,0.0004
03/1966,0.0004
04/1966,0.0004
05/1966,0.0004
06/1966,0.0004
07/1966,0.0004
08/1966,0.0004
09/1966,0.0004
10/1966,0.0004
11/1966,0.0004
12/1966,0.0004
01/1967,0.0004
02/1967,0.0004
03/1967,0.0004
04/1967,0.0004
05/1967,0.0004
06/1967,0.0004
07/1967,0.0004
08/1967,0.0004
09/1967,0.0004
10/1967,0.0004
11/1967,0.0004
12/1967,0.0004
01/1968,0.0004
02/1968,0.0004
03/1968,0.0004
04/1968,0.0004
05/1968,0.0004
06/1968,0.0004
07/1968,0.0004
08/1968,0.0004
09/1968,0.0004
10/1968,0.0004
11/1968,0.0004
12/1968,0.0004
01/1969,0.0004
02/1969,0.0004
03/1969,0.0004
04/1969,0.0004
05/1969,0.0004
06/1969,0.0004
07/1969,0.0004
08/1969,0.0004
09/1969,0.0004
10/1969,0.0004
11/1969,0.0004
12/1969,0.0004
01/1970,0.0004
02/1970,0.0004
03/1970,0.0004
04/1970,0.0004
05/1970,0.0004
06/1970,0.0004
07/1970,0.0004
08/1970,0.0004
09/1970,0.0004
10/1970,0.0004
11/1970,0.0004
12/1970,0.0004
01/1971,0.0004
02/1971,0.0004
03/1971,0.0004
04/1971,0.0004
05/1971,0.0004
06/1971,0.0004
07/1971,0.0004
08/1971,0.0004
