,Exchange Rate against USD: Period Avg: Monthly: Romania
Region,Romania
Subnational,
Frequency,Monthly
Unit,USD/RON
Source,CEIC Data
Status,Active
Series ID,111961008
SR Code,SR197139947
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1957
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,1.286063995181041
Variance,2.800008130987951
Standard Deviation,1.6733224826637425
Skewness,0.7354845651850779
Kurtosis,-1.195034575020147
Coefficient Variation,1.301119142541726
Min,0.000553
Max,5.01402381
Median,0.0021781
No. of Obs,801
01/1957,0.0006
02/1957,0.0006
03/1957,0.0006
04/1957,0.0006
05/1957,0.0006
06/1957,0.0006
07/1957,0.0006
08/1957,0.0006
09/1957,0.0006
10/1957,0.0006
11/1957,0.0006
12/1957,0.0006
01/1958,0.0006
02/1958,0.0006
03/1958,0.0006
04/1958,0.0006
05/1958,0.0006
06/1958,0.0006
07/1958,0.0006
08/1958,0.0006
09/1958,0.0006
10/1958,0.0006
11/1958,0.0006
12/1958,0.0006
01/1959,0.0006
02/1959,0.0006
03/1959,0.0006
04/1959,0.0006
05/1959,0.0006
06/1959,0.0006
07/1959,0.0006
08/1959,0.0006
09/1959,0.0006
10/1959,0.0006
11/1959,0.0006
12/1959,0.0006
01/1960,0.0006
02/1960,0.0006
03/1960,0.0006
04/1960,0.0006
05/1960,0.0006
06/1960,0.0006
07/1960,0.0006
08/1960,0.0006
09/1960,0.0006
10/1960,0.0006
11/1960,0.0006
12/1960,0.0006
01/1961,0.0006
02/1961,0.0006
03/1961,0.0006
04/1961,0.0006
05/1961,0.0006
06/1961,0.0006
07/1961,0.0006
08/1961,0.0006
09/1961,0.0006
10/1961,0.0006
11/1961,0.0006
12/1961,0.0006
01/1962,0.0006
02/1962,0.0006
03/1962,0.0006
04/1962,0.0006
05/1962,0.0006
06/1962,0.0006
07/1962,0.0006
08/1962,0.0006
09/1962,0.0006
10/1962,0.0006
11/1962,0.0006
12/1962,0.0006
01/1963,0.0006
02/1963,0.0006
03/1963,0.0006
04/1963,0.0006
05/1963,0.0006
06/1963,0.0006
07/1963,0.0006
08/1963,0.0006
09/1963,0.0006
10/1963,0.0006
11/1963,0.0006
12/1963,0.0006
01/1964,0.0006
02/1964,0.0006
03/1964,0.0006
04/1964,0.0006
05/1964,0.0006
06/1964,0.0006
07/1964,0.0006
08/1964,0.0006
09/1964,0.0006
10/1964,0.0006
11/1964,0.0006
12/1964,0.0006
01/1965,0.0006
02/1965,0.0006
03/1965,0.0006
