,Gross Domestic Product (GDP)
Region,Nigeria
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,NGN mn
Source,National Bureau of Statistics
Status,Active
Series ID,356304767
SR Code,SR7225454
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,03/2010
Last Obs. Date,06/2023
Last Update Time,28/08/2023
Series remarks,
Suggestions,
Mean,29042037.72764165
Variance,138328209625198.42
Standard Deviation,11761301.357638892
Skewness,0.6167601250315873
Kurtosis,-0.5811920911451982
Coefficient Variation,0.4049750733036447
Min,12583478.3273634
Max,56757889.9452816
Median,26283003.52107095
No. of Obs,54
03/2010,12583478.3273634
06/2010,12934530.6699706
09/2010,14304438.4380846
12/2010,14789816.7411594
03/2011,14501448.1401099
06/2011,15054961.2007264
09/2011,16163642.1768268
12/2011,17260345.7073214
03/2012,16450359.582765
06/2012,17743632.5170376
09/2012,18521600.5644628
12/2012,18998342.3979062
03/2013,18295631.9063686
06/2013,19931015.710432
09/2013,20464395.9854395
12/2013,21401519.7778861
03/2014,20169778.0434274
06/2014,21734829.862436
09/2014,22933144.0129736
12/2014,24205863.3373532
03/2015,21041701.0968998
06/2015,22859153.0102961
09/2015,24313636.9385686
12/2015,25930469.4067049
03/2016,22235315.2861139
06/2016,23547466.910877
09/2016,26537651.0113793
12/2016,29169058.9935982
03/2017,26028356.0307626
06/2017,27030250.4664645
09/2017,29377674.0310332
12/2017,31275354.0795707
03/2018,28438604.2349653
06/2018,30699566.8014608
09/2018,33368049.1385168
12/2018,35230607.6343656
03/2019,31824349.6670972
06/2019,35001877.9492029
09/2019,37806924.4137913
12/2019,39577340.0369163
03/2020,35647406.0849203
06/2020,34023197.6039427
09/2020,39089460.6087151
12/2020,43564006.2928825
03/2021,40014482.7383065
06/2021,39123713.3193653
09/2021,45113448.0564366
12/2021,49276018.2302098
03/2022,45317823.3277481
06/2022,45004520.8878749
09/2022,52255809.6196337
12/2022,56757889.9452816
03/2023,51242151.206997
06/2023,52103927.1316989
