,Gross Domestic Product (GDP)
Region,Romania
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,RON mn
Source,National Institute of Statistics
Status,Active
Series ID,357778057
SR Code,SR7478320
Trade Code,
Mnemonic,RO.GDP.NM.RON-MN-Q
Function Description,
First Obs. Date,03/1995
Last Obs. Date,06/2023
Last Update Time,17/10/2023
Series remarks,
Suggestions,
Mean,129821.57894736844
Variance,10990446119.97708
Standard Deviation,104835.32858715653
Skewness,0.663572039956944
Kurtosis,-0.28687481917630997
Coefficient Variation,0.8075339203019423
Min,1461.3
Max,419646
Median,122616.75
No. of Obs,114
03/1995,1461.3
06/1995,1672.2
09/1995,2259.1
12/1995,2218
03/1996,2031.4
06/1996,2373.7
09/1996,3472.9
12/1996,3509.7
03/1997,4223.9
06/1997,5286.4
09/1997,7806.3
12/1997,8183.5
03/1998,6822.7
06/1998,8144.7
09/1998,10819.8
12/1998,11220.5
03/1999,9479.8
06/1999,12382.3
09/1999,15883.2
12/1999,17381.1
03/2000,14621.4
06/2000,18132.3
09/2000,22823.1
12/2000,25296.3
03/2001,21074
06/2001,26876.7
09/2001,33063.4
12/2001,36377.3
03/2002,27464.3
06/2002,35274.2
09/2002,42337.6
12/2002,47195.4
03/2003,34454
06/2003,43501.3
09/2003,54157.8
12/2003,59804.5
03/2004,43984.4
06/2004,55098.7
09/2004,68569.2
12/2004,77036
03/2005,54939.6
06/2005,63561
09/2005,79289.7
12/2005,89071.6
03/2006,64667.2
06/2006,78622.6
09/2006,93855
12/2006,105617.8
03/2007,78903.6
06/2007,97253.3
09/2007,115153.7
12/2007,134380.5
03/2008,101049.3
06/2008,125089.2
09/2008,149415
12/2008,164281.1
03/2009,101545.8
06/2009,124474.8
09/2009,142724.8
12/2009,162149
03/2010,103450.3
06/2010,127161.6
09/2010,148415.9
12/2010,161308.5
03/2011,116301.2
06/2011,136795.5
09/2011,161316.8
12/2011,172789.8
03/2012,119588.1
06/2012,146537.8
09/2012,170358.5
12/2012,184784.3
03/2013,120758.7
06/2013,146956
09/2013,174157.3
12/2013,189730.9
03/2014,129307.5
06/2014,156422.8
09/2014,184666.4
12/2014,198479.7
03/2015,139671.2
06/2015,162468.1
09/2015,197664.2
12/2015,212740.1
03/2016,144789
06/2016,176125.4
09/2016,205833.3
12/2016,225368.7
03/2017,163310.8
06/2017,194964
09/2017,237244.3
12/2017,256100.6
03/2018,181398.9
06/2018,221319.4
09/2018,267023
12/2018,289317.3
03/2019,202555.4
06/2019,247082.1
09/2019,292199.8
12/2019,321957.3
03/2020,219326.1
06/2020,226768.8
09/2020,288914.8
12/2020,331770.8
03/2021,230158.6
06/2021,273949.6
09/2021,324381.8
12/2021,360599.8
03/2022,270045.3
06/2022,331832.7
09/2022,388259.9
12/2022,419646
03/2023,318557.1
06/2023,377209.2
