Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
1995-01,,,,,,69.50077157,-10.3740995635059,,25.0,25.0,19.14,19.14,,,,,,
1995-02,,,,,,69.74276534,23.2557925707981,,28.0,28.0,21.9,21.9,,,,,,
1995-03,,,,,,66.77271228,52.8224477087073,,28.0,28.0,21.7,21.7,,,,,,
1995-04,,,,,,64.91600103,26.1316406854748,,28.0,28.0,21.4,21.4,,,,,,
1995-05,,,,,,65.28836678,-21.5413265404581,-9.442792962958096,28.0,28.0,21.83,21.83,,,,,,
1995-06,,,,,,65.13409449,-54.5081760158973,-7.158911171793869,28.0,28.0,21.89,21.89,,,,,,
1995-07,,,,,,65.1910703,-73.7052183287449,-4.83986188286683,28.0,28.0,22.03,22.03,,,,,,
1995-08,,,,,,65.67243284,-91.3497572608807,-2.685194959117345,28.0,28.0,22.07,22.07,,,,,,
1995-09,,,,,,65.85745747,-109.482567995872,-0.8746230217864236,28.0,28.0,21.8,21.8,,,,,,
1995-10,,,,,,65.68685222,-118.439064725068,0.4548027506074164,28.0,28.0,22.03,22.03,,,,,,
1995-11,,,,,,66.04862073,-113.861904761905,1.1060462154356687,28.0,28.0,21.89,21.89,,,,,,
1995-12,,,,,,66.34956943,-100.223851544251,0.8786277525487384,28.0,28.0,23.27,23.27,,,,,,
1996-01,,,,,,66.84235349,-79.2038901670202,-0.3760245842203583,28.0,28.0,22.29,22.29,,,,,,
1996-02,,,,,,66.79201586,-57.1020417297636,-2.4789866732757915,27.0,27.0,20.95,20.95,,,,,,
1996-03,,,,,,67.20156458,-41.4559313502241,-4.70465936331485,27.0,27.0,21.75,21.75,,,,,,
1996-04,,,,,,67.67044149,-36.0311195875899,-5.964592446045413,27.0,27.0,21.5,21.5,,,,,,
1996-05,,,,,,68.21630744,-40.1965245409713,-5.714490128014536,26.0,26.0,20.69,20.69,,,,,,
1996-06,,,,,,68.58058665,-48.8403946175061,-4.301225034002713,26.0,26.0,21.0,21.0,,,,,,
1996-07,,,,,,68.21657716,-44.936129841087,-2.724121279656653,25.73913043478261,25.5,18.98913043478261,18.75,,,,,,
1996-08,,,,,,68.04062774,74.4738461538461,-1.69132200368946,25.5,25.5,20.22,20.22,,,,,,
1996-09,,,,,,68.30379245,-356.574685840135,-1.4696747533909766,24.5,24.5,18.41,18.41,,,,,,
1996-10,,,,,,68.61454978,-291.224464374689,-1.88049617390994,23.0,23.0,17.37,17.37,,,,,,
1996-11,,,,,,68.48026042,-418.406046032291,-2.7416800695355668,23.0,23.0,17.56,17.56,,,,,,
1996-12,,,,,,68.70613943,-23538.768115942,-3.931530759020623,23.0,23.0,16.740000000000002,16.740000000000002,,,,,,
1997-01,,,,,,70.49078435,204.687331633203,-5.403373330370783,22.73913043478261,22.5,17.36913043478261,17.13,,,,,,
