date,term_premium,risk_premium,stock_prices_mom_percent_change,stock_prices_mom24mma_percent_change,stock_market_volatility,reer,current_account_balance_change_yryr_percent,current_account_balance_over_gdp,one_day_repo_rate_avg,one_day_repo_rate_eop,policy_rate_fed_funds_rate_differential_avg,policy_rate_fed_funds_rate_differential_eop,broad_money_mo12m_percent_change,velocity_of_money_mo12m_percent_change,portfolio_flows,foreign_exchange_reserve_change_yryr_percent,fer_gdp_ma3
1995-01-01,NA,NA,NA,NA,NA,134.70746762,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.94958509147018,NA
1995-02-01,NA,NA,NA,NA,NA,139.74075118,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.49102411800958,NA
1995-03-01,NA,NA,NA,NA,NA,139.28126899,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.553230705457183,NA
1995-04-01,NA,NA,NA,NA,NA,145.74922627,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.25535548487125,NA
1995-05-01,NA,NA,NA,NA,NA,153.41195454,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.77651729844633,NA
1995-06-01,NA,NA,NA,NA,NA,157.48223141,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.63112760499173,NA
1995-07-01,NA,NA,NA,NA,NA,160.35702396,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.11125519583776,NA
1995-08-01,NA,NA,NA,NA,NA,170.01162444,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.02228003482932,NA
1995-09-01,NA,NA,NA,NA,NA,178.00792185,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.481327811719453,NA
1995-10-01,NA,NA,NA,NA,NA,176.13182168,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.28604836415293,NA
1995-11-01,NA,NA,NA,NA,NA,180.07540169,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.28081286294696,NA
1995-12-01,NA,NA,NA,NA,NA,187.17627555,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.1168793036363,NA
