Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Broad_Money_mo12m%_change_x,Velocity_of_Money_mo12m%_change,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,FER/GDP MA3,Broad_Money_mo12m%_change_y
1995-01,,,,,,68.89740248,,,31.0,31.0,25.14,25.14,,,,,,
1995-02,,,,,,69.26388526,,,31.857142857142858,34.0,25.75714285714286,27.9,,,,,,
1995-03,,,,,,69.72677135,,,34.0,34.0,27.7,27.7,,,,,,
1995-04,,,,,,69.55926813,,,34.0,34.0,27.4,27.4,,,,,,
1995-05,,,,,,71.81545665,,,33.61290322580645,30.0,27.442903225806447,23.83,,,,,,
1995-06,,,,,,73.69358682,,,30.0,30.0,23.89,23.89,,,,,,
1995-07,,,,,,73.0705769,,,30.0,30.0,24.03,24.03,,,,,,
1995-08,,,,,,73.67916908,,,30.0,30.0,24.07,24.07,,,,,,
1995-09,,,,,,74.85140469,,,29.133333333333333,28.0,22.933333333333334,21.8,,,,,,
1995-10,,,,,,75.05154437,,,28.0,28.0,22.03,22.03,,,,,,
1995-11,,,,,,75.09160476,,,28.0,28.0,21.89,21.89,,,,,,
1995-12,,,,,,75.82196301,,,28.0,28.0,23.27,23.27,,,,,,
1996-01,,,,,,77.51041163,,,26.451612903225808,26.0,20.741612903225807,20.29,,,,,,
1996-02,,,,,,77.59258708,,,26.0,26.0,19.95,19.95,,,,,,
1996-03,,,,,,77.98038322,,,26.0,26.0,20.75,20.75,,,,,,
1996-04,,,,,,78.78668333,,,26.0,26.0,20.5,20.5,,,,,,
1996-05,,,,,,79.21991467,,,26.0,26.0,20.69,20.69,,,,,,
1996-06,,,,,,78.56536908,,,26.0,26.0,21.0,21.0,,,,,,
1996-07,,,,,,78.6168292,,,25.516129032258064,25.0,18.766129032258064,18.25,,,,,,
1996-08,,,,,,78.30174731,,,25.0,25.0,19.72,19.72,,,,,,
1996-09,,,,,,78.35355593,,,25.0,25.0,18.91,18.91,,,,,,
1996-10,,,,,,78.75324503,,,25.0,25.0,19.37,19.37,,,,,,
1996-11,,,,,,79.07992733,,,25.0,25.0,19.56,19.56,,,,,,
1996-12,,,,,,80.25444374,,,25.0,25.0,18.74,18.74,,,,,,
1997-01,,,,,,81.04032749,,,25.0,25.0,19.63,19.63,,,,,,
1997-02,,,,,,82.1816146,,,25.0,25.0,19.5,19.5,,,,,,
1997-03,,,,,,82.49972521,,,25.0,25.0,19.5,19.5,,,,,,
1997-04,,,,,,82.36578864,,,25.0,25.0,19.18,19.18,,,,,,
1997-05,,,,,,81.16469095,,,25.0,25.0,19.42,19.42,,,,,,
1997-06,,,,,,81.40701138,,,25.0,25.0,18.13,18.13,,,,,,
1997-07,,,,,,80.10054107,,,25.0,25.0,19.04,19.04,,,,,,
1997-08,,,,,,80.62492209,,,26.806451612903224,27.0,21.286451612903225,21.48,,,,,,
1997-09,,,,,,80.06415119,,,27.0,27.0,21.19,21.19,,,,,,
1997-10,,,,,,80.28945325,,,27.0,27.0,21.44,21.44,,,,,,
1997-11,,,,,,78.45715065,,,27.0,27.0,21.5,21.5,,,,,,
1997-12,,,,,,80.84368667,,,27.0,27.0,21.16,21.16,,,,,,
1998-01,,,,,,83.5926994,,,27.0,27.0,21.52,21.52,,,,,,
1998-02,,,,,,84.74531505,,,26.77777777777778,24.0,21.107777777777777,18.33,,,,,,
1998-03,,,,,,87.27074422,,,24.0,24.0,18.12,18.12,,,,,,
1998-04,,,,,,88.23825632,,,23.714285714285715,23.0,18.124285714285715,17.41,,,,,,
1998-05,,,,,,87.32257319,,,22.475,21.5,16.845000000000002,15.87,,,,,,
1998-06,,,,,,87.03071141,,,21.5,21.5,14.44,14.44,,,,,,
1998-07,,,,,,88.15381918,,,20.30434782608696,19.0,14.674347826086962,13.37,,,,,,
1998-08,,,,,,85.04999336,,,19.0,19.0,13.11,13.11,,,,,,
1998-09,,,,,,82.34514404,,,18.318181818181817,18.0,12.178181818181816,11.86,,,,,,
1998-10,,,,,,82.7189388,,,17.90909090909091,17.0,12.55909090909091,11.65,,,,,,
1998-11,,,,,,91.91397273,,,17.0,17.0,11.89,11.89,,,,,,
1998-12,,,,,,84.70640345,,,15.977272727272728,15.5,11.907272727272728,11.43,,,,,,
1999-01,,,,,,84.19684715,,,14.625,13.0,9.835,8.21,,,,30.75725185212488,,
1999-02,,,,,,81.37981937,,,13.0,13.0,8.16,8.16,,,,20.472803347280344,,
1999-03,,,,,,80.8851218,,,13.0,13.0,8.02,8.02,,,,14.266978649701878,,
1999-04,,,,,,81.1772439,,,13.0,13.0,7.97,7.97,,,,6.724634275306984,,
1999-05,,-2.97,,,,83.5724054,,,13.0,13.0,8.39,8.39,,,,3.850874146115557,,
1999-06,,-2.96,,,,85.23707372,,,13.0,13.0,7.88,7.88,,,,0.9603048391681356,,
1999-07,,-3.1999999999999997,,,,87.06906065,,,13.0,13.0,7.93,7.93,,,,-2.885726224713025,,
1999-08,,-3.24,,,,84.55585119,,,13.0,13.0,7.43,7.43,,,,-2.9293428885123878,,
1999-09,,-3.629999999999999,,,,83.09895397,,,13.272727272727272,14.0,7.762727272727272,8.49,,,,-1.3611433900538206,,
1999-10,,-4.75,,,,81.75760558,,,14.0,14.0,8.73,8.73,,,,-4.217071668349359,,
1999-11,,-4.530000000000001,,,,81.73199379,,,15.125,16.5,9.495,10.87,,,,-6.186486780546185,,
1999-12,,-4.264,,,,85.39920665,,,16.5,16.5,12.51,12.51,,,,-4.051526121391436,,
2000-01,,-3.380000000000001,,,,87.29651648,,,16.5,16.5,10.63,10.63,,,504.0,-9.18021465367187,,
2000-02,,-4.17,,,,89.33743924,,,16.69047619047619,17.5,10.84047619047619,11.65,,,490.0,-13.008717396589445,,
2000-03,,-4.47,,,,92.27245876,,,17.5,17.5,11.33,11.33,,,1606.0,-8.613923796961931,,
2000-04,,-4.48,,,,90.62067292,,,17.5,17.5,11.44,11.44,,,109.0,-10.627779979741936,,
2000-05,,-5.659999999999999,,,,89.23077733,,,17.5,17.5,10.67,10.67,,,-11.0,-8.47492270186705,,
2000-06,,-6.509999999999999,,,,88.36507479,,,17.5,17.5,10.64,10.64,,,214.0,-5.69332734729906,,
2000-07,,-6.420000000000001,,,,91.72045282,,,17.5,17.5,10.86,10.86,,,309.0,-11.538058236278893,,
2000-08,,-6.92,,,,93.75102502,,,17.568181818181817,19.0,10.918181818181816,12.35,,,82.0,-11.92028330864019,,
2000-09,,-6.56,,,,94.02641546,,,19.0,19.0,12.4,12.4,,,172.0,-8.935003151544251,,
