Date,Policy Rate,Federal Funds Rate,Rate Difference
2006-01-31,8.588709677419354,4.47,4.118709677419354
2007-01-31,8.75,5.33,3.42
2008-01-31,8.75,3.22,5.529999999999999
2009-01-31,11.5,0.23,11.27
2010-01-31,8.25,0.12,8.13
2011-01-31,8.25,0.17,8.08
2012-01-31,9.25,0.11,9.14
2013-01-31,9.25,0.15,9.1
2014-01-31,8.25,0.07,8.18
2015-01-31,9.024193548387096,0.06,8.964193548387096
2016-01-31,9.25,0.29,8.96
2017-01-31,14.75,0.56,14.19
2018-01-31,18.75,1.34,17.41
2019-01-31,16.75,2.4,14.35
2020-01-31,12.25,1.59,10.66
2021-01-31,8.25,0.07,8.18
2022-01-31,8.25,0.08,8.17
2023-01-31,16.25,4.33,11.92
2006-02-28,8.25,4.52,3.7300000000000004
2007-02-28,8.75,5.41,3.34
2008-02-29,8.922413793103448,3.01,5.912413793103449
2009-02-28,11.0,0.22,10.78
2010-02-28,8.25,0.13,8.12
2011-02-28,8.25,0.16,8.09
2012-02-29,9.25,0.1,9.15
2013-02-28,9.25,0.14,9.11
2014-02-28,8.25,0.06,8.19
2015-02-28,8.75,0.06,8.69
2016-02-29,9.25,0.29,8.96
2017-02-28,14.75,0.57,14.18
2018-02-28,18.25,1.35,16.9
2019-02-28,16.214285714285715,2.4,13.814285714285715
2020-02-29,12.25,1.58,10.67
2021-02-28,8.25,0.07,8.18
2022-02-28,8.25,0.08,8.17
2023-02-28,16.25,4.57,11.68
2006-03-31,8.25,5.0,3.25
2007-03-31,8.75,5.3,3.45
2008-03-31,9.129032258064516,2.51,6.619032258064516
2009-03-31,10.451612903225806,0.16,10.291612903225806
2010-03-31,8.25,0.09,8.16
2011-03-31,8.25,0.1,8.15
2012-03-31,9.25,0.09,9.16
2013-03-31,9.379032258064516,0.09,9.289032258064516
2014-03-31,8.25,0.06,8.19
2015-03-31,8.75,0.06,8.69
2016-03-31,9.830645161290322,0.25,9.580645161290322
2017-03-31,14.75,0.82,13.93
2018-03-31,17.653225806451612,1.67,15.983225806451612
2019-03-31,15.75,2.43,13.32
2020-03-31,10.798387096774194,0.08,10.718387096774194
2021-03-31,8.25,0.06,8.19
2022-03-31,8.60483870967742,0.33,8.27483870967742
2023-03-31,16.25,4.83,11.42
2006-04-30,8.066666666666666,4.86,3.206666666666666
2007-04-30,8.75,5.29,3.46
2008-04-30,9.5,2.37,7.13
2009-04-30,10.0,0.2,9.8
2010-04-30,8.25,0.2,8.05
2011-04-30,8.25,0.09,8.16
2012-04-30,9.25,0.16,9.09
2013-04-30,9.75,0.14,9.61
2014-04-30,8.25,0.09,8.16
2015-04-30,8.75,0.08,8.67
2016-04-30,10.75,0.3,10.45
2017-04-30,14.75,0.83,13.92
2018-04-30,16.75,1.69,15.06
2019-04-30,15.75,2.45,13.3
2020-04-30,9.25,0.05,9.2
2021-04-30,8.25,0.05,8.2
2022-04-30,9.25,0.33,8.92
2023-04-30,18.183333333333334,4.83,13.353333333333333
2006-05-31,8.0,5.05,2.95
2007-05-31,8.75,5.28,3.4699999999999998
2008-05-31,9.838709677419354,1.98,7.858709677419354
2009-05-31,9.758064516129032,0.19,9.568064516129033
2010-05-31,8.25,0.19,8.06
2011-05-31,8.25,0.1,8.15
2012-05-31,9.25,0.16,9.09
2013-05-31,9.75,0.09,9.66
2014-05-31,8.25,0.08,8.17
2015-05-31,8.75,0.08,8.67
2016-05-31,10.75,0.29,10.46
2017-05-31,15.39516129032258,0.83,14.56516129032258
2018-05-31,16.75,1.7,15.05
2019-05-31,15.75,2.4,13.35
2020-05-31,9.25,0.05,9.2
2021-05-31,8.25,0.05,8.2
2022-05-31,10.024193548387096,0.83,9.194193548387096
2023-05-31,18.25,5.08,13.17
2006-06-30,8.0,5.05,2.95
2007-06-30,8.75,5.31,3.4400000000000004
2008-06-30,10.066666666666666,2.47,7.596666666666666
2009-06-30,9.333333333333334,0.22,9.113333333333333
2010-06-30,8.25,0.09,8.16
2011-06-30,8.25,0.07,8.18
2012-06-30,9.25,0.09,9.16
