Date,Policy Rate,Federal Funds Rate,Rate Difference
1995-01-31,25.0,5.86,19.14
1996-01-31,28.0,5.71,22.29
1997-01-31,22.73913043478261,5.37,17.36913043478261
1998-01-31,20.5,5.48,15.02
1999-01-31,17.0,4.79,12.21
2000-01-31,13.928571428571429,5.87,8.05857142857143
2001-01-31,11.0,5.74,5.26
2002-01-31,9.380434782608695,1.85,7.530434782608696
2003-01-31,7.454545454545454,1.33,6.124545454545454
2004-01-31,12.5,1.03,11.47
2005-01-31,9.38095238095238,2.5,6.88095238095238
2006-01-31,6.0,4.47,1.5300000000000002
2007-01-31,8.0,5.33,2.67
2008-01-31,7.5,3.22,4.279999999999999
2009-01-31,9.775,0.23,9.545
2010-01-31,6.2,0.12,6.08
2011-01-31,5.809523809523809,0.17,5.639523809523809
2012-01-31,7.0,0.11,6.89
2013-01-31,5.728260869565218,0.15,5.578260869565217
2014-01-31,2.9454545454545453,0.07,2.8754545454545455
2015-01-31,2.1,0.06,2.04
2016-01-31,1.35,0.29,1.06
2017-01-31,0.9,0.56,0.33999999999999997
2018-01-31,0.9,1.34,-0.44000000000000006
2019-01-31,0.9,2.4,-1.5
2020-01-31,0.9,1.59,-0.6900000000000001
2021-01-31,0.6,0.07,0.53
2022-01-31,2.4952380952380957,0.08,2.4152380952380956
2023-01-31,13.0,4.33,8.67
1995-02-28,28.0,6.1,21.9
1996-02-29,27.0,6.05,20.95
1997-02-28,22.5,5.5,17.0
1998-02-28,20.0,5.67,14.33
1999-02-28,16.0,4.84,11.16
2000-02-29,13.0,5.85,7.15
2001-02-28,11.0,5.59,5.41
2002-02-28,8.8,1.83,6.970000000000001
2003-02-28,6.5,1.33,5.17
2004-02-29,12.5,1.04,11.46
2005-02-28,8.8125,2.52,6.2925
2006-02-28,6.0,4.52,1.4800000000000004
2007-02-28,8.0,5.41,2.59
2008-02-29,7.5,3.01,4.49
2009-02-28,9.5,0.22,9.28
2010-02-28,5.95,0.13,5.82
2011-02-28,6.0,0.16,5.84
2012-02-29,7.0,0.1,6.9
2013-02-28,5.475,0.14,5.335
2014-02-28,2.79,0.06,2.73
2015-02-28,2.1,0.06,2.04
2016-02-29,1.35,0.29,1.06
2017-02-28,0.9,0.57,0.33000000000000007
2018-02-28,0.9,1.35,-0.45000000000000007
2019-02-28,0.9,2.4,-1.5
2020-02-29,0.9,1.58,-0.68
2021-02-28,0.6,0.07,0.53
2022-02-28,3.0,0.08,2.92
2023-02-28,13.0,4.57,8.43
1995-03-31,28.0,6.3,21.7
1996-03-31,27.0,5.25,21.75
1997-03-31,21.5,5.5,16.0
1998-03-31,20.0,5.88,14.120000000000001
1999-03-31,16.0,4.98,11.02
2000-03-31,12.0,6.17,5.83
2001-03-31,11.0,5.29,5.71
2002-03-31,8.5,1.74,6.76
2003-03-31,6.5,1.38,5.12
2004-03-31,12.420454545454543,1.05,11.370454545454542
2005-03-31,8.2,2.96,5.239999999999999
2006-03-31,6.0,5.0,1.0
2007-03-31,8.0,5.3,2.7
2008-03-31,7.5,2.51,4.99
2009-03-31,9.5,0.16,9.34
2010-03-31,5.727272727272728,0.09,5.6372727272727285
2011-03-31,6.0,0.1,5.9
2012-03-31,7.0,0.09,6.91
2013-03-31,5.214285714285714,0.09,5.1242857142857146
2014-03-31,2.680952380952381,0.06,2.620952380952381
2015-03-31,2.065909090909091,0.06,2.005909090909091
2016-03-31,1.3,0.25,1.05
2017-03-31,0.9,0.82,0.08000000000000007
2018-03-31,0.9,1.67,-0.7699999999999999
2019-03-31,0.9000000000000001,2.43,-1.53
2020-03-31,0.9,0.08,0.8200000000000001
2021-03-31,0.6,0.06,0.54
2022-03-31,3.763636363636364,0.33,3.433636363636364
2023-03-31,13.0,4.83,8.17
1995-04-30,28.0,6.6,21.4
1996-04-30,27.0,5.5,21.5
1997-04-30,21.5,5.82,15.68
1998-04-30,19.613636363636363,5.59,14.023636363636363
1999-04-30,16.0,5.03,10.969999999999999
2000-04-30,11.0,6.06,4.94
2001-04-30,11.0,4.67,6.33
2002-04-30,8.5,1.82,6.68
2003-04-30,6.5,1.31,5.1899999999999995
2004-04-30,12.035714285714286,1.03,11.005714285714287
2005-04-30,7.702380952380952,2.97,4.732380952380952
2006-04-30,6.0,4.86,1.1399999999999997
2007-04-30,8.0,5.29,2.71
2008-04-30,8.021739130434783,2.37,5.651739130434783
2009-04-30,9.5,0.2,9.3
2010-04-30,5.4523809523809526,0.2,5.252380952380952
2011-04-30,6.0,0.09,5.91
2012-04-30,7.0,0.16,6.84
2013-04-30,4.940476190476191,0.14,4.800476190476191
2014-04-30,2.5954545454545457,0.09,2.505454545454546
2015-04-30,1.9,0.08,1.8199999999999998
2016-04-30,1.1785714285714286,0.3,0.8785714285714286
2017-04-30,0.9,0.83,0.07000000000000006
2018-04-30,0.9,1.69,-0.7899999999999999
2019-04-30,0.9,2.45,-1.5500000000000003
2020-04-30,0.9,0.05,0.85
2021-04-30,0.6,0.05,0.5499999999999999
2022-04-30,4.557894736842106,0.33,4.227894736842106
2023-04-30,13.0,4.83,8.17
1995-05-31,28.0,6.17,21.83
1996-05-31,26.0,5.31,20.69
1997-05-31,21.5,5.58,15.92
1998-05-31,19.5,5.63,13.870000000000001
1999-05-31,16.0,4.61,11.39
2000-05-31,11.0,6.83,4.17
2001-05-31,11.0,4.24,6.76
2002-05-31,8.673913043478262,1.79,6.883913043478262
2003-05-31,6.5,1.28,5.22
2004-05-31,11.525,1.02,10.505
2005-05-31,7.428571428571429,3.09,4.338571428571429
2006-05-31,6.0,5.05,0.9500000000000002
2007-05-31,8.0,5.28,2.7199999999999998
2008-05-31,8.302631578947368,1.98,6.322631578947368
2009-05-31,9.5,0.19,9.31
2010-05-31,5.25,0.19,5.06
2011-05-31,6.0,0.1,5.9
2012-05-31,7.0,0.16,6.84
2013-05-31,4.715909090909091,0.09,4.625909090909091
2014-05-31,2.4863636363636363,0.08,2.4063636363636363
2015-05-31,1.7785714285714287,0.08,1.6985714285714286
2016-05-31,1.0142857142857142,0.29,0.7242857142857142
2017-05-31,0.9,0.83,0.07000000000000006
2018-05-31,0.9,1.7,-0.7999999999999999
2019-05-31,0.9,2.4,-1.5
2020-05-31,0.9,0.05,0.85
2021-05-31,0.6,0.05,0.5499999999999999
2022-05-31,5.4,0.83,4.57
2023-05-31,13.0,5.08,7.92
1995-06-30,28.0,6.11,21.89
1996-06-30,26.0,5.0,21.0
1997-06-30,21.5,6.87,14.629999999999999
1998-06-30,19.0,7.06,11.940000000000001
1999-06-30,15.5,5.12,10.379999999999999
2000-06-30,11.0,6.86,4.14
2001-06-30,11.0,3.95,7.05
2002-06-30,9.0,1.73,7.27
2003-06-30,8.0,1.45,6.55
2004-06-30,11.5,1.38,10.120000000000001
2005-06-30,7.159090909090909,3.35,3.809090909090909
2006-06-30,6.107142857142857,5.05,1.057142857142857
2007-06-30,7.952380952380952,5.31,2.642380952380952
2008-06-30,8.5,2.47,6.029999999999999
2009-06-30,9.5,0.22,9.28
2010-06-30,5.25,0.09,5.16
2011-06-30,6.0,0.07,5.93
2012-06-30,7.0,0.09,6.91
2013-06-30,4.4625,0.07,4.3925
2014-06-30,2.38,0.09,2.29
2015-06-30,1.6159090909090907,0.08,1.5359090909090907
2016-06-30,0.9,0.3,0.6000000000000001
2017-06-30,0.9,1.16,-0.2599999999999999
2018-06-30,0.9000000000000001,1.91,-1.0099999999999998
2019-06-30,0.9,2.4,-1.5
2020-06-30,0.8642857142857142,0.08,0.7842857142857143
2021-06-30,0.6818181818181818,0.08,0.6018181818181818
2022-06-30,6.076190476190477,1.58,4.496190476190477
2023-06-30,13.0,5.08,7.92
1995-07-31,28.0,5.97,22.03
1996-07-31,25.73913043478261,6.75,18.98913043478261
1997-07-31,21.0,5.96,15.04
1998-07-31,19.0,5.63,13.370000000000001
1999-07-31,15.5,5.07,10.43
2000-07-31,11.0,6.64,4.36
2001-07-31,11.147727272727272,3.82,7.327727272727271
2002-07-31,9.369565217391305,1.76,7.609565217391305
2003-07-31,9.5,1.04,8.46
2004-07-31,11.5,1.29,10.21
2005-07-31,6.892857142857143,3.31,3.582857142857143
2006-07-31,6.369047619047619,5.31,1.059047619047619
2007-07-31,7.75,5.28,2.4699999999999998
2008-07-31,8.5,2.09,6.41
2009-07-31,9.326086956521738,0.18,9.146086956521739
2010-07-31,5.25,0.18,5.07
2011-07-31,6.0,0.11,5.89
2012-07-31,7.0,0.13,6.87
2013-07-31,4.184782608695652,0.09,4.0947826086956525
2014-07-31,2.239130434782609,0.08,2.159130434782609
2015-07-31,1.4478260869565216,0.08,1.3678260869565215
2016-07-31,0.9000000000000001,0.3,0.6000000000000001
2017-07-31,0.9000000000000001,1.07,-0.16999999999999993
2018-07-31,0.9,1.91,-1.0099999999999998
2019-07-31,0.9,2.4,-1.5
2020-07-31,0.6978260869565218,0.1,0.5978260869565218
2021-07-31,0.9409090909090908,0.07,0.8709090909090909
2022-07-31,9.13095238095238,2.32,6.810952380952379
2023-07-31,13.0,5.33,7.67
1995-08-31,28.0,5.93,22.07
1996-08-31,25.5,5.28,20.22
1997-08-31,21.0,5.52,15.48
1998-08-31,18.0,5.89,12.11
1999-08-31,15.5,5.57,9.93
2000-08-31,11.0,6.65,4.35
2001-08-31,11.25,3.66,7.59
2002-08-31,9.5,1.81,7.6899999999999995
2003-08-31,9.5,1.01,8.49
2004-08-31,11.261904761904765,1.55,9.711904761904764
2005-08-31,6.5978260869565215,3.63,2.9678260869565216
2006-08-31,6.815217391304348,5.31,1.505217391304348
2007-08-31,7.75,4.96,2.79
2008-08-31,8.5,1.94,6.5600000000000005
2009-08-31,8.35,0.15,8.2
2010-08-31,5.25,0.21,5.04
2011-08-31,6.0,0.08,5.92
2012-08-31,6.965909090909091,0.13,6.835909090909091
2013-08-31,3.972727272727273,0.07,3.9027272727272733
2014-08-31,2.1,0.07,2.0300000000000002
2015-08-31,1.35,0.08,1.27
2016-08-31,0.9,0.3,0.6000000000000001
2017-08-31,0.9,1.07,-0.17000000000000004
2018-08-31,0.9,1.91,-1.0099999999999998
2019-08-31,0.9,2.13,-1.23
2020-08-31,0.6,0.09,0.51
2021-08-31,1.2714285714285714,0.06,1.2114285714285713
2022-08-31,10.793478260869565,2.33,8.463478260869564
2023-08-31,13.0,5.33,7.67
1995-09-30,28.0,6.2,21.8
1996-09-30,24.5,6.09,18.41
1997-09-30,20.727272727272727,5.81,14.917272727272728
1998-09-30,18.0,6.14,11.86
1999-09-30,15.5,5.51,9.99
2000-09-30,11.0,6.6,4.4
2001-09-30,11.0625,2.75,8.3125
2002-09-30,9.5,1.85,7.65
2003-09-30,9.5,1.17,8.33
2004-09-30,11.0,1.94,9.06
2005-09-30,6.1477272727272725,3.93,2.2177272727272723
2006-09-30,7.345238095238095,5.34,2.005238095238095
2007-09-30,7.7,4.58,3.12
2008-09-30,8.5,2.03,6.470000000000001
2009-09-30,7.954545454545454,0.07,7.884545454545454
2010-09-30,5.25,0.15,5.1
2011-09-30,6.0,0.06,5.94
2012-09-30,6.7125,0.09,6.6225000000000005
2013-09-30,3.761904761904762,0.06,3.701904761904762
2014-09-30,2.1,0.07,2.0300000000000002
2015-09-30,1.35,0.07,1.28
2016-09-30,0.9,0.29,0.6100000000000001
2017-09-30,0.9000000000000001,1.06,-0.15999999999999992
2018-09-30,0.9,2.18,-1.2800000000000002
2019-09-30,0.9000000000000001,1.9,-0.9999999999999998
2020-09-30,0.6,0.09,0.51
2021-09-30,1.5477272727272726,0.06,1.4877272727272726
2022-09-30,11.920454545454543,3.08,8.840454545454543
2023-09-30,13.0,5.33,7.67
1995-10-31,28.0,5.97,22.03
1996-10-31,23.0,5.63,17.37
1997-10-31,20.5,5.56,14.940000000000001
1998-10-31,18.0,5.35,12.65
1999-10-31,15.5,5.27,10.23
2000-10-31,11.0,6.59,4.41
2001-10-31,10.945652173913045,2.66,8.285652173913045
2002-10-31,9.5,1.82,7.68
2003-10-31,9.5,1.03,8.47
2004-10-31,10.785714285714286,1.79,8.995714285714286
2005-10-31,6.0,4.02,1.9800000000000004
2006-10-31,7.809523809523809,5.31,2.4995238095238097
2007-10-31,7.5,4.6,2.9000000000000004
2008-10-31,9.318181818181818,0.22,9.098181818181818
2009-10-31,7.309523809523809,0.11,7.199523809523809
2010-10-31,5.25,0.2,5.05
2011-10-31,6.0,0.09,5.91
2012-10-31,6.489130434782608,0.18,6.309130434782609
2013-10-31,3.5818181818181816,0.07,3.5118181818181817
2014-10-31,2.1,0.07,2.0300000000000002
2015-10-31,1.35,0.07,1.28
2016-10-31,0.9000000000000001,0.31,0.5900000000000001
2017-10-31,0.9,1.07,-0.17000000000000004
2018-10-31,0.9000000000000001,2.2,-1.3
2019-10-31,0.9,1.58,-0.68
2020-10-31,0.6,0.09,0.51
2021-10-31,1.7071428571428573,0.07,1.6371428571428572
2022-10-31,13.0,3.08,9.92
1995-11-30,28.0,6.11,21.89
1996-11-30,23.0,5.44,17.56
1997-11-30,20.5,5.5,15.0
1998-11-30,18.0,5.11,12.89
1999-11-30,15.227272727272728,5.63,9.597272727272728
2000-11-30,11.0,6.62,4.38
2001-11-30,10.431818181818182,2.06,8.371818181818181
2002-11-30,9.285714285714286,1.23,8.055714285714286
2003-11-30,9.65,1.01,8.64
2004-11-30,10.357142857142858,2.02,8.337142857142858
2005-11-30,6.0,4.03,1.9699999999999998
2006-11-30,8.0,5.31,2.6900000000000004
2007-11-30,7.5,4.66,2.84
2008-11-30,11.4,0.52,10.88
2009-11-30,6.880952380952381,0.13,6.7509523809523815
2010-11-30,5.261904761904762,0.2,5.061904761904762
2011-11-30,6.023809523809524,0.1,5.923809523809524
2012-11-30,6.2125,0.16,6.0525
2013-11-30,3.37,0.07,3.3000000000000003
2014-11-30,2.1,0.08,2.02
2015-11-30,1.35,0.08,1.27
2016-11-30,0.9000000000000001,0.31,0.5900000000000001
2017-11-30,0.9000000000000001,1.07,-0.16999999999999993
2018-11-30,0.9000000000000001,2.2,-1.3
2019-11-30,0.9000000000000001,1.56,-0.6599999999999999
2020-11-30,0.6,0.09,0.51
2021-11-30,1.942857142857143,0.07,1.872857142857143
2022-11-30,13.0,3.83,9.17
1995-12-31,28.0,4.73,23.27
1996-12-31,23.0,6.26,16.740000000000002
1997-12-31,20.5,5.84,14.66
1998-12-31,17.434782608695652,4.07,13.364782608695652
1999-12-31,14.826086956521738,3.99,10.836086956521738
2000-12-31,11.0,5.41,5.59
2001-12-31,9.892857142857142,1.52,8.372857142857143
2002-12-31,8.75,1.16,7.59
2003-12-31,12.5,0.94,11.56
2004-12-31,9.818181818181818,1.97,7.848181818181819
2005-12-31,6.0,4.09,1.9100000000000001
2006-12-31,8.0,5.17,2.83
2007-12-31,7.5,3.06,4.4399999999999995
2008-12-31,10.547619047619047,0.14,10.407619047619047
2009-12-31,6.431818181818182,0.05,6.381818181818182
2010-12-31,5.586956521739131,0.13,5.456956521739131
2011-12-31,6.666666666666667,0.04,6.626666666666667
2012-12-31,5.892857142857143,0.09,5.802857142857143
2013-12-31,3.1333333333333337,0.07,3.063333333333334
2014-12-31,2.1,0.06,2.04
2015-12-31,1.35,0.2,1.1500000000000001
2016-12-31,0.9000000000000001,0.55,0.3500000000000001
2017-12-31,0.9,1.33,-0.43000000000000005
2018-12-31,0.9,2.4,-1.5
2019-12-31,0.8999999999999999,1.55,-0.6500000000000001
2020-12-31,0.6,0.09,0.51
2021-12-31,2.256521739130435,0.07,2.186521739130435
2022-12-31,13.0,4.33,8.67
