Date,Policy Rate,Federal Funds Rate,Rate Difference
1995-01-31,31.0,5.86,25.14
1995-02-28,31.857142857142858,6.1,25.75714285714286
1995-03-31,34.0,6.3,27.7
1995-04-30,34.0,6.6,27.4
1995-05-31,33.61290322580645,6.17,27.442903225806447
1995-06-30,30.0,6.11,23.89
1995-07-31,30.0,5.97,24.03
1995-08-31,30.0,5.93,24.07
1995-09-30,29.133333333333333,6.2,22.933333333333334
1995-10-31,28.0,5.97,22.03
1995-11-30,28.0,6.11,21.89
1995-12-31,28.0,4.73,23.27
1996-01-31,26.451612903225808,5.71,20.741612903225807
1996-02-29,26.0,6.05,19.95
1996-03-31,26.0,5.25,20.75
1996-04-30,26.0,5.5,20.5
1996-05-31,26.0,5.31,20.69
1996-06-30,26.0,5.0,21.0
1996-07-31,25.516129032258064,6.75,18.766129032258064
1996-08-31,25.0,5.28,19.72
1996-09-30,25.0,6.09,18.91
1996-10-31,25.0,5.63,19.37
1996-11-30,25.0,5.44,19.56
1996-12-31,25.0,6.26,18.740000000000002
1997-01-31,25.0,5.37,19.63
1997-02-28,25.0,5.5,19.5
1997-03-31,25.0,5.5,19.5
1997-04-30,25.0,5.82,19.18
1997-05-31,25.0,5.58,19.42
1997-06-30,25.0,6.87,18.13
1997-07-31,25.0,5.96,19.04
1997-08-31,26.806451612903224,5.52,21.286451612903225
1997-09-30,27.0,5.81,21.19
1997-10-31,27.0,5.56,21.44
1997-11-30,27.0,5.5,21.5
1997-12-31,27.0,5.84,21.16
1998-01-31,27.0,5.48,21.52
1998-02-28,26.77777777777778,5.67,21.107777777777777
1998-03-31,24.0,5.88,18.12
1998-04-30,23.714285714285715,5.59,18.124285714285715
1998-05-31,22.475,5.63,16.845000000000002
1998-06-30,21.5,7.06,14.440000000000001
1998-07-31,20.30434782608696,5.63,14.674347826086962
1998-08-31,19.0,5.89,13.11
1998-09-30,18.318181818181817,6.14,12.178181818181816
1998-10-31,17.90909090909091,5.35,12.55909090909091
1998-11-30,17.0,5.11,11.89
1998-12-31,15.977272727272728,4.07,11.907272727272728
1999-01-31,14.625,4.79,9.835
1999-02-28,13.0,4.84,8.16
1999-03-31,13.0,4.98,8.02
1999-04-30,13.0,5.03,7.97
1999-05-31,13.0,4.61,8.39
1999-06-30,13.0,5.12,7.88
1999-07-31,13.0,5.07,7.93
1999-08-31,13.0,5.57,7.43
1999-09-30,13.272727272727272,5.51,7.762727272727272
1999-10-31,14.0,5.27,8.73
1999-11-30,15.125,5.63,9.495000000000001
1999-12-31,16.5,3.99,12.51
2000-01-31,16.5,5.87,10.629999999999999
2000-02-29,16.69047619047619,5.85,10.84047619047619
2000-03-31,17.5,6.17,11.33
2000-04-30,17.5,6.06,11.440000000000001
2000-05-31,17.5,6.83,10.67
2000-06-30,17.5,6.86,10.64
2000-07-31,17.5,6.64,10.86
2000-08-31,17.568181818181817,6.65,10.918181818181816
2000-09-30,19.0,6.6,12.4
2000-10-31,19.0,6.59,12.41
2000-11-30,19.0,6.62,12.379999999999999
2000-12-31,19.0,5.41,13.59
2001-01-31,19.0,5.74,13.26
2001-02-28,19.0,5.59,13.41
2001-03-31,17.90909090909091,5.29,12.619090909090911
2001-04-30,17.0,4.67,12.33
2001-05-31,17.0,4.24,12.76
2001-06-30,16.85,3.95,12.900000000000002
2001-07-31,15.5,3.82,11.68
2001-08-31,15.181818181818182,3.66,11.521818181818182
2001-09-30,14.5,2.75,11.75
2001-10-31,14.23913043478261,2.66,11.57913043478261
2001-11-30,12.857142857142858,2.06,10.797142857142857
2001-12-31,11.5,1.52,9.98
2002-01-31,11.431818181818182,1.85,9.581818181818182
2002-02-28,10.0,1.83,8.17
2002-03-31,10.0,1.74,8.26
2002-04-30,9.928571428571429,1.82,8.108571428571429
2002-05-31,9.475,1.79,7.685
2002-06-30,8.95,1.73,7.219999999999999
2002-07-31,8.5,1.76,6.74
2002-08-31,8.452380952380953,1.81,6.642380952380952
2002-09-30,7.928571428571429,1.85,6.078571428571429
2002-10-31,7.369565217391305,1.82,5.549565217391304
2002-11-30,6.973684210526316,1.23,5.743684210526316
2002-12-31,6.75,1.16,5.59
2003-01-31,6.727272727272728,1.33,5.397272727272728
2003-02-28,6.475,1.33,5.145
2003-03-31,6.214285714285714,1.38,4.8342857142857145
2003-04-30,5.9523809523809526,1.31,4.642380952380952
2003-05-31,5.726190476190476,1.28,4.446190476190476
2003-06-30,5.4625,1.45,4.0125
2003-07-31,5.25,1.04,4.21
2003-08-31,5.25,1.01,4.24
2003-09-30,5.25,1.17,4.08
2003-10-31,5.25,1.03,4.22
2003-11-30,5.25,1.01,4.24
2003-12-31,5.25,0.94,4.3100000000000005
2004-01-31,5.25,1.03,4.22
2004-02-29,5.25,1.04,4.21
2004-03-31,5.25,1.05,4.2
2004-04-30,5.25,1.03,4.22
2004-05-31,5.25,1.02,4.23
2004-06-30,5.25,1.38,3.87
2004-07-31,5.7727272727272725,1.29,4.4827272727272724
2004-08-31,6.090909090909091,1.55,4.540909090909091
2004-09-30,6.5,1.94,4.5600000000000005
2004-10-31,6.5,1.79,4.71
2004-11-30,6.5,2.02,4.48
2004-12-31,6.5,1.97,4.53
2005-01-31,6.5,2.5,4.0
2005-02-28,6.5,2.52,3.98
2005-03-31,6.477272727272728,2.96,3.5172727272727284
2005-04-30,5.9523809523809526,2.97,2.9823809523809524
2005-05-31,5.5,3.09,2.41
2005-06-30,5.477272727272728,3.35,2.1272727272727283
