Date,Policy Rate,Federal Funds Rate,Rate Difference
2003-01-31,19.75,1.33,18.42
2004-01-31,21.25,1.03,20.22
2005-01-31,16.738095238095237,2.5,14.238095238095237
2006-01-31,7.5,4.47,3.0300000000000002
2007-01-31,8.75,5.33,3.42
2008-01-31,7.928571428571429,3.22,4.708571428571428
2009-01-31,10.25,0.23,10.02
2010-01-31,7.55,0.12,7.43
2011-01-31,6.25,0.17,6.08
2012-01-31,5.775,0.11,5.665
2013-01-31,5.25,0.15,5.1
2014-01-31,3.797619047619048,0.07,3.727619047619048
2015-01-31,2.5375,0.06,2.4775
2016-01-31,1.75,0.29,1.46
2017-01-31,1.75,0.56,1.19
2018-01-31,1.95,1.34,0.6099999999999999
2019-01-31,2.5,2.4,0.10000000000000009
2020-01-31,2.5,1.59,0.9099999999999999
2021-01-31,1.375,0.07,1.305
2022-01-31,1.925,0.08,1.845
2023-01-31,6.925,4.33,2.5949999999999998
2003-02-28,19.1125,1.33,17.7825
2004-02-29,21.25,1.04,20.21
2005-02-28,16.0875,2.52,13.567499999999999
2006-02-28,8.2,4.52,3.6799999999999997
2007-02-28,8.2625,5.41,2.852499999999999
2008-02-29,8.952380952380953,3.01,5.942380952380953
2009-02-28,10.0375,0.22,9.817499999999999
2010-02-28,7.075,0.13,6.945
2011-02-28,6.25,0.16,6.09
2012-02-29,5.523809523809524,0.1,5.423809523809524
2013-02-28,5.25,0.14,5.11
2014-02-28,3.525,0.06,3.465
2015-02-28,2.2875,0.06,2.2275
2016-02-29,1.75,0.29,1.46
2017-02-28,1.75,0.57,1.1800000000000002
2018-02-28,2.1875,1.35,0.8374999999999999
2019-02-28,2.5,2.4,0.10000000000000009
2020-02-29,2.5,1.58,0.9199999999999999
2021-02-28,1.25,0.07,1.18
2022-02-28,2.325,0.08,2.245
2023-02-28,7.0,4.57,2.4299999999999997
2003-03-31,18.904761904761905,1.38,17.524761904761906
2004-03-31,21.25,1.05,20.2
2005-03-31,14.98913043478261,2.96,12.029130434782608
2006-03-31,8.5,5.0,3.5
2007-03-31,7.909090909090909,5.3,2.6090909090909093
2008-03-31,9.095238095238097,2.51,6.585238095238097
2009-03-31,10.0,0.16,9.84
2010-03-31,6.956521739130435,0.09,6.866521739130435
2011-03-31,6.25,0.1,6.15
2012-03-31,5.488636363636363,0.09,5.3986363636363635
2013-03-31,5.25,0.09,5.16
2014-03-31,3.5,0.06,3.44
2015-03-31,2.25,0.06,2.19
2016-03-31,1.75,0.25,1.5
2017-03-31,1.75,0.82,0.93
2018-03-31,2.25,1.67,0.5800000000000001
2019-03-31,2.5,2.43,0.06999999999999984
2020-03-31,2.340909090909091,0.08,2.2609090909090908
2021-03-31,1.25,0.06,1.19
2022-03-31,2.5,0.33,2.17
2023-03-31,7.0,4.83,2.17
2003-04-30,18.5,1.31,17.19
2004-04-30,21.25,1.03,20.22
2005-04-30,13.071428571428571,2.97,10.10142857142857
2006-04-30,8.5,4.86,3.6399999999999997
2007-04-30,7.5,5.29,2.21
2008-04-30,9.5,2.37,7.13
2009-04-30,10.0,0.2,9.8
2010-04-30,6.5,0.2,6.3
2011-04-30,6.25,0.09,6.16
2012-04-30,5.25,0.16,5.09
2013-04-30,5.25,0.14,5.11
2014-04-30,3.5,0.09,3.41
2015-04-30,2.0,0.08,1.92
2016-04-30,1.75,0.3,1.45
2017-04-30,1.75,0.83,0.92
2018-04-30,2.25,1.69,0.56
2019-04-30,2.5,2.45,0.04999999999999982
2020-04-30,2.0,0.05,1.95
2021-04-30,1.25,0.05,1.2
2022-04-30,2.921052631578948,0.33,2.5910526315789477
2023-04-30,7.0,4.83,2.17
2003-05-31,18.297619047619047,1.28,17.017619047619046
2004-05-31,21.25,1.02,20.23
2005-05-31,12.5,3.09,9.41
2006-05-31,8.5,5.05,3.45
2007-05-31,7.261363636363637,5.28,1.9813636363636364
2008-05-31,9.714285714285714,1.98,7.734285714285713
2009-05-31,9.575,0.19,9.385
2010-05-31,6.275,0.19,6.085
