Date,Policy Rate,Federal Funds Rate,Rate Difference
2005-10-31,9.0,4.02,4.98
2005-11-30,9.0,4.03,4.97
2005-12-31,8.75,4.09,4.66
2006-01-31,8.25,4.47,3.7800000000000002
2006-02-28,8.25,4.52,3.7300000000000004
2006-03-31,8.25,5.0,3.25
2006-04-30,8.0,4.86,3.1399999999999997
2006-05-31,8.0,5.05,2.95
2006-06-30,8.0,5.05,2.95
2006-07-31,8.0,5.31,2.6900000000000004
2006-08-31,8.0,5.31,2.6900000000000004
2006-09-30,8.0,5.34,2.66
2006-10-31,8.0,5.31,2.6900000000000004
2006-11-30,8.5,5.31,3.1900000000000004
2006-12-31,8.75,5.17,3.58
2007-01-31,8.75,5.33,3.42
2007-02-28,8.75,5.41,3.34
2007-03-31,8.75,5.3,3.45
2007-04-30,8.75,5.29,3.46
2007-05-31,8.75,5.28,3.4699999999999998
2007-06-30,8.75,5.31,3.4400000000000004
2007-07-31,8.75,5.28,3.4699999999999998
2007-08-31,8.75,4.96,3.79
2007-09-30,8.75,4.58,4.17
2007-10-31,8.75,4.6,4.15
2007-11-30,8.75,4.66,4.09
2007-12-31,8.75,3.06,5.6899999999999995
2008-01-31,8.75,3.22,5.529999999999999
2008-02-29,9.0,3.01,5.99
2008-03-31,9.5,2.51,6.99
2008-04-30,9.5,2.37,7.13
2008-05-31,10.0,1.98,8.02
2008-06-30,10.5,2.47,8.03
2008-07-31,10.5,2.09,8.41
2008-08-31,11.0,1.94,9.06
2008-09-30,11.5,2.03,9.47
2008-10-31,11.5,0.22,11.28
2008-11-30,11.5,0.52,10.98
2008-12-31,11.5,0.14,11.36
2009-01-31,11.5,0.23,11.27
2009-02-28,10.5,0.22,10.28
2009-03-31,10.0,0.16,9.84
2009-04-30,10.0,0.2,9.8
2009-05-31,9.5,0.19,9.31
2009-06-30,9.0,0.22,8.78
2009-07-31,9.0,0.18,8.82
2009-08-31,8.5,0.15,8.35
2009-09-30,8.25,0.07,8.18
2009-10-31,8.25,0.11,8.14
2009-11-30,8.25,0.13,8.12
2009-12-31,8.25,0.05,8.2
2010-01-31,8.25,0.12,8.13
2010-02-28,8.25,0.13,8.12
2010-03-31,8.25,0.09,8.16
2010-04-30,8.25,0.2,8.05
2010-05-31,8.25,0.19,8.06
2010-06-30,8.25,0.09,8.16
2010-07-31,8.25,0.18,8.07
2010-08-31,8.25,0.21,8.04
2010-09-30,8.25,0.15,8.1
2010-10-31,8.25,0.2,8.05
2010-11-30,8.25,0.2,8.05
2010-12-31,8.25,0.13,8.12
2011-01-31,8.25,0.17,8.08
2011-02-28,8.25,0.16,8.09
2011-03-31,8.25,0.1,8.15
2011-04-30,8.25,0.09,8.16
2011-05-31,8.25,0.1,8.15
2011-06-30,8.25,0.07,8.18
2011-07-31,8.25,0.11,8.14
2011-08-31,8.25,0.08,8.17
2011-09-30,8.25,0.06,8.19
2011-10-31,8.25,0.09,8.16
2011-11-30,9.25,0.1,9.15
2011-12-31,9.25,0.04,9.21
2012-01-31,9.25,0.11,9.14
2012-02-29,9.25,0.1,9.15
2012-03-31,9.25,0.09,9.16
2012-04-30,9.25,0.16,9.09
2012-05-31,9.25,0.16,9.09
2012-06-30,9.25,0.09,9.16
2012-07-31,9.25,0.13,9.12
2012-08-31,9.25,0.13,9.12
2012-09-30,9.25,0.09,9.16
2012-10-31,9.25,0.18,9.07
2012-11-30,9.25,0.16,9.09
2012-12-31,9.25,0.09,9.16
2013-01-31,9.25,0.15,9.1
2013-02-28,9.25,0.14,9.11
2013-03-31,9.75,0.09,9.66
2013-04-30,9.75,0.14,9.61
2013-05-31,9.75,0.09,9.66
2013-06-30,9.75,0.07,9.68
2013-07-31,9.75,0.09,9.66
2013-08-31,9.25,0.07,9.18
2013-09-30,8.75,0.06,8.69
2013-10-31,8.75,0.07,8.68
2013-11-30,8.75,0.07,8.68
2013-12-31,8.25,0.07,8.18
2014-01-31,8.25,0.07,8.18
2014-02-28,8.25,0.06,8.19
2014-03-31,8.25,0.06,8.19
2014-04-30,8.25,0.09,8.16
2014-05-31,8.25,0.08,8.17
2014-06-30,8.25,0.09,8.16
2014-07-31,9.25,0.08,9.17
2014-08-31,9.25,0.07,9.18
2014-09-30,9.25,0.07,9.18
2014-10-31,9.25,0.07,9.18
2014-11-30,9.25,0.08,9.17
2014-12-31,9.25,0.06,9.19
2015-01-31,8.75,0.06,8.69
2015-02-28,8.75,0.06,8.69
2015-03-31,8.75,0.06,8.69
2015-04-30,8.75,0.08,8.67
2015-05-31,8.75,0.08,8.67
2015-06-30,8.75,0.08,8.67
2015-07-31,8.75,0.08,8.67
2015-08-31,8.75,0.08,8.67
2015-09-30,8.75,0.07,8.68
2015-10-31,8.75,0.07,8.68
2015-11-30,8.75,0.08,8.67
2015-12-31,9.25,0.2,9.05
2016-01-31,9.25,0.29,8.96
2016-02-29,9.25,0.29,8.96
2016-03-31,10.75,0.25,10.5
2016-04-30,10.75,0.3,10.45
2016-05-31,10.75,0.29,10.46
2016-06-30,11.75,0.3,11.45
2016-07-31,11.75,0.3,11.45
2016-08-31,11.75,0.3,11.45
2016-09-30,11.75,0.29,11.46
2016-10-31,11.75,0.31,11.44
2016-11-30,14.75,0.31,14.44
2016-12-31,14.75,0.55,14.2
2017-01-31,14.75,0.56,14.19
2017-02-28,14.75,0.57,14.18
2017-03-31,14.75,0.82,13.93
2017-04-30,14.75,0.83,13.92
2017-05-31,16.75,0.83,15.92
2017-06-30,16.75,1.16,15.59
2017-07-31,18.75,1.07,17.68
2017-08-31,18.75,1.07,17.68
2017-09-30,18.75,1.06,17.69
2017-10-31,18.75,1.07,17.68
2017-11-30,18.75,1.07,17.68
2017-12-31,18.75,1.33,17.42
2018-01-31,18.75,1.34,17.41
2018-02-28,17.75,1.35,16.4
2018-03-31,16.75,1.67,15.08
2018-04-30,16.75,1.69,15.06
2018-05-31,16.75,1.7,15.05
2018-06-30,16.75,1.91,14.84
2018-07-31,16.75,1.91,14.84
2018-08-31,16.75,1.91,14.84
2018-09-30,16.75,2.18,14.57
2018-10-31,16.75,2.2,14.55
2018-11-30,16.75,2.2,14.55
2018-12-31,16.75,2.4,14.35
2019-01-31,16.75,2.4,14.35
2019-02-28,15.75,2.4,13.35
2019-03-31,15.75,2.43,13.32
2019-04-30,15.75,2.45,13.3
2019-05-31,15.75,2.4,13.35
2019-06-30,15.75,2.4,13.35
2019-07-31,15.75,2.4,13.35
2019-08-31,14.25,2.13,12.120000000000001
2019-09-30,13.25,1.9,11.35
2019-10-31,13.25,1.58,11.67
2019-11-30,12.25,1.56,10.69
2019-12-31,12.25,1.55,10.7
2020-01-31,12.25,1.59,10.66
2020-02-29,12.25,1.58,10.67
2020-03-31,9.25,0.08,9.17
2020-04-30,9.25,0.05,9.2
2020-05-31,9.25,0.05,9.2
2020-06-30,9.25,0.08,9.17
2020-07-31,9.25,0.1,9.15
2020-08-31,9.25,0.09,9.16
2020-09-30,8.75,0.09,8.66
2020-10-31,8.75,0.09,8.66
2020-11-30,8.25,0.09,8.16
2020-12-31,8.25,0.09,8.16
2021-01-31,8.25,0.07,8.18
2021-02-28,8.25,0.07,8.18
2021-03-31,8.25,0.06,8.19
2021-04-30,8.25,0.05,8.2
2021-05-31,8.25,0.05,8.2
2021-06-30,8.25,0.08,8.17
2021-07-31,8.25,0.07,8.18
2021-08-31,8.25,0.06,8.19
2021-09-30,8.25,0.06,8.19
2021-10-31,8.25,0.07,8.18
2021-11-30,8.25,0.07,8.18
2021-12-31,8.25,0.07,8.18
2022-01-31,8.25,0.08,8.17
2022-02-28,8.25,0.08,8.17
2022-03-31,9.25,0.33,8.92
2022-04-30,9.25,0.33,8.92
2022-05-31,11.25,0.83,10.42
2022-06-30,11.25,1.58,9.67
2022-07-31,11.25,2.32,8.93
2022-08-31,11.25,2.33,8.92
2022-09-30,11.25,3.08,8.17
2022-10-31,13.25,3.08,10.17
2022-11-30,13.25,3.83,9.42
2022-12-31,16.25,4.33,11.92
2023-01-31,16.25,4.33,11.92
2023-02-28,16.25,4.57,11.68
2023-03-31,16.25,4.83,11.42
2023-04-30,18.25,4.83,13.42
2023-05-31,18.25,5.08,13.17
2023-06-30,18.25,5.08,13.17
2023-07-31,18.25,5.33,12.92
2023-08-31,19.25,5.33,13.92
2023-09-30,19.25,5.33,13.92
