Date,Policy Rate,Federal Funds Rate,Rate Difference
1995-01-31,25.0,5.86,19.14
1995-02-28,28.0,6.1,21.9
1995-03-31,28.0,6.3,21.7
1995-04-30,28.0,6.6,21.4
1995-05-31,28.0,6.17,21.83
1995-06-30,28.0,6.11,21.89
1995-07-31,28.0,5.97,22.03
1995-08-31,28.0,5.93,22.07
1995-09-30,28.0,6.2,21.8
1995-10-31,28.0,5.97,22.03
1995-11-30,28.0,6.11,21.89
1995-12-31,28.0,4.73,23.27
1996-01-31,28.0,5.71,22.29
1996-02-29,27.0,6.05,20.95
1996-03-31,27.0,5.25,21.75
1996-04-30,27.0,5.5,21.5
1996-05-31,26.0,5.31,20.69
1996-06-30,26.0,5.0,21.0
1996-07-31,25.5,6.75,18.75
1996-08-31,25.5,5.28,20.22
1996-09-30,24.5,6.09,18.41
1996-10-31,23.0,5.63,17.37
1996-11-30,23.0,5.44,17.56
1996-12-31,23.0,6.26,16.740000000000002
1997-01-31,22.5,5.37,17.13
1997-02-28,22.5,5.5,17.0
1997-03-31,21.5,5.5,16.0
1997-04-30,21.5,5.82,15.68
1997-05-31,21.5,5.58,15.92
1997-06-30,21.5,6.87,14.629999999999999
1997-07-31,21.0,5.96,15.04
1997-08-31,21.0,5.52,15.48
1997-09-30,20.5,5.81,14.690000000000001
1997-10-31,20.5,5.56,14.940000000000001
1997-11-30,20.5,5.5,15.0
1997-12-31,20.5,5.84,14.66
1998-01-31,20.5,5.48,15.02
1998-02-28,20.0,5.67,14.33
1998-03-31,20.0,5.88,14.120000000000001
1998-04-30,19.5,5.59,13.91
1998-05-31,19.5,5.63,13.870000000000001
1998-06-30,19.0,7.06,11.940000000000001
1998-07-31,19.0,5.63,13.370000000000001
1998-08-31,18.0,5.89,12.11
1998-09-30,18.0,6.14,11.86
1998-10-31,18.0,5.35,12.65
1998-11-30,18.0,5.11,12.89
1998-12-31,17.0,4.07,12.93
1999-01-31,17.0,4.79,12.21
1999-02-28,16.0,4.84,11.16
1999-03-31,16.0,4.98,11.02
1999-04-30,16.0,5.03,10.969999999999999
1999-05-31,16.0,4.61,11.39
1999-06-30,15.5,5.12,10.379999999999999
1999-07-31,15.5,5.07,10.43
1999-08-31,15.5,5.57,9.93
1999-09-30,15.5,5.51,9.99
1999-10-31,15.5,5.27,10.23
1999-11-30,15.0,5.63,9.370000000000001
1999-12-31,14.5,3.99,10.51
2000-01-31,13.0,5.87,7.13
2000-02-29,13.0,5.85,7.15
2000-03-31,12.0,6.17,5.83
2000-04-30,11.0,6.06,4.94
2000-05-31,11.0,6.83,4.17
2000-06-30,11.0,6.86,4.14
2000-07-31,11.0,6.64,4.36
2000-08-31,11.0,6.65,4.35
2000-09-30,11.0,6.6,4.4
2000-10-31,11.0,6.59,4.41
2000-11-30,11.0,6.62,4.38
2000-12-31,11.0,5.41,5.59
2001-01-31,11.0,5.74,5.26
2001-02-28,11.0,5.59,5.41
2001-03-31,11.0,5.29,5.71
2001-04-30,11.0,4.67,6.33
2001-05-31,11.0,4.24,6.76
2001-06-30,11.0,3.95,7.05
2001-07-31,11.25,3.82,7.43
2001-08-31,11.25,3.66,7.59
2001-09-30,11.0,2.75,8.25
2001-10-31,10.75,2.66,8.09
2001-11-30,10.25,2.06,8.19
2001-12-31,9.75,1.52,8.23
2002-01-31,9.0,1.85,7.15
2002-02-28,8.5,1.83,6.67
2002-03-31,8.5,1.74,6.76
2002-04-30,8.5,1.82,6.68
2002-05-31,9.0,1.79,7.21
2002-06-30,9.0,1.73,7.27
2002-07-31,9.5,1.76,7.74
2002-08-31,9.5,1.81,7.6899999999999995
2002-09-30,9.5,1.85,7.65
2002-10-31,9.5,1.82,7.68
2002-11-30,9.0,1.23,7.77
2002-12-31,8.5,1.16,7.34
2003-01-31,6.5,1.33,5.17
2003-02-28,6.5,1.33,5.17
2003-03-31,6.5,1.38,5.12
2003-04-30,6.5,1.31,5.1899999999999995
2003-05-31,6.5,1.28,5.22
2003-06-30,9.5,1.45,8.05
2003-07-31,9.5,1.04,8.46
2003-08-31,9.5,1.01,8.49
2003-09-30,9.5,1.17,8.33
2003-10-31,9.5,1.03,8.47
2003-11-30,12.5,1.01,11.49
2003-12-31,12.5,0.94,11.56
2004-01-31,12.5,1.03,11.47
2004-02-29,12.5,1.04,11.46
2004-03-31,12.25,1.05,11.2
2004-04-30,12.0,1.03,10.97
2004-05-31,11.5,1.02,10.48
2004-06-30,11.5,1.38,10.120000000000001
2004-07-31,11.5,1.29,10.21
2004-08-31,11.0,1.55,9.45
2004-09-30,11.0,1.94,9.06
2004-10-31,10.5,1.79,8.71
2004-11-30,10.0,2.02,7.98
2004-12-31,9.5,1.97,7.53
2005-01-31,9.0,2.5,6.5
2005-02-28,8.25,2.52,5.73
2005-03-31,7.75,2.96,4.79
2005-04-30,7.5,2.97,4.529999999999999
2005-05-31,7.25,3.09,4.16
2005-06-30,7.0,3.35,3.65
2005-07-31,6.75,3.31,3.44
2005-08-31,6.25,3.63,2.62
2005-09-30,6.0,3.93,2.07
2005-10-31,6.0,4.02,1.9800000000000004
2005-11-30,6.0,4.03,1.9699999999999998
2005-12-31,6.0,4.09,1.9100000000000001
2006-01-31,6.0,4.47,1.5300000000000002
2006-02-28,6.0,4.52,1.4800000000000004
2006-03-31,6.0,5.0,1.0
2006-04-30,6.0,4.86,1.1399999999999997
2006-05-31,6.0,5.05,0.9500000000000002
2006-06-30,6.25,5.05,1.2000000000000002
2006-07-31,6.75,5.31,1.4400000000000004
2006-08-31,7.25,5.31,1.9400000000000004
2006-09-30,7.75,5.34,2.41
2006-10-31,8.0,5.31,2.6900000000000004
2006-11-30,8.0,5.31,2.6900000000000004
2006-12-31,8.0,5.17,2.83
2007-01-31,8.0,5.33,2.67
2007-02-28,8.0,5.41,2.59
2007-03-31,8.0,5.3,2.7
2007-04-30,8.0,5.29,2.71
2007-05-31,8.0,5.28,2.7199999999999998
2007-06-30,7.75,5.31,2.4400000000000004
2007-07-31,7.75,5.28,2.4699999999999998
2007-08-31,7.75,4.96,2.79
2007-09-30,7.5,4.58,2.92
2007-10-31,7.5,4.6,2.9000000000000004
2007-11-30,7.5,4.66,2.84
2007-12-31,7.5,3.06,4.4399999999999995
2008-01-31,7.5,3.22,4.279999999999999
2008-02-29,7.5,3.01,4.49
2008-03-31,7.5,2.51,4.99
2008-04-30,8.25,2.37,5.88
2008-05-31,8.5,1.98,6.52
2008-06-30,8.5,2.47,6.029999999999999
2008-07-31,8.5,2.09,6.41
2008-08-31,8.5,1.94,6.5600000000000005
2008-09-30,8.5,2.03,6.470000000000001
2008-10-31,11.5,0.22,11.28
2008-11-30,11.0,0.52,10.48
2008-12-31,10.0,0.14,9.86
2009-01-31,9.5,0.23,9.27
2009-02-28,9.5,0.22,9.28
2009-03-31,9.5,0.16,9.34
2009-04-30,9.5,0.2,9.3
2009-05-31,9.5,0.19,9.31
2009-06-30,9.5,0.22,9.28
2009-07-31,8.5,0.18,8.32
2009-08-31,8.0,0.15,7.85
2009-09-30,7.5,0.07,7.43
2009-10-31,7.0,0.11,6.89
2009-11-30,6.5,0.13,6.37
2009-12-31,6.25,0.05,6.2
2010-01-31,6.0,0.12,5.88
2010-02-28,5.75,0.13,5.62
2010-03-31,5.5,0.09,5.41
2010-04-30,5.25,0.2,5.05
2010-05-31,5.25,0.19,5.06
2010-06-30,5.25,0.09,5.16
2010-07-31,5.25,0.18,5.07
2010-08-31,5.25,0.21,5.04
2010-09-30,5.25,0.15,5.1
2010-10-31,5.25,0.2,5.05
2010-11-30,5.5,0.2,5.3
2010-12-31,5.75,0.13,5.62
2011-01-31,6.0,0.17,5.83
2011-02-28,6.0,0.16,5.84
2011-03-31,6.0,0.1,5.9
2011-04-30,6.0,0.09,5.91
2011-05-31,6.0,0.1,5.9
2011-06-30,6.0,0.07,5.93
2011-07-31,6.0,0.11,5.89
2011-08-31,6.0,0.08,5.92
2011-09-30,6.0,0.06,5.94
2011-10-31,6.0,0.09,5.91
