Date,Policy Rate,Federal Funds Rate,Rate Difference
2007-01-31,10.0,5.33,4.67
2007-02-28,10.0,5.41,4.59
2007-03-31,10.0,5.3,4.7
2007-04-30,10.0,5.29,4.71
2007-05-31,10.0,5.28,4.72
2007-06-30,8.0,5.31,2.6900000000000004
2007-07-31,8.0,5.28,2.7199999999999998
2007-08-31,8.0,4.96,3.04
2007-09-30,8.0,4.58,3.42
2007-10-31,9.0,4.6,4.4
2007-11-30,9.0,4.66,4.34
2007-12-31,9.5,3.06,6.4399999999999995
2008-01-31,9.5,3.22,6.279999999999999
2008-02-29,9.5,3.01,6.49
2008-03-31,9.5,2.51,6.99
2008-04-30,10.0,2.37,7.63
2008-05-31,10.0,1.98,8.02
2008-06-30,10.25,2.47,7.779999999999999
2008-07-31,10.25,2.09,8.16
2008-08-31,10.25,1.94,8.31
2008-09-30,9.75,2.03,7.720000000000001
2008-10-31,9.75,0.22,9.53
2008-11-30,9.75,0.52,9.23
2008-12-31,9.75,0.14,9.61
2009-01-31,9.75,0.23,9.52
2009-02-28,9.75,0.22,9.53
2009-03-31,9.75,0.16,9.59
2009-04-30,8.0,0.2,7.8
2009-05-31,8.0,0.19,7.81
2009-06-30,8.0,0.22,7.78
2009-07-31,6.0,0.18,5.82
2009-08-31,6.0,0.15,5.85
2009-09-30,6.0,0.07,5.93
2009-10-31,6.0,0.11,5.89
2009-11-30,6.0,0.13,5.87
2009-12-31,6.0,0.05,5.95
2010-01-31,6.0,0.12,5.88
2010-02-28,6.0,0.13,5.87
2010-03-31,6.0,0.09,5.91
2010-04-30,6.0,0.2,5.8
2010-05-31,6.0,0.19,5.81
2010-06-30,6.0,0.09,5.91
2010-07-31,6.0,0.18,5.82
2010-08-31,6.0,0.21,5.79
2010-09-30,6.25,0.15,6.1
2010-10-31,6.25,0.2,6.05
2010-11-30,6.25,0.2,6.05
2010-12-31,6.25,0.13,6.12
2011-01-31,6.5,0.17,6.33
2011-02-28,6.5,0.16,6.34
2011-03-31,7.5,0.1,7.4
2011-04-30,7.5,0.09,7.41
2011-05-31,8.0,0.1,7.9
2011-06-30,8.0,0.07,7.93
2011-07-31,8.75,0.11,8.64
2011-08-31,8.75,0.08,8.67
2011-09-30,9.25,0.06,9.19
2011-10-31,12.0,0.09,11.91
2011-11-30,12.0,0.1,11.9
2011-12-31,12.0,0.04,11.96
2012-01-31,12.0,0.11,11.89
2012-02-29,12.0,0.1,11.9
2012-03-31,12.0,0.09,11.91
2012-04-30,12.0,0.16,11.84
2012-05-31,12.0,0.16,11.84
2012-06-30,12.0,0.09,11.91
2012-07-31,12.0,0.13,11.87
2012-08-31,12.0,0.13,11.87
2012-09-30,12.0,0.09,11.91
2012-10-31,12.0,0.18,11.82
2012-11-30,12.0,0.16,11.84
2012-12-31,12.0,0.09,11.91
2013-01-31,12.0,0.15,11.85
2013-02-28,12.0,0.14,11.86
2013-03-31,12.0,0.09,11.91
2013-04-30,12.0,0.14,11.86
2013-05-31,12.0,0.09,11.91
2013-06-30,12.0,0.07,11.93
2013-07-31,12.0,0.09,11.91
2013-08-31,12.0,0.07,11.93
2013-09-30,12.0,0.06,11.94
2013-10-31,12.0,0.07,11.93
2013-11-30,12.0,0.07,11.93
2013-12-31,12.0,0.07,11.93
2014-01-31,12.0,0.07,11.93
2014-02-28,12.0,0.06,11.94
2014-03-31,12.0,0.06,11.94
2014-04-30,12.0,0.09,11.91
2014-05-31,12.0,0.08,11.92
2014-06-30,12.0,0.09,11.91
2014-07-31,12.0,0.08,11.92
2014-08-31,12.0,0.07,11.93
2014-09-30,12.0,0.07,11.93
2014-10-31,12.0,0.07,11.93
2014-11-30,13.0,0.08,12.92
2014-12-31,13.0,0.06,12.94
2015-01-31,13.0,0.06,12.94
2015-02-28,13.0,0.06,12.94
2015-03-31,13.0,0.06,12.94
2015-04-30,13.0,0.08,12.92
2015-05-31,13.0,0.08,12.92
2015-06-30,13.0,0.08,12.92
2015-07-31,13.0,0.08,12.92
2015-08-31,13.0,0.08,12.92
2015-09-30,13.0,0.07,12.93
2015-10-31,13.0,0.07,12.93
2015-11-30,11.0,0.08,10.92
2015-12-31,11.0,0.2,10.8
2016-01-31,11.0,0.29,10.71
2016-02-29,11.0,0.29,10.71
2016-03-31,12.0,0.25,11.75
2016-04-30,12.0,0.3,11.7
2016-05-31,12.0,0.29,11.71
2016-06-30,12.0,0.3,11.7
2016-07-31,14.0,0.3,13.7
2016-08-31,14.0,0.3,13.7
2016-09-30,14.0,0.29,13.71
2016-10-31,14.0,0.31,13.69
2016-11-30,14.0,0.31,13.69
2016-12-31,14.0,0.55,13.45
2017-01-31,14.0,0.56,13.44
2017-02-28,14.0,0.57,13.43
2017-03-31,14.0,0.82,13.18
2017-04-30,14.0,0.83,13.17
2017-05-31,14.0,0.83,13.17
2017-06-30,14.0,1.16,12.84
2017-07-31,14.0,1.07,12.93
2017-08-31,14.0,1.07,12.93
2017-09-30,14.0,1.06,12.94
2017-10-31,14.0,1.07,12.93
2017-11-30,14.0,1.07,12.93
2017-12-31,14.0,1.33,12.67
2018-01-31,14.0,1.34,12.66
2018-02-28,14.0,1.35,12.65
2018-03-31,14.0,1.67,12.33
2018-04-30,14.0,1.69,12.31
2018-05-31,14.0,1.7,12.3
2018-06-30,14.0,1.91,12.09
2018-07-31,14.0,1.91,12.09
2018-08-31,14.0,1.91,12.09
2018-09-30,14.0,2.18,11.82
2018-10-31,14.0,2.2,11.8
2018-11-30,14.0,2.2,11.8
2018-12-31,14.0,2.4,11.6
2019-01-31,14.0,2.4,11.6
2019-02-28,14.0,2.4,11.6
2019-03-31,13.5,2.43,11.07
2019-04-30,13.5,2.45,11.05
2019-05-31,13.5,2.4,11.1
2019-06-30,13.5,2.4,11.1
2019-07-31,13.5,2.4,11.1
2019-08-31,13.5,2.13,11.370000000000001
2019-09-30,13.5,1.9,11.6
2019-10-31,13.5,1.58,11.92
2019-11-30,13.5,1.56,11.94
2019-12-31,13.5,1.55,11.95
2020-01-31,13.5,1.59,11.91
2020-02-29,13.5,1.58,11.92
2020-03-31,13.5,0.08,13.42
