Date,Policy Rate,Federal Funds Rate,Rate Difference
1993-12-31,70.0,2.85,67.15
1994-01-31,70.0,3.68,66.32
1994-02-28,70.0,3.49,66.51
1994-03-31,70.0,4.18,65.82
1994-04-30,70.0,3.73,66.27
1994-05-31,70.0,4.6,65.4
1994-06-30,70.0,5.96,64.04
1994-07-31,70.0,4.29,65.71
1994-08-31,70.0,4.7,65.3
1994-09-30,65.0,5.44,59.56
1994-10-31,62.0,4.9,57.1
1994-11-30,58.0,5.66,52.34
1994-12-31,58.0,4.94,53.06
1995-01-31,58.0,5.86,52.14
1995-02-28,55.0,6.1,48.9
1995-03-31,48.5,6.3,42.2
1995-04-30,44.0,6.6,37.4
1995-05-31,40.0,6.17,33.83
1995-06-30,40.0,6.11,33.89
1995-07-31,40.0,5.97,34.03
1995-08-31,35.0,5.93,29.07
1995-09-30,35.0,6.2,28.8
1995-10-31,33.0,5.97,27.03
1995-11-30,33.0,6.11,26.89
1995-12-31,34.1,4.73,29.37
1996-01-31,35.0,5.71,29.29
1996-02-29,35.0,6.05,28.95
1996-03-31,35.0,5.25,29.75
1996-04-30,35.0,5.5,29.5
1996-05-31,35.0,5.31,29.69
1996-06-30,35.0,5.0,30.0
1996-07-31,35.0,6.75,28.25
1996-08-31,35.0,5.28,29.72
1996-09-30,35.0,6.09,28.91
1996-10-31,35.0,5.63,29.37
1996-11-30,36.0,5.44,30.56
1996-12-31,35.0,6.26,28.740000000000002
1997-01-31,50.0,5.37,44.63
1997-02-28,50.0,5.5,44.5
1997-03-31,50.0,5.5,44.5
1997-04-30,50.0,5.82,44.18
1997-05-31,50.0,5.58,44.42
1997-06-30,50.0,6.87,43.13
1997-07-31,40.0,5.96,34.04
1997-08-31,40.0,5.52,34.480000000000004
1997-09-30,40.0,5.81,34.19
1997-10-31,40.0,5.56,34.44
1997-11-30,40.0,5.5,34.5
1997-12-31,40.0,5.84,34.16
1998-01-31,40.0,5.48,34.519999999999996
1998-02-28,40.0,5.67,34.33
1998-03-31,40.0,5.88,34.12
1998-04-30,40.0,5.59,34.41
1998-05-31,40.0,5.63,34.37
