,Effective Federal Funds Rate: Month Average
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,42590301 (UMAA)
SR Code,SR660520
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1954-07
Last Obs. Date,2023-09
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,4.5999896972924175
Variance,12.938635686038708
Standard Deviation,3.5970315102927173
Skewness,1.058908557857558
Kurtosis,1.5594918692979096
Coefficient Variation,0.7819651231849394
Min,0.04863636
Max,19.06545455
Median,4.1695
No. of Obs,831
1995-01,5.624
1995-02,5.91263158
1995-03,6.05130435
1995-04,6.1605
1995-05,6.11090909
1995-06,6.10818182
1995-07,5.869
1995-08,5.74913043
1995-09,5.826
1995-10,5.76809524
1995-11,5.79809524
1995-12,5.687
1996-01,5.6447619
1996-02,5.252
1996-03,5.29142857
1996-04,5.26681818
1996-05,5.26772727
1996-06,5.309
1996-07,5.45590909
1996-08,5.22772727
1996-09,5.3275
1996-10,5.27454545
1996-11,5.31789474
1996-12,5.36809524
1997-01,5.29
1997-02,5.192
1997-03,5.33714286
1997-04,5.53045455
1997-05,5.51818182
1997-06,5.58619048
1997-07,5.5573913
1997-08,5.55380952
1997-09,5.58761905
1997-10,5.51826087
1997-11,5.5465
1997-12,5.54217391
1998-01,5.52818182
1998-02,5.529
1998-03,5.51954545
1998-04,5.45545455
1998-05,5.46666667
1998-06,5.60363636
1998-07,5.56652174
1998-08,5.55952381
1998-09,5.53772727
1998-10,5.08409091
1998-11,4.84333333
1998-12,4.70217391
1999-01,4.65761905
1999-02,4.7705
1999-03,4.82608696
1999-04,4.76136364
1999-05,4.73571429
1999-06,4.76727273
1999-07,5.01409091
1999-08,5.08681818
1999-09,5.25136364
1999-10,5.19809524
1999-11,5.42636364
1999-12,5.29434783
2000-01,5.56210526
2000-02,5.75052632
2000-03,5.87130435
2000-04,6.0045
2000-05,6.27227273
2000-06,6.54954545
2000-07,6.5185
2000-08,6.50130435
2000-09,6.5145
2000-10,6.52047619
2000-11,6.52333333
2000-12,6.4515
2001-01,6.02285714
2001-02,5.50842105
2001-03,5.30863636
2001-04,4.81380952
2001-05,4.23181818
2001-06,3.95142857
2001-07,3.78095238
2001-08,3.65695652
2001-09,2.95947368
2001-10,2.50181818
2001-11,2.108
2001-12,1.8155
2002-01,1.75095238
2002-02,1.7455
2002-03,1.72619048
2002-04,1.75863636
2002-05,1.75909091
2002-06,1.7515
2002-07,1.73863636
2002-08,1.75409091
2002-09,1.754
2002-10,1.76090909
2002-11,1.33473684
2002-12,1.24619048
2003-01,1.25571429
2003-02,1.26
2003-03,1.25047619
2003-04,1.26272727
2003-05,1.26857143
2003-06,1.23047619
2003-07,1.02136364
2003-08,1.00952381
2003-09,1.01380952
2003-10,1.01590909
2003-11,0.99555556
2003-12,0.98636364
2004-01,1
2004-02,1.00578947
2004-03,1.00391304
2004-04,1.00636364
2004-05,1.001
2004-06,1.03136364
2004-07,1.27
2004-08,1.42636364
2004-09,1.62238095
2004-10,1.757
2004-11,1.923
2004-12,2.16086957
2005-01,2.2945
2005-02,2.49578947
2005-03,2.62956522
2005-04,2.77619048
2005-05,3.00380952
2005-06,3.04318182
2005-07,3.243
2005-08,3.48913043
2005-09,3.64190476
2005-10,3.7625
2005-11,3.998
2005-12,4.15857143
2006-01,4.3
2006-02,4.49052632
2006-03,4.59347826
2006-04,4.7695
2006-05,4.93181818
2006-06,4.99772727
2006-07,5.25
2006-08,5.24608696
2006-09,5.2525
2006-10,5.24857143
2006-11,5.25095238
2006-12,5.237
2007-01,5.25857143
2007-02,5.26684211
2007-03,5.26090909
2007-04,5.24333333
2007-05,5.24954545
2007-06,5.25380952
2007-07,5.26285714
2007-08,5.03521739
2007-09,4.96631579
2007-10,4.74863636
2007-11,4.4965
2007-12,4.219
2008-01,3.93142857
2008-02,2.9625
2008-03,2.60285714
2008-04,2.26772727
2008-05,1.99333333
2008-06,2.00142857
2008-07,2.01909091
2008-08,1.98619048
2008-09,1.86428571
2008-10,1.01727273
2008-11,0.38722222
2008-12,0.17090909
2009-01,0.157
2009-02,0.22368421
2009-03,0.18318182
2009-04,0.15318182
2009-05,0.1745
2009-06,0.20772727
2009-07,0.15695652
2009-08,0.16047619
2009-09,0.14619048
2009-10,0.11761905
2009-11,0.12
2009-12,0.11863636
2010-01,0.11684211
2010-02,0.12631579
2010-03,0.16173913
2010-04,0.19772727
2010-05,0.2025
2010-06,0.17636364
2010-07,0.18190476
2010-08,0.18954545
2010-09,0.19380952
2010-10,0.1905
2010-11,0.195
2010-12,0.18347826
2011-01,0.173
2011-02,0.15789474
2011-03,0.13826087
2011-04,0.09571429
2011-05,0.09333333
2011-06,0.09045455
2011-07,0.068
2011-08,0.09782609
2011-09,0.08380952
2011-10,0.072
2011-11,0.082
2011-12,0.07142857
2012-01,0.0845
2012-02,0.105
2012-03,0.12727273
2012-04,0.1452381
2012-05,0.15636364
2012-06,0.16190476
2012-07,0.15857143
2012-08,0.13217391
2012-09,0.14947368
2012-10,0.15909091
2012-11,0.161
2012-12,0.163
2013-01,0.14428571
2013-02,0.14210526
2013-03,0.14619048
2013-04,0.145
2013-05,0.10863636
2013-06,0.0955
2013-07,0.09227273
2013-08,0.08272727
2013-09,0.081
2013-10,0.08545455
2013-11,0.08473684
2013-12,0.08666667
2014-01,0.07142857
2014-02,0.06736842
2014-03,0.07904762
2014-04,0.09045455
2014-05,0.08714286
2014-06,0.09571429
2014-07,0.09136364
2014-08,0.08904762
2014-09,0.08857143
2014-10,0.08863636
2014-11,0.095
2014-12,0.12136364
2015-01,0.1165
2015-02,0.11368421
2015-03,0.11363636
2015-04,0.12454545
2015-05,0.1245
2015-06,0.12863636
2015-07,0.13045455
2015-08,0.14190476
2015-09,0.1352381
2015-10,0.12428571
2015-11,0.119
2015-12,0.23181818
2016-01,0.36263158
2016-02,0.374
2016-03,0.36130435
2016-04,0.36666667
2016-05,0.36619048
2016-06,0.37681818
2016-07,0.3955
