,Policy Rate: Month End: Discount Rate
Region,Egypt
Subnational,
Frequency,Monthly
Unit,% pa
Source,Central Bank of Egypt
Status,Active
Series ID,96113007
SR Code,SR1116818
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1991-01
Last Obs. Date,2023-09
Last Update Time,30/09/2023
Series remarks,
Suggestions,
Mean,12.191094147582694
Variance,12.206514871215667
Standard Deviation,3.49378231594581
Skewness,0.9822350635897609
Kurtosis,-0.13671639881643527
Coefficient Variation,0.2865848031071578
Min,8.5
Max,21.5
Median,11
No. of Obs,393
1991-01,17
1991-02,18.2
1991-03,20
1991-04,20
1991-05,20.6
1991-06,21
1991-07,21.5
1991-08,21.3
1991-09,21.3
1991-10,21.4
1991-11,21.2
1991-12,20
1992-01,20.7
1992-02,20.4
1992-03,20
1992-04,19.8
1992-05,19.8
1992-06,19.8
1992-07,19.5
1992-08,19.1
1992-09,19.1
1992-10,18.7
1992-11,18.7
1992-12,18.4
1993-01,18.4
1993-02,18
1993-03,18
1993-04,17.8
1993-05,17
1993-06,17
1993-07,16.5
1993-08,16.7
1993-09,16.9
1993-10,16.9
1993-11,16.9
1993-12,16.5
1994-01,16.25
1994-02,16.25
1994-03,16
1994-04,15.75
1994-05,15.5
1994-06,15.25
1994-07,15
1994-08,14.5
1994-09,14.5
1994-10,14.25
1994-11,14
1994-12,14
1995-01,14
1995-02,14
1995-03,14
1995-04,14
1995-05,14
1995-06,14
1995-07,14
1995-08,14
1995-09,14
1995-10,14
1995-11,13.5
1995-12,13.5
1996-01,13.5
1996-02,13.5
1996-03,13.5
1996-04,13.5
1996-05,13.5
1996-06,13.5
1996-07,13.5
1996-08,13.5
1996-09,13.5
1996-10,13.5
1996-11,13.25
1996-12,13
1997-01,13
1997-02,13
1997-03,12.75
1997-04,12.75
1997-05,12.25
1997-06,12.25
1997-07,12.25
1997-08,12.25
1997-09,12.25
1997-10,12.25
1997-11,12.25
1997-12,12.25
1998-01,12.25
1998-02,12.25
1998-03,12.25
1998-04,12.25
1998-05,12.25
1998-06,12.25
1998-07,12.25
1998-08,12.25
1998-09,12.25
1998-10,12.25
1998-11,12.25
1998-12,12
1999-01,12
1999-02,12
1999-03,12
1999-04,12
1999-05,12
1999-06,12
1999-07,12
1999-08,12
1999-09,12
1999-10,12
1999-11,12
1999-12,12
2000-01,12
2000-02,12
2000-03,12
2000-04,12
2000-05,12
2000-06,12
2000-07,12
2000-08,12
2000-09,12
2000-10,12
2000-11,12
2000-12,12
