,Central Bank Policy Rate: End of Period
Region,Egypt
Subnational,
Frequency,Monthly
Unit,% pa
Source,International Monetary Fund
Status,Active
Series ID,224129601
SR Code,SR3330319
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,11/2011
Last Obs. Date,07/2023
Last Update Time,18/09/2023
Series remarks,
Suggestions,
Mean,13.130500000000007
Variance,14.620499747474746
Standard Deviation,3.823676208503375
Skewness,0.2814958094792584
Kurtosis,-1.5215791608307097
Coefficient Variation,0.2912056820763393
Min,8.75
Max,19.75
Median,12.25
No. of Obs,100
11/2011,9.75
12/2011,9.75
12/2012,9.75
12/2013,8.75
11/2014,9.75
12/2014,9.75
10/2015,9.25
11/2015,9.25
12/2015,9.25
01/2016,9.25
02/2016,9.25
03/2016,10.4
04/2016,10.4
05/2016,10.4
06/2016,10.4
07/2016,10.4
08/2016,10.4
09/2016,10.4
10/2016,12.25
11/2016,12.25
12/2016,15.25
01/2017,15.25
02/2017,15.25
03/2017,15.25
04/2017,15.25
05/2017,17.25
06/2017,17.25
07/2017,19.25
08/2017,19.25
09/2017,19.25
10/2017,19.25
11/2017,19.25
12/2017,19.25
01/2018,19.25
02/2018,18.25
03/2018,17.25
04/2018,17.25
05/2018,17.25
06/2018,17.25
07/2018,17.25
08/2018,17.25
09/2018,17.25
10/2018,17.25
11/2018,17.25
12/2018,17.25
01/2019,17.25
02/2019,16.25
03/2019,16.25
04/2019,16.25
05/2019,16.25
06/2019,16.25
07/2019,16.25
08/2019,14.75
09/2019,13.75
10/2019,13.75
11/2019,12.75
12/2019,12.75
01/2020,12.75
02/2020,12.75
03/2020,9.75
04/2020,9.75
05/2020,9.75
06/2020,9.75
07/2020,9.75
08/2020,9.75
09/2020,9.25
10/2020,9.25
11/2020,8.75
12/2020,8.75
01/2021,8.75
02/2021,8.75
03/2021,8.75
04/2021,8.75
05/2021,8.75
06/2021,8.75
07/2021,8.75
08/2021,8.75
09/2021,8.75
10/2021,8.75
11/2021,8.75
12/2021,8.75
01/2022,8.75
02/2022,8.75
03/2022,9.75
04/2022,9.75
05/2022,11.75
06/2022,11.75
07/2022,11.75
08/2022,11.75
09/2022,11.75
10/2022,13.75
11/2022,13.75
12/2022,16.75
01/2023,16.75
02/2023,16.75
03/2023,18.75
04/2023,18.75
05/2023,18.75
06/2023,18.75
07/2023,19.75
