,Policy Rate: Central Bank of Nigeria
Region,Nigeria
Subnational,
Frequency,"Daily, ""Everyday"""
Unit,% pa
Source,Central Bank of Nigeria
Status,Active
Series ID,256312203
SR Code,SR4962516
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/11/2006
Last Obs. Date,10/12/2023
Last Update Time,12/10/2023
Series remarks,
Suggestions,
Mean,11.677317073170732
Variance,7.978860096228605
Standard Deviation,2.824687610378996
Skewness,-0.22899407081579318
Kurtosis,0.2525021034839292
Coefficient Variation,0.24189525664836736
Min,6
Max,18.75
Median,12
No. of Obs,6150
12/11/2006,10
12/12/2006,10
12/13/2006,10
12/14/2006,10
12/15/2006,10
12/16/2006,10
12/17/2006,10
12/18/2006,10
12/19/2006,10
12/20/2006,10
12/21/2006,10
12/22/2006,10
12/23/2006,10
12/24/2006,10
12/25/2006,10
12/26/2006,10
12/27/2006,10
12/28/2006,10
12/29/2006,10
12/30/2006,10
12/31/2006,10
01/01/2007,10
01/02/2007,10
01/03/2007,10
01/04/2007,10
01/05/2007,10
01/06/2007,10
01/07/2007,10
01/08/2007,10
01/09/2007,10
01/10/2007,10
01/11/2007,10
01/12/2007,10
01/13/2007,10
01/14/2007,10
01/15/2007,10
01/16/2007,10
01/17/2007,10
01/18/2007,10
01/19/2007,10
01/20/2007,10
01/21/2007,10
01/22/2007,10
01/23/2007,10
01/24/2007,10
01/25/2007,10
01/26/2007,10
01/27/2007,10
01/28/2007,10
01/29/2007,10
01/30/2007,10
01/31/2007,10
02/01/2007,10
02/02/2007,10
02/03/2007,10
02/04/2007,10
02/05/2007,10
02/06/2007,10
02/07/2007,10
02/08/2007,10
02/09/2007,10
02/10/2007,10
02/11/2007,10
02/12/2007,10
02/13/2007,10
02/14/2007,10
02/15/2007,10
02/16/2007,10
02/17/2007,10
02/18/2007,10
02/19/2007,10
02/20/2007,10
02/21/2007,10
02/22/2007,10
02/23/2007,10
02/24/2007,10
02/25/2007,10
02/26/2007,10
02/27/2007,10
02/28/2007,10
03/01/2007,10
03/02/2007,10
03/03/2007,10
03/04/2007,10
03/05/2007,10
03/06/2007,10
03/07/2007,10
03/08/2007,10
03/09/2007,10
03/10/2007,10
03/11/2007,10
03/12/2007,10
03/13/2007,10
03/14/2007,10
03/15/2007,10
03/16/2007,10
03/17/2007,10
03/18/2007,10
03/19/2007,10
03/20/2007,10
03/21/2007,10
03/22/2007,10
03/23/2007,10
03/24/2007,10
03/25/2007,10
03/26/2007,10
03/27/2007,10
03/28/2007,10
03/29/2007,10
03/30/2007,10
03/31/2007,10
04/01/2007,10
04/02/2007,10
04/03/2007,10
04/04/2007,10
04/05/2007,10
04/06/2007,10
04/07/2007,10
04/08/2007,10
04/09/2007,10
04/10/2007,10
04/11/2007,10
04/12/2007,10
04/13/2007,10
04/14/2007,10
04/15/2007,10
04/16/2007,10
04/17/2007,10
04/18/2007,10
04/19/2007,10
04/20/2007,10
04/21/2007,10
04/22/2007,10
04/23/2007,10
04/24/2007,10
04/25/2007,10
04/26/2007,10
04/27/2007,10
04/28/2007,10
04/29/2007,10
04/30/2007,10
05/01/2007,10
05/02/2007,10
05/03/2007,10
05/04/2007,10
05/05/2007,10
