Date,Policy Rate,Federal Funds Rate,Rate Difference
1991-01-31,17.0,8.18,8.82
1991-02-28,18.2,6.99,11.209999999999999
1991-03-31,20.0,5.53,14.469999999999999
1991-04-30,20.0,5.98,14.02
1991-05-31,20.6,5.92,14.680000000000001
1991-06-30,21.0,6.74,14.26
1991-07-31,21.5,5.85,15.65
1991-08-31,21.3,5.5,15.8
1991-09-30,21.3,5.6,15.700000000000001
1991-10-31,21.4,5.23,16.169999999999998
1991-11-30,21.2,4.86,16.34
1991-12-31,20.0,4.9,15.1
1992-01-31,20.7,4.4,16.299999999999997
1992-02-29,20.4,4.13,16.27
1992-03-31,20.0,4.7,15.3
1992-04-30,19.8,3.85,15.950000000000001
1992-05-31,19.8,3.8,16.0
1992-06-30,19.8,4.53,15.27
1992-07-31,19.5,3.37,16.13
1992-08-31,19.1,3.51,15.590000000000002
1992-09-30,19.1,4.47,14.630000000000003
1992-10-31,18.7,3.4,15.299999999999999
1992-11-30,18.7,3.45,15.25
1992-12-31,18.4,2.66,15.739999999999998
1993-01-31,18.4,3.2,15.2
1993-02-28,18.0,3.18,14.82
1993-03-31,18.0,3.83,14.17
1993-04-30,17.8,3.1,14.700000000000001
1993-05-31,17.0,3.2,13.8
1993-06-30,17.0,3.92,13.08
1993-07-31,16.5,3.7,12.8
1993-08-31,16.7,3.19,13.51
1993-09-30,16.9,3.99,12.909999999999998
1993-10-31,16.9,3.3,13.599999999999998
1993-11-30,16.9,3.16,13.739999999999998
1993-12-31,16.5,2.85,13.65
1994-01-31,16.25,3.68,12.57
1994-02-28,16.25,3.49,12.76
1994-03-31,16.0,4.18,11.82
1994-04-30,15.75,3.73,12.02
1994-05-31,15.5,4.6,10.9
1994-06-30,15.25,5.96,9.29
1994-07-31,15.0,4.29,10.71
1994-08-31,14.5,4.7,9.8
1994-09-30,14.5,5.44,9.059999999999999
1994-10-31,14.25,4.9,9.35
1994-11-30,14.0,5.66,8.34
1994-12-31,14.0,4.94,9.059999999999999
1995-01-31,14.0,5.86,8.14
1995-02-28,14.0,6.1,7.9
1995-03-31,14.0,6.3,7.7
1995-04-30,14.0,6.6,7.4
1995-05-31,14.0,6.17,7.83
1995-06-30,14.0,6.11,7.89
1995-07-31,14.0,5.97,8.030000000000001
1995-08-31,14.0,5.93,8.07
1995-09-30,14.0,6.2,7.8
1995-10-31,14.0,5.97,8.030000000000001
1995-11-30,13.5,6.11,7.39
1995-12-31,13.5,4.73,8.77
1996-01-31,13.5,5.71,7.79
1996-02-29,13.5,6.05,7.45
1996-03-31,13.5,5.25,8.25
1996-04-30,13.5,5.5,8.0
1996-05-31,13.5,5.31,8.190000000000001
1996-06-30,13.5,5.0,8.5
1996-07-31,13.5,6.75,6.75
1996-08-31,13.5,5.28,8.219999999999999
1996-09-30,13.5,6.09,7.41
1996-10-31,13.5,5.63,7.87
1996-11-30,13.25,5.44,7.81
1996-12-31,13.0,6.26,6.74
1997-01-31,13.0,5.37,7.63
1997-02-28,13.0,5.5,7.5
1997-03-31,12.75,5.5,7.25
1997-04-30,12.75,5.82,6.93
1997-05-31,12.25,5.58,6.67
1997-06-30,12.25,6.87,5.38
1997-07-31,12.25,5.96,6.29
1997-08-31,12.25,5.52,6.73
1997-09-30,12.25,5.81,6.44
1997-10-31,12.25,5.56,6.69
1997-11-30,12.25,5.5,6.75
1997-12-31,12.25,5.84,6.41
1998-01-31,12.25,5.48,6.77
1998-02-28,12.25,5.67,6.58
1998-03-31,12.25,5.88,6.37
1998-04-30,12.25,5.59,6.66
1998-05-31,12.25,5.63,6.62
1998-06-30,12.25,7.06,5.19
1998-07-31,12.25,5.63,6.62
1998-08-31,12.25,5.89,6.36
1998-09-30,12.25,6.14,6.11
1998-10-31,12.25,5.35,6.9
1998-11-30,12.25,5.11,7.14
1998-12-31,12.0,4.07,7.93
1999-01-31,12.0,4.79,7.21
1999-02-28,12.0,4.84,7.16
1999-03-31,12.0,4.98,7.02
1999-04-30,12.0,5.03,6.97
1999-05-31,12.0,4.61,7.39
1999-06-30,12.0,5.12,6.88
1999-07-31,12.0,5.07,6.93
1999-08-31,12.0,5.57,6.43
1999-09-30,12.0,5.51,6.49
1999-10-31,12.0,5.27,6.73
1999-11-30,12.0,5.63,6.37
1999-12-31,12.0,3.99,8.01
2000-01-31,12.0,5.87,6.13
2000-02-29,12.0,5.85,6.15
2000-03-31,12.0,6.17,5.83
2000-04-30,12.0,6.06,5.94
2000-05-31,12.0,6.83,5.17
2000-06-30,12.0,6.86,5.14
2000-07-31,12.0,6.64,5.36
2000-08-31,12.0,6.65,5.35
2000-09-30,12.0,6.6,5.4
2000-10-31,12.0,6.59,5.41
2000-11-30,12.0,6.62,5.38
2000-12-31,12.0,5.41,6.59
2001-01-31,12.0,5.74,6.26
2001-02-28,12.0,5.59,6.41
2001-03-31,12.0,5.29,6.71
2001-04-30,11.0,4.67,6.33
2001-05-31,11.0,4.24,6.76
2001-06-30,11.0,3.95,7.05
2001-07-31,11.0,3.82,7.18
2001-08-31,11.0,3.66,7.34
2001-09-30,11.0,2.75,8.25
2001-10-31,11.0,2.66,8.34
2001-11-30,11.0,2.06,8.94
2001-12-31,11.0,1.52,9.48
2002-01-31,11.0,1.85,9.15
2002-02-28,11.0,1.83,9.17
2002-03-31,11.0,1.74,9.26
2002-04-30,11.0,1.82,9.18
2002-05-31,11.0,1.79,9.21
2002-06-30,11.0,1.73,9.27
2002-07-31,11.0,1.76,9.24
2002-08-31,11.0,1.81,9.19
2002-09-30,11.0,1.85,9.15
2002-10-31,11.0,1.82,9.18
2002-11-30,10.0,1.23,8.77
2002-12-31,10.0,1.16,8.84
2003-01-31,10.0,1.33,8.67
2003-02-28,10.0,1.33,8.67
2003-03-31,10.0,1.38,8.620000000000001
2003-04-30,10.0,1.31,8.69
2003-05-31,10.0,1.28,8.72
2003-06-30,10.0,1.45,8.55
2003-07-31,10.0,1.04,8.96
2003-08-31,10.0,1.01,8.99
2003-09-30,10.0,1.17,8.83
2003-10-31,10.0,1.03,8.97
2003-11-30,10.0,1.01,8.99
2003-12-31,10.0,0.94,9.06
2004-01-31,10.0,1.03,8.97
2004-02-29,10.0,1.04,8.96
2004-03-31,10.0,1.05,8.95
2004-04-30,10.0,1.03,8.97
2004-05-31,10.0,1.02,8.98
2004-06-30,10.0,1.38,8.620000000000001
2004-07-31,10.0,1.29,8.71
2004-08-31,10.0,1.55,8.45
2004-09-30,10.0,1.94,8.06
2004-10-31,10.0,1.79,8.21
2004-11-30,10.0,2.02,7.98
2004-12-31,10.0,1.97,8.03
2005-01-31,10.0,2.5,7.5
2005-02-28,10.0,2.52,7.48
2005-03-31,10.0,2.96,7.04
2005-04-30,10.0,2.97,7.029999999999999
2005-05-31,10.0,3.09,6.91
2005-06-30,10.0,3.35,6.65
2005-07-31,10.0,3.31,6.6899999999999995
2005-08-31,10.0,3.63,6.37
2005-09-30,10.0,3.93,6.07
2005-10-31,10.0,4.02,5.98
2005-11-30,10.0,4.03,5.97
2005-12-31,10.0,4.09,5.91
2006-01-31,9.0,4.47,4.53
2006-02-28,9.0,4.52,4.48
2006-03-31,9.0,5.0,4.0
2006-04-30,9.0,4.86,4.14
2006-05-31,9.0,5.05,3.95
2006-06-30,9.0,5.05,3.95
2006-07-31,9.0,5.31,3.6900000000000004
2006-08-31,9.0,5.31,3.6900000000000004
2006-09-30,9.0,5.34,3.66
2006-10-31,9.0,5.31,3.6900000000000004
2006-11-30,9.0,5.31,3.6900000000000004
2006-12-31,9.0,5.17,3.83
2007-01-31,9.0,5.33,3.67
2007-02-28,9.0,5.41,3.59
2007-03-31,9.0,5.3,3.7
2007-04-30,9.0,5.29,3.71
2007-05-31,9.0,5.28,3.7199999999999998
2007-06-30,9.0,5.31,3.6900000000000004
2007-07-31,9.0,5.28,3.7199999999999998
2007-08-31,9.0,4.96,4.04
2007-09-30,9.0,4.58,4.42
2007-10-31,9.0,4.6,4.4
2007-11-30,9.0,4.66,4.34
2007-12-31,9.0,3.06,5.9399999999999995
2008-01-31,9.0,3.22,5.779999999999999
2008-02-29,9.0,3.01,5.99
2008-03-31,9.0,2.51,6.49
2008-04-30,9.0,2.37,6.63
2008-05-31,9.0,1.98,7.02
2008-06-30,10.0,2.47,7.529999999999999
2008-07-31,10.0,2.09,7.91
2008-08-31,11.0,1.94,9.06
2008-09-30,11.5,2.03,9.47
2008-10-31,11.5,0.22,11.28
2008-11-30,11.5,0.52,10.98
2008-12-31,11.5,0.14,11.36
2009-01-31,11.5,0.23,11.27
2009-02-28,10.5,0.22,10.28
2009-03-31,10.0,0.16,9.84
2009-04-30,10.0,0.2,9.8
2009-05-31,9.5,0.19,9.31
2009-06-30,9.0,0.22,8.78
2009-07-31,9.0,0.18,8.82
2009-08-31,8.5,0.15,8.35
2009-09-30,8.5,0.07,8.43
2009-10-31,8.5,0.11,8.39
2009-11-30,8.5,0.13,8.37
2009-12-31,8.5,0.05,8.45
2010-01-31,8.5,0.12,8.38
2010-02-28,8.5,0.13,8.37
2010-03-31,8.5,0.09,8.41
2010-04-30,8.5,0.2,8.3
2010-05-31,8.5,0.19,8.31
2010-06-30,8.5,0.09,8.41
2010-07-31,8.5,0.18,8.32
2010-08-31,8.5,0.21,8.29
2010-09-30,8.5,0.15,8.35
2010-10-31,8.5,0.2,8.3
2010-11-30,8.5,0.2,8.3
2010-12-31,8.5,0.13,8.37
2011-01-31,8.5,0.17,8.33
2011-02-28,8.5,0.16,8.34
2011-03-31,8.5,0.1,8.4
2011-04-30,8.5,0.09,8.41
2011-05-31,8.5,0.1,8.4
2011-06-30,8.5,0.07,8.43
2011-07-31,8.5,0.11,8.39
2011-08-31,8.5,0.08,8.42
2011-09-30,8.5,0.06,8.44
2011-10-31,8.5,0.09,8.41
2011-11-30,9.5,0.1,9.4
2011-12-31,9.5,0.04,9.46
2012-01-31,9.5,0.11,9.39
2012-02-29,9.5,0.1,9.4
2012-03-31,9.5,0.09,9.41
2012-04-30,9.5,0.16,9.34
2012-05-31,9.5,0.16,9.34
2012-06-30,9.5,0.09,9.41
2012-07-31,9.5,0.13,9.37
2012-08-31,9.5,0.13,9.37
2012-09-30,9.5,0.09,9.41
2012-10-31,9.5,0.18,9.32
2012-11-30,9.5,0.16,9.34
2012-12-31,9.5,0.09,9.41
2013-01-31,9.5,0.15,9.35
2013-02-28,9.5,0.14,9.36
2013-03-31,10.25,0.09,10.16
2013-04-30,10.25,0.14,10.11
2013-05-31,10.25,0.09,10.16
2013-06-30,10.25,0.07,10.18
2013-07-31,10.25,0.09,10.16
2013-08-31,9.75,0.07,9.68
2013-09-30,9.25,0.06,9.19
2013-10-31,9.25,0.07,9.18
2013-11-30,9.25,0.07,9.18
2013-12-31,8.75,0.07,8.68
2014-01-31,8.75,0.07,8.68
2014-02-28,8.75,0.06,8.69
2014-03-31,8.75,0.06,8.69
2014-04-30,8.75,0.09,8.66
2014-05-31,8.75,0.08,8.67
2014-06-30,8.75,0.09,8.66
2014-07-31,9.75,0.08,9.67
2014-08-31,9.75,0.07,9.68
2014-09-30,9.75,0.07,9.68
2014-10-31,9.75,0.07,9.68
2014-11-30,9.75,0.08,9.67
2014-12-31,9.75,0.06,9.69
2015-01-31,9.25,0.06,9.19
2015-02-28,9.25,0.06,9.19
2015-03-31,9.25,0.06,9.19
2015-04-30,9.25,0.08,9.17
2015-05-31,9.25,0.08,9.17
2015-06-30,9.25,0.08,9.17
2015-07-31,9.25,0.08,9.17
2015-08-31,9.25,0.08,9.17
2015-09-30,9.25,0.07,9.18
2015-10-31,9.25,0.07,9.18
2015-11-30,9.25,0.08,9.17
2015-12-31,9.75,0.2,9.55
2016-01-31,9.75,0.29,9.46
2016-02-29,9.75,0.29,9.46
2016-03-31,11.25,0.25,11.0
2016-04-30,11.25,0.3,10.95
2016-05-31,11.25,0.29,10.96
2016-06-30,12.25,0.3,11.95
2016-07-31,12.25,0.3,11.95
2016-08-31,12.25,0.3,11.95
2016-09-30,12.25,0.29,11.96
2016-10-31,12.25,0.31,11.94
2016-11-30,15.25,0.31,14.94
2016-12-31,15.25,0.55,14.7
2017-01-31,15.25,0.56,14.69
2017-02-28,15.25,0.57,14.68
2017-03-31,15.25,0.82,14.43
2017-04-30,15.25,0.83,14.42
2017-05-31,17.25,0.83,16.42
2017-06-30,17.25,1.16,16.09
2017-07-31,19.25,1.07,18.18
2017-08-31,19.25,1.07,18.18
2017-09-30,19.25,1.06,18.19
2017-10-31,19.25,1.07,18.18
2017-11-30,19.25,1.07,18.18
2017-12-31,19.25,1.33,17.92
2018-01-31,19.25,1.34,17.91
2018-02-28,18.25,1.35,16.9
2018-03-31,18.25,1.67,16.58
2018-04-30,17.25,1.69,15.56
2018-05-31,17.25,1.7,15.55
2018-06-30,17.25,1.91,15.34
2018-07-31,17.25,1.91,15.34
2018-08-31,17.25,1.91,15.34
2018-09-30,17.25,2.18,15.07
2018-10-31,17.25,2.2,15.05
2018-11-30,17.25,2.2,15.05
2018-12-31,17.25,2.4,14.85
2019-01-31,17.25,2.4,14.85
2019-02-28,16.25,2.4,13.85
2019-03-31,16.25,2.43,13.82
2019-04-30,16.25,2.45,13.8
2019-05-31,16.25,2.4,13.85
2019-06-30,16.25,2.4,13.85
2019-07-31,16.25,2.4,13.85
2019-08-31,14.75,2.13,12.620000000000001
2019-09-30,13.75,1.9,11.85
2019-10-31,13.75,1.58,12.17
