Date,Policy Rate,Federal Funds Rate,Rate Difference
1998-01-31,23.5,5.48,18.02
1998-02-28,24.0,5.67,18.33
1998-03-31,24.0,5.88,18.12
1998-04-30,23.0,5.59,17.41
1998-05-31,21.5,5.63,15.870000000000001
1998-06-30,21.5,7.06,14.440000000000001
1998-07-31,19.0,5.63,13.370000000000001
1998-08-31,19.0,5.89,13.11
1998-09-30,18.0,6.14,11.86
1998-10-31,17.0,5.35,11.65
1998-11-30,17.0,5.11,11.89
1998-12-31,15.5,4.07,11.43
1999-01-31,13.0,4.79,8.21
1999-02-28,13.0,4.84,8.16
1999-03-31,13.0,4.98,8.02
1999-04-30,13.0,5.03,7.97
1999-05-31,13.0,4.61,8.39
1999-06-30,13.0,5.12,7.88
1999-07-31,13.0,5.07,7.93
1999-08-31,13.0,5.57,7.43
1999-09-30,14.0,5.51,8.49
1999-10-31,14.0,5.27,8.73
1999-11-30,16.5,5.63,10.870000000000001
1999-12-31,16.5,3.99,12.51
2000-01-31,16.5,5.87,10.629999999999999
2000-02-29,17.5,5.85,11.65
2000-03-31,17.5,6.17,11.33
2000-04-30,17.5,6.06,11.440000000000001
2000-05-31,17.5,6.83,10.67
2000-06-30,17.5,6.86,10.64
2000-07-31,17.5,6.64,10.86
2000-08-31,19.0,6.65,12.35
2000-09-30,19.0,6.6,12.4
2000-10-31,19.0,6.59,12.41
2000-11-30,19.0,6.62,12.379999999999999
2000-12-31,19.0,5.41,13.59
2001-01-31,19.0,5.74,13.26
2001-02-28,19.0,5.59,13.41
2001-03-31,17.0,5.29,11.71
2001-04-30,17.0,4.67,12.33
2001-05-31,17.0,4.24,12.76
2001-06-30,15.5,3.95,11.55
2001-07-31,15.5,3.82,11.68
2001-08-31,14.5,3.66,10.84
2001-09-30,14.5,2.75,11.75
2001-10-31,13.0,2.66,10.34
2001-11-30,11.5,2.06,9.44
2001-12-31,11.5,1.52,9.98
2002-01-31,10.0,1.85,8.15
2002-02-28,10.0,1.83,8.17
2002-03-31,10.0,1.74,8.26
2002-04-30,9.5,1.82,7.68
2002-05-31,9.0,1.79,7.21
2002-06-30,8.5,1.73,6.77
2002-07-31,8.5,1.76,6.74
2002-08-31,8.0,1.81,6.1899999999999995
2002-09-30,7.5,1.85,5.65
2002-10-31,7.0,1.82,5.18
2002-11-30,6.75,1.23,5.52
2002-12-31,6.75,1.16,5.59
2003-01-31,6.5,1.33,5.17
2003-02-28,6.25,1.33,4.92
2003-03-31,6.0,1.38,4.62
2003-04-30,5.75,1.31,4.4399999999999995
2003-05-31,5.5,1.28,4.22
2003-06-30,5.25,1.45,3.8
2003-07-31,5.25,1.04,4.21
2003-08-31,5.25,1.01,4.24
2003-09-30,5.25,1.17,4.08
2003-10-31,5.25,1.03,4.22
2003-11-30,5.25,1.01,4.24
2003-12-31,5.25,0.94,4.3100000000000005
2004-01-31,5.25,1.03,4.22
2004-02-29,5.25,1.04,4.21
2004-03-31,5.25,1.05,4.2
2004-04-30,5.25,1.03,4.22
2004-05-31,5.25,1.02,4.23
2004-06-30,5.25,1.38,3.87
2004-07-31,6.0,1.29,4.71
2004-08-31,6.5,1.55,4.95
2004-09-30,6.5,1.94,4.5600000000000005
2004-10-31,6.5,1.79,4.71
2004-11-30,6.5,2.02,4.48
2004-12-31,6.5,1.97,4.53
2005-01-31,6.5,2.5,4.0
2005-02-28,6.5,2.52,3.98
2005-03-31,6.0,2.96,3.04
2005-04-30,5.5,2.97,2.53
2005-05-31,5.5,3.09,2.41
2005-06-30,5.0,3.35,1.65
2005-07-31,4.75,3.31,1.44
2005-08-31,4.75,3.63,1.12
2005-09-30,4.5,3.93,0.5699999999999998
2005-10-31,4.5,4.02,0.4800000000000004
2005-11-30,4.5,4.03,0.46999999999999975
2005-12-31,4.5,4.09,0.41000000000000014
2006-01-31,4.5,4.47,0.03000000000000025
2006-02-28,4.25,4.52,-0.2699999999999996
2006-03-31,4.0,5.0,-1.0
2006-04-30,4.0,4.86,-0.8600000000000003
2006-05-31,4.0,5.05,-1.0499999999999998
2006-06-30,4.0,5.05,-1.0499999999999998
2006-07-31,4.0,5.31,-1.3099999999999996
2006-08-31,4.0,5.31,-1.3099999999999996
2006-09-30,4.0,5.34,-1.3399999999999999
2006-10-31,4.0,5.31,-1.3099999999999996
2006-11-30,4.0,5.31,-1.3099999999999996
2006-12-31,4.0,5.17,-1.17
2007-01-31,4.0,5.33,-1.33
2007-02-28,4.0,5.41,-1.4100000000000001
2007-03-31,4.0,5.3,-1.2999999999999998
2007-04-30,4.25,5.29,-1.04
2007-05-31,4.25,5.28,-1.0300000000000002
2007-06-30,4.5,5.31,-0.8099999999999996
2007-07-31,4.5,5.28,-0.7800000000000002
2007-08-31,4.75,4.96,-0.20999999999999996
2007-09-30,4.75,4.58,0.16999999999999993
2007-10-31,4.75,4.6,0.15000000000000036
2007-11-30,5.0,4.66,0.33999999999999986
2007-12-31,5.0,3.06,1.94
2008-01-31,5.25,3.22,2.03
2008-02-29,5.5,3.01,2.49
2008-03-31,5.75,2.51,3.24
2008-04-30,5.75,2.37,3.38
2008-05-31,5.75,1.98,3.77
2008-06-30,6.0,2.47,3.53
2008-07-31,6.0,2.09,3.91
2008-08-31,6.0,1.94,4.0600000000000005
2008-09-30,6.0,2.03,3.97
2008-10-31,6.0,0.22,5.78
2008-11-30,5.75,0.52,5.23
2008-12-31,5.0,0.14,4.86
2009-01-31,4.25,0.23,4.02
2009-02-28,4.0,0.22,3.78
2009-03-31,3.75,0.16,3.59
2009-04-30,3.75,0.2,3.55
2009-05-31,3.75,0.19,3.56
2009-06-30,3.5,0.22,3.28
2009-07-31,3.5,0.18,3.32
2009-08-31,3.5,0.15,3.35
2009-09-30,3.5,0.07,3.43
2009-10-31,3.5,0.11,3.39
2009-11-30,3.5,0.13,3.37
2009-12-31,3.5,0.05,3.45
2010-01-31,3.5,0.12,3.38
2010-02-28,3.5,0.13,3.37
2010-03-31,3.5,0.09,3.41
2010-04-30,3.5,0.2,3.3
2010-05-31,3.5,0.19,3.31
2010-06-30,3.5,0.09,3.41
2010-07-31,3.5,0.18,3.32
2010-08-31,3.5,0.21,3.29
2010-09-30,3.5,0.15,3.35
2010-10-31,3.5,0.2,3.3
2010-11-30,3.5,0.2,3.3
2010-12-31,3.5,0.13,3.37
2011-01-31,3.75,0.17,3.58
2011-02-28,3.75,0.16,3.59
2011-03-31,3.75,0.1,3.65
2011-04-30,4.0,0.09,3.91
2011-05-31,4.25,0.1,4.15
2011-06-30,4.5,0.07,4.43
2011-07-31,4.5,0.11,4.39
2011-08-31,4.5,0.08,4.42
2011-09-30,4.5,0.06,4.44
2011-10-31,4.5,0.09,4.41
2011-11-30,4.5,0.1,4.4
2011-12-31,4.5,0.04,4.46
2012-01-31,4.5,0.11,4.39
2012-02-29,4.5,0.1,4.4
2012-03-31,4.5,0.09,4.41
2012-04-30,4.5,0.16,4.34
2012-05-31,4.75,0.16,4.59
2012-06-30,4.75,0.09,4.66
2012-07-31,4.75,0.13,4.62
2012-08-31,4.75,0.13,4.62
2012-09-30,4.75,0.09,4.66
2012-10-31,4.75,0.18,4.57
2012-11-30,4.5,0.16,4.34
2012-12-31,4.25,0.09,4.16
2013-01-31,4.0,0.15,3.85
2013-02-28,3.75,0.14,3.61
2013-03-31,3.25,0.09,3.16
2013-04-30,3.25,0.14,3.11
2013-05-31,3.0,0.09,2.91
2013-06-30,2.75,0.07,2.68
2013-07-31,2.5,0.09,2.41
2013-08-31,2.5,0.07,2.43
2013-09-30,2.5,0.06,2.44
2013-10-31,2.5,0.07,2.43
2013-11-30,2.5,0.07,2.43
2013-12-31,2.5,0.07,2.43
2014-01-31,2.5,0.07,2.43
2014-02-28,2.5,0.06,2.44
2014-03-31,2.5,0.06,2.44
2014-04-30,2.5,0.09,2.41
2014-05-31,2.5,0.08,2.42
2014-06-30,2.5,0.09,2.41
2014-07-31,2.5,0.08,2.42
2014-08-31,2.5,0.07,2.43
2014-09-30,2.5,0.07,2.43
2014-10-31,2.0,0.07,1.93
2014-11-30,2.0,0.08,1.92
2014-12-31,2.0,0.06,1.94
2015-01-31,2.0,0.06,1.94
2015-02-28,2.0,0.06,1.94
