Date,Policy Rate
01/1995,25.0
01/1996,28.0
01/1997,22.73913043478261
01/1998,20.5
01/1999,17.0
01/2000,13.928571428571429
01/2001,11.0
01/2002,9.380434782608695
01/2003,7.454545454545454
01/2004,12.5
01/2005,9.380952380952381
01/2006,6.0
01/2007,8.0
01/2008,7.5
01/2009,9.775
01/2010,6.2
01/2011,5.809523809523809
01/2012,7.0
01/2013,5.728260869565218
01/2014,2.9454545454545453
01/2015,2.1
01/2016,1.35
01/2017,0.9
01/2018,0.9
01/2019,0.9
01/2020,0.9
01/2021,0.6
01/2022,2.4952380952380953
01/2023,13.0
02/1995,28.0
02/1996,27.0
02/1997,22.5
02/1998,20.0
02/1999,16.0
02/2000,13.0
02/2001,11.0
02/2002,8.8
02/2003,6.5
02/2004,12.5
02/2005,8.8125
02/2006,6.0
02/2007,8.0
02/2008,7.5
02/2009,9.5
02/2010,5.95
02/2011,6.0
02/2012,7.0
02/2013,5.475
02/2014,2.79
02/2015,2.1
02/2016,1.35
02/2017,0.9
02/2018,0.9
02/2019,0.9
02/2020,0.9
02/2021,0.6
02/2022,3.0
02/2023,13.0
03/1995,28.0
03/1996,27.0
03/1997,21.5
03/1998,20.0
03/1999,16.0
03/2000,12.0
03/2001,11.0
03/2002,8.5
03/2003,6.5
03/2004,12.420454545454545
03/2005,8.2
03/2006,6.0
03/2007,8.0
03/2008,7.5
03/2009,9.5
03/2010,5.7272727272727275
03/2011,6.0
03/2012,7.0
03/2013,5.214285714285714
03/2014,2.680952380952381
03/2015,2.065909090909091
03/2016,1.3
03/2017,0.9
03/2018,0.9
03/2019,0.9000000000000001
03/2020,0.9
03/2021,0.6
03/2022,3.7636363636363637
03/2023,13.0
04/1995,28.0
04/1996,27.0
04/1997,21.5
04/1998,19.613636363636363
04/1999,16.0
04/2000,11.0
04/2001,11.0
04/2002,8.5
04/2003,6.5
04/2004,12.035714285714286
04/2005,7.7023809523809526
04/2006,6.0
04/2007,8.0
04/2008,8.021739130434783
04/2009,9.5
04/2010,5.4523809523809526
04/2011,6.0
04/2012,7.0
04/2013,4.940476190476191
04/2014,2.5954545454545457
04/2015,1.9
04/2016,1.1785714285714286
04/2017,0.9
04/2018,0.9
04/2019,0.9
04/2020,0.9
04/2021,0.6
04/2022,4.557894736842106
04/2023,13.0
05/1995,28.0
05/1996,26.0
05/1997,21.5
05/1998,19.5
05/1999,16.0
05/2000,11.0
05/2001,11.0
05/2002,8.673913043478262
05/2003,6.5
05/2004,11.525
05/2005,7.428571428571429
05/2006,6.0
05/2007,8.0
05/2008,8.302631578947368
05/2009,9.5
05/2010,5.25
05/2011,6.0
05/2012,7.0
05/2013,4.715909090909091
05/2014,2.4863636363636363
