Date,Policy Rate
1995-01-31,31.0
1995-02-28,31.857142857142858
1995-03-31,34.0
1995-04-30,34.0
1995-05-31,33.61290322580645
1995-06-30,30.0
1995-07-31,30.0
1995-08-31,30.0
1995-09-30,29.133333333333333
1995-10-31,28.0
1995-11-30,28.0
1995-12-31,28.0
1996-01-31,26.451612903225808
1996-02-29,26.0
1996-03-31,26.0
1996-04-30,26.0
1996-05-31,26.0
1996-06-30,26.0
1996-07-31,25.516129032258064
1996-08-31,25.0
1996-09-30,25.0
1996-10-31,25.0
1996-11-30,25.0
1996-12-31,25.0
1997-01-31,25.0
1997-02-28,25.0
1997-03-31,25.0
1997-04-30,25.0
1997-05-31,25.0
1997-06-30,25.0
1997-07-31,25.0
1997-08-31,26.806451612903224
1997-09-30,27.0
1997-10-31,27.0
1997-11-30,27.0
1997-12-31,27.0
1998-01-31,27.0
1998-02-28,26.77777777777778
1998-03-31,24.0
1998-04-30,23.714285714285715
1998-05-31,22.475
1998-06-30,21.5
1998-07-31,20.304347826086957
1998-08-31,19.0
1998-09-30,18.318181818181817
1998-10-31,17.90909090909091
1998-11-30,17.0
1998-12-31,15.977272727272727
1999-01-31,14.625
1999-02-28,13.0
1999-03-31,13.0
1999-04-30,13.0
1999-05-31,13.0
1999-06-30,13.0
1999-07-31,13.0
1999-08-31,13.0
1999-09-30,13.272727272727273
1999-10-31,14.0
1999-11-30,15.125
1999-12-31,16.5
2000-01-31,16.5
2000-02-29,16.69047619047619
2000-03-31,17.5
2000-04-30,17.5
2000-05-31,17.5
2000-06-30,17.5
2000-07-31,17.5
2000-08-31,17.568181818181817
2000-09-30,19.0
2000-10-31,19.0
2000-11-30,19.0
2000-12-31,19.0
2001-01-31,19.0
2001-02-28,19.0
2001-03-31,17.90909090909091
2001-04-30,17.0
2001-05-31,17.0
2001-06-30,16.85
2001-07-31,15.5
2001-08-31,15.181818181818182
2001-09-30,14.5
2001-10-31,14.23913043478261
2001-11-30,12.857142857142858
2001-12-31,11.5
2002-01-31,11.431818181818182
2002-02-28,10.0
2002-03-31,10.0
2002-04-30,9.928571428571429
2002-05-31,9.475
2002-06-30,8.95
2002-07-31,8.5
2002-08-31,8.452380952380953
2002-09-30,7.928571428571429
2002-10-31,7.369565217391305
2002-11-30,6.973684210526316
2002-12-31,6.75
2003-01-31,6.7272727272727275
2003-02-28,6.475
2003-03-31,6.214285714285714
2003-04-30,5.9523809523809526
2003-05-31,5.726190476190476
2003-06-30,5.4625
2003-07-31,5.25
2003-08-31,5.25
2003-09-30,5.25
2003-10-31,5.25
2003-11-30,5.25
2003-12-31,5.25
2004-01-31,5.25
2004-02-29,5.25
2004-03-31,5.25
2004-04-30,5.25
2004-05-31,5.25
2004-06-30,5.25
2004-07-31,5.7727272727272725
2004-08-31,6.090909090909091
2004-09-30,6.5
2004-10-31,6.5
2004-11-30,6.5
2004-12-31,6.5
2005-01-31,6.5
2005-02-28,6.5
2005-03-31,6.4772727272727275
2005-04-30,5.9523809523809526
2005-05-31,5.5
2005-06-30,5.4772727272727275
2005-07-31,4.976190476190476
2005-08-31,4.75
2005-09-30,4.5
2005-10-31,4.5
2005-11-30,4.5
2005-12-31,4.5
2006-01-31,4.5
2006-02-28,4.25
2006-03-31,4.0
2006-04-30,4.0
2006-05-31,4.0
2006-06-30,4.0
2006-07-31,4.0
2006-08-31,4.0
2006-09-30,4.0
2006-10-31,4.0
2006-11-30,4.0
2006-12-31,4.0
2007-01-31,4.0
2007-02-28,4.0
2007-03-31,4.0
2007-04-30,4.0375
2007-05-31,4.25
2007-06-30,4.275
2007-07-31,4.5
2007-08-31,4.5227272727272725
2007-09-30,4.75
2007-10-31,4.75
2007-11-30,4.773809523809524
2007-12-31,5.0
2008-01-31,5.011363636363637
2008-02-29,5.273809523809524
2008-03-31,5.5375
2008-04-30,5.75
2008-05-31,5.75
2008-06-30,5.785714285714286
2008-07-31,6.0
2008-08-31,6.0
2008-09-30,6.0
2008-10-31,6.0
2008-11-30,5.973684210526316
2008-12-31,5.607142857142857
2009-01-31,4.892857142857143
2009-02-28,4.225
2009-03-31,3.9545454545454546
2009-04-30,3.75
2009-05-31,3.75
2009-06-30,3.7023809523809526
2009-07-31,3.5
2009-08-31,3.5
2009-09-30,3.5
2009-10-31,3.5
2009-11-30,3.5
2009-12-31,3.5
2010-01-31,3.5
2010-02-28,3.5
2010-03-31,3.5
2010-04-30,3.5
2010-05-31,3.5
2010-06-30,3.5
2010-07-31,3.5
2010-08-31,3.5
2010-09-30,3.5
2010-10-31,3.5
2010-11-30,3.5
2010-12-31,3.5
2011-01-31,3.5952380952380953
2011-02-28,3.75
2011-03-31,3.75
2011-04-30,3.9625
2011-05-31,4.166666666666667
2011-06-30,4.428571428571429
2011-07-31,4.5
2011-08-31,4.5
2011-09-30,4.5
2011-10-31,4.5
2011-11-30,4.5
2011-12-31,4.5
2012-01-31,4.5
2012-02-29,4.5
2012-03-31,4.5
2012-04-30,4.5
2012-05-31,4.690476190476191
2012-06-30,4.75
2012-07-31,4.75
2012-08-31,4.75
2012-09-30,4.75
2012-10-31,4.75
2012-11-30,4.5476190476190474
2012-12-31,4.2894736842105265
2013-01-31,4.068181818181818
2013-02-28,3.8
2013-03-31,3.3452380952380953
2013-04-30,3.25
2013-05-31,3.05
2013-06-30,2.7875
2013-07-31,2.532608695652174
2013-08-31,2.5
2013-09-30,2.5
2013-10-31,2.5
2013-11-30,2.5
2013-12-31,2.5
2014-01-31,2.5
2014-02-28,2.5
2014-03-31,2.5
2014-04-30,2.5
2014-05-31,2.5
2014-06-30,2.5
2014-07-31,2.5
2014-08-31,2.5
2014-09-30,2.5
2014-10-31,2.130434782608696
2014-11-30,2.0
2014-12-31,2.0
2015-01-31,2.0
2015-02-28,2.0
2015-03-31,1.5681818181818181
2015-04-30,1.5
2015-05-31,1.5
2015-06-30,1.5
2015-07-31,1.5
2015-08-31,1.5
2015-09-30,1.5
2015-10-31,1.5
2015-11-30,1.5
2015-12-31,1.5
2016-01-31,1.5
2016-02-29,1.5
2016-03-31,1.5
2016-04-30,1.5
2016-05-31,1.5
2016-06-30,1.5
2016-07-31,1.5
2016-08-31,1.5
2016-09-30,1.5
2016-10-31,1.5
2016-11-30,1.5
2016-12-31,1.5
2017-01-31,1.5
2017-02-28,1.5
2017-03-31,1.5
2017-04-30,1.5
2017-05-31,1.5
2017-06-30,1.5
2017-07-31,1.5
2017-08-31,1.5
2017-09-30,1.5
2017-10-31,1.5
2017-11-30,1.5
2017-12-31,1.5
2018-01-31,1.5
2018-02-28,1.5
2018-03-31,1.5
2018-04-30,1.5
2018-05-31,1.5
2018-06-30,1.5
2018-07-31,1.5
2018-08-31,1.5
2018-09-30,1.5
2018-10-31,1.5
2018-11-30,1.5
2018-12-31,1.5
2019-01-31,1.5
2019-02-28,1.5
2019-03-31,1.5
2019-04-30,1.5
2019-05-31,1.5
2019-06-30,1.5
2019-07-31,1.5
2019-08-31,1.5
2019-09-30,1.5
2019-10-31,1.5
2019-11-30,1.5
2019-12-31,1.5
2020-01-31,1.5
2020-02-29,1.5
2020-03-31,1.2727272727272727
2020-04-30,0.6428571428571429
2020-05-31,0.48
2020-06-30,0.1
2020-07-31,0.1
2020-08-31,0.1
2020-09-30,0.1
2020-10-31,0.1
2020-11-30,0.1
2020-12-31,0.1
2021-01-31,0.1
2021-02-28,0.1
2021-03-31,0.1
2021-04-30,0.1
2021-05-31,0.1
2021-06-30,0.1
2021-07-31,0.1
2021-08-31,0.1
2021-09-30,0.1
2021-10-31,0.4238095238095238
2021-11-30,1.175
2021-12-31,1.6195652173913044
2022-01-31,2.2
2022-02-28,2.6
2022-03-31,3.3043478260869565
2022-04-30,4.3
2022-05-31,5.142857142857143
2022-06-30,5.785714285714286
2022-07-31,6.380952380952381
2022-08-31,6.5
2022-09-30,6.693181818181818
2022-10-31,6.75
2022-11-30,6.75
2022-12-31,6.75
2023-01-31,6.75
2023-02-28,6.75
2023-03-31,6.75
2023-04-30,6.75
2023-05-31,6.75
2023-06-30,6.75
2023-07-31,6.75
2023-08-31,6.75
2023-09-30,6.142857142857143
