Date,Policy Rate
01/2003,19.75
01/2004,21.25
01/2005,16.738095238095237
01/2006,7.5
01/2007,8.75
01/2008,7.928571428571429
01/2009,10.25
01/2010,7.55
01/2011,6.25
01/2012,5.775
01/2013,5.25
01/2014,3.7976190476190474
01/2015,2.5375
01/2016,1.75
01/2017,1.75
01/2018,1.95
01/2019,2.5
01/2020,2.5
01/2021,1.375
01/2022,1.925
01/2023,6.925
02/2003,19.1125
02/2004,21.25
02/2005,16.0875
02/2006,8.2
02/2007,8.2625
02/2008,8.952380952380953
02/2009,10.0375
02/2010,7.075
02/2011,6.25
02/2012,5.523809523809524
02/2013,5.25
02/2014,3.525
02/2015,2.2875
02/2016,1.75
02/2017,1.75
02/2018,2.1875
02/2019,2.5
02/2020,2.5
02/2021,1.25
02/2022,2.325
02/2023,7.0
03/2003,18.904761904761905
03/2004,21.25
03/2005,14.98913043478261
03/2006,8.5
03/2007,7.909090909090909
03/2008,9.095238095238095
03/2009,10.0
03/2010,6.956521739130435
03/2011,6.25
03/2012,5.488636363636363
03/2013,5.25
03/2014,3.5
03/2015,2.25
03/2016,1.75
03/2017,1.75
03/2018,2.25
03/2019,2.5
03/2020,2.340909090909091
03/2021,1.25
03/2022,2.5
03/2023,7.0
04/2003,18.5
04/2004,21.25
04/2005,13.071428571428571
04/2006,8.5
04/2007,7.5
04/2008,9.5
04/2009,10.0
04/2010,6.5
04/2011,6.25
04/2012,5.25
04/2013,5.25
04/2014,3.5
04/2015,2.0
04/2016,1.75
04/2017,1.75
04/2018,2.25
04/2019,2.5
04/2020,2.0
04/2021,1.25
04/2022,2.9210526315789473
04/2023,7.0
05/2003,18.297619047619047
05/2004,21.25
05/2005,12.5
05/2006,8.5
05/2007,7.261363636363637
05/2008,9.714285714285714
05/2009,9.575
05/2010,6.275
05/2011,6.25
05/2012,5.25
05/2013,5.25
05/2014,3.5
05/2015,1.7875
05/2016,1.75
05/2017,1.75
05/2018,2.4523809523809526
05/2019,2.5
05/2020,2.0
05/2021,1.25
05/2022,3.5113636363636362
05/2023,7.0
06/2003,18.25
06/2004,20.84090909090909
06/2005,12.5
06/2006,8.534090909090908
06/2007,7.2023809523809526
06/2008,9.773809523809524
06/2009,9.5
06/2010,6.25
06/2011,6.25
06/2012,5.25
06/2013,5.25
06/2014,3.5
06/2015,1.75
06/2016,1.75
06/2017,1.75
06/2018,2.5
06/2019,2.5
06/2020,1.75
06/2021,1.25
06/2022,3.75
06/2023,7.0
07/2003,18.25
07/2004,20.238636363636363
07/2005,12.5
07/2006,8.75
07/2007,7.0
07/2008,10.0
07/2009,9.0
07/2010,6.25
07/2011,6.25
07/2012,5.25
07/2013,5.010869565217392
07/2014,3.5
07/2015,1.75
07/2016,1.75
07/2017,1.75
07/2018,2.5
07/2019,2.5
07/2020,1.75
07/2021,1.25
07/2022,4.559523809523809
07/2023,7.0
08/2003,19.05952380952381
08/2004,19.28409090909091
08/2005,9.543478260869565
08/2006,8.75
08/2007,7.0
08/2008,10.25
08/2009,8.547619047619047
08/2010,6.25
08/2011,6.25
08/2012,5.25
08/2013,4.571428571428571
08/2014,3.275
08/2015,1.75
08/2016,1.75
08/2017,1.75
08/2018,2.5
08/2019,2.5
08/2020,1.5357142857142858
08/2021,1.25
08/2022,5.329545454545454
08/2023,7.0
09/2003,19.25
09/2004,18.75
09/2005,8.181818181818182
09/2006,8.75
09/2007,7.0
09/2008,10.25
09/2009,8.477272727272727
09/2010,6.25
09/2011,6.25
09/2012,5.25
09/2013,4.5
09/2014,3.25
09/2015,1.75
09/2016,1.75
09/2017,1.75
09/2018,2.5
09/2019,2.5
09/2020,1.5
09/2021,1.25
09/2022,5.5
09/2023,7.0
10/2003,20.206521739130434
10/2004,18.75
10/2005,7.5
10/2006,8.75
10/2007,7.0
10/2008,10.25
10/2009,8.0
10/2010,6.25
10/2011,6.25
10/2012,5.25
10/2013,4.25
10/2014,3.0
10/2015,1.75
10/2016,1.75
10/2017,1.75
10/2018,2.5
10/2019,2.5
10/2020,1.5
10/2021,1.4642857142857142
10/2022,6.142857142857143
11/2003,20.6
11/2004,18.113636363636363
11/2005,7.5
11/2006,8.75
11/2007,7.5
11/2008,10.25
11/2009,8.0
11/2010,6.25
11/2011,6.0227272727272725
11/2012,5.25
11/2013,4.035714285714286
11/2014,2.775
11/2015,1.75
11/2016,1.75
11/2017,1.75
11/2018,2.5
11/2019,2.5
11/2020,1.5
11/2021,1.6666666666666667
11/2022,6.607142857142857
12/2003,21.25
12/2004,17.40909090909091
12/2005,7.5
12/2006,8.75
12/2007,7.5
12/2008,10.25
12/2009,8.0
12/2010,6.25
12/2011,6.0
12/2012,5.25
12/2013,4.0
12/2014,2.75
12/2015,1.75
12/2016,1.75
12/2017,1.75
12/2018,2.5
12/2019,2.5
12/2020,1.5
12/2021,1.75
12/2022,6.75
