Date,Policy Rate
10/2005,9.0
11/2005,9.0
12/2005,8.75
01/2006,8.25
02/2006,8.25
03/2006,8.25
04/2006,8.0
05/2006,8.0
06/2006,8.0
07/2006,8.0
08/2006,8.0
09/2006,8.0
10/2006,8.0
11/2006,8.5
12/2006,8.75
01/2007,8.75
02/2007,8.75
03/2007,8.75
04/2007,8.75
05/2007,8.75
06/2007,8.75
07/2007,8.75
08/2007,8.75
09/2007,8.75
10/2007,8.75
11/2007,8.75
12/2007,8.75
01/2008,8.75
02/2008,9.0
03/2008,9.5
04/2008,9.5
05/2008,10.0
06/2008,10.5
07/2008,10.5
08/2008,11.0
09/2008,11.5
10/2008,11.5
11/2008,11.5
12/2008,11.5
01/2009,11.5
02/2009,10.5
03/2009,10.0
04/2009,10.0
05/2009,9.5
06/2009,9.0
07/2009,9.0
08/2009,8.5
09/2009,8.25
10/2009,8.25
11/2009,8.25
12/2009,8.25
01/2010,8.25
02/2010,8.25
03/2010,8.25
04/2010,8.25
05/2010,8.25
06/2010,8.25
07/2010,8.25
08/2010,8.25
09/2010,8.25
10/2010,8.25
11/2010,8.25
12/2010,8.25
01/2011,8.25
02/2011,8.25
03/2011,8.25
04/2011,8.25
05/2011,8.25
06/2011,8.25
07/2011,8.25
08/2011,8.25
09/2011,8.25
10/2011,8.25
11/2011,9.25
12/2011,9.25
01/2012,9.25
02/2012,9.25
03/2012,9.25
04/2012,9.25
05/2012,9.25
06/2012,9.25
07/2012,9.25
08/2012,9.25
09/2012,9.25
10/2012,9.25
11/2012,9.25
12/2012,9.25
01/2013,9.25
02/2013,9.25
03/2013,9.75
04/2013,9.75
05/2013,9.75
06/2013,9.75
07/2013,9.75
08/2013,9.25
09/2013,8.75
10/2013,8.75
11/2013,8.75
12/2013,8.25
01/2014,8.25
02/2014,8.25
03/2014,8.25
04/2014,8.25
05/2014,8.25
06/2014,8.25
07/2014,9.25
08/2014,9.25
09/2014,9.25
10/2014,9.25
11/2014,9.25
12/2014,9.25
01/2015,8.75
02/2015,8.75
03/2015,8.75
04/2015,8.75
05/2015,8.75
06/2015,8.75
07/2015,8.75
08/2015,8.75
09/2015,8.75
10/2015,8.75
11/2015,8.75
12/2015,9.25
01/2016,9.25
02/2016,9.25
03/2016,10.75
04/2016,10.75
05/2016,10.75
06/2016,11.75
07/2016,11.75
08/2016,11.75
09/2016,11.75
10/2016,11.75
11/2016,14.75
12/2016,14.75
01/2017,14.75
02/2017,14.75
03/2017,14.75
04/2017,14.75
05/2017,16.75
06/2017,16.75
07/2017,18.75
08/2017,18.75
09/2017,18.75
10/2017,18.75
11/2017,18.75
12/2017,18.75
01/2018,18.75
02/2018,17.75
03/2018,16.75
04/2018,16.75
05/2018,16.75
06/2018,16.75
07/2018,16.75
08/2018,16.75
09/2018,16.75
10/2018,16.75
11/2018,16.75
12/2018,16.75
01/2019,16.75
02/2019,15.75
03/2019,15.75
04/2019,15.75
05/2019,15.75
06/2019,15.75
07/2019,15.75
08/2019,14.25
09/2019,13.25
10/2019,13.25
11/2019,12.25
12/2019,12.25
01/2020,12.25
02/2020,12.25
03/2020,9.25
04/2020,9.25
05/2020,9.25
06/2020,9.25
07/2020,9.25
08/2020,9.25
09/2020,8.75
10/2020,8.75
11/2020,8.25
12/2020,8.25
01/2021,8.25
02/2021,8.25
03/2021,8.25
04/2021,8.25
05/2021,8.25
06/2021,8.25
07/2021,8.25
08/2021,8.25
09/2021,8.25
10/2021,8.25
11/2021,8.25
12/2021,8.25
01/2022,8.25
02/2022,8.25
03/2022,9.25
04/2022,9.25
05/2022,11.25
06/2022,11.25
07/2022,11.25
08/2022,11.25
09/2022,11.25
10/2022,13.25
11/2022,13.25
12/2022,16.25
01/2023,16.25
02/2023,16.25
03/2023,16.25
04/2023,18.25
05/2023,18.25
06/2023,18.25
07/2023,18.25
08/2023,19.25
09/2023,19.25
