Date,Policy Rate
1991-01-31,17.0
1991-02-28,18.2
1991-03-31,20.0
1991-04-30,20.0
1991-05-31,20.6
1991-06-30,21.0
1991-07-31,21.5
1991-08-31,21.3
1991-09-30,21.3
1991-10-31,21.4
1991-11-30,21.2
1991-12-31,20.0
1992-01-31,20.7
1992-02-29,20.4
1992-03-31,20.0
1992-04-30,19.8
1992-05-31,19.8
1992-06-30,19.8
1992-07-31,19.5
1992-08-31,19.1
1992-09-30,19.1
1992-10-31,18.7
1992-11-30,18.7
1992-12-31,18.4
1993-01-31,18.4
1993-02-28,18.0
1993-03-31,18.0
1993-04-30,17.8
1993-05-31,17.0
1993-06-30,17.0
1993-07-31,16.5
1993-08-31,16.7
1993-09-30,16.9
1993-10-31,16.9
1993-11-30,16.9
1993-12-31,16.5
1994-01-31,16.25
1994-02-28,16.25
1994-03-31,16.0
1994-04-30,15.75
1994-05-31,15.5
1994-06-30,15.25
1994-07-31,15.0
1994-08-31,14.5
1994-09-30,14.5
1994-10-31,14.25
1994-11-30,14.0
1994-12-31,14.0
1995-01-31,14.0
1995-02-28,14.0
1995-03-31,14.0
1995-04-30,14.0
1995-05-31,14.0
1995-06-30,14.0
1995-07-31,14.0
1995-08-31,14.0
1995-09-30,14.0
1995-10-31,14.0
1995-11-30,13.5
1995-12-31,13.5
1996-01-31,13.5
1996-02-29,13.5
1996-03-31,13.5
1996-04-30,13.5
1996-05-31,13.5
1996-06-30,13.5
1996-07-31,13.5
1996-08-31,13.5
1996-09-30,13.5
1996-10-31,13.5
1996-11-30,13.25
1996-12-31,13.0
1997-01-31,13.0
1997-02-28,13.0
1997-03-31,12.75
1997-04-30,12.75
1997-05-31,12.25
1997-06-30,12.25
1997-07-31,12.25
1997-08-31,12.25
1997-09-30,12.25
1997-10-31,12.25
1997-11-30,12.25
1997-12-31,12.25
1998-01-31,12.25
1998-02-28,12.25
1998-03-31,12.25
1998-04-30,12.25
1998-05-31,12.25
1998-06-30,12.25
1998-07-31,12.25
1998-08-31,12.25
1998-09-30,12.25
1998-10-31,12.25
1998-11-30,12.25
1998-12-31,12.0
1999-01-31,12.0
1999-02-28,12.0
1999-03-31,12.0
1999-04-30,12.0
1999-05-31,12.0
1999-06-30,12.0
1999-07-31,12.0
1999-08-31,12.0
1999-09-30,12.0
1999-10-31,12.0
1999-11-30,12.0
1999-12-31,12.0
2000-01-31,12.0
2000-02-29,12.0
