Date,Policy Rate
1998-01-31,23.5
1998-02-28,24.0
1998-03-31,24.0
1998-04-30,23.0
1998-05-31,21.5
1998-06-30,21.5
1998-07-31,19.0
1998-08-31,19.0
1998-09-30,18.0
1998-10-31,17.0
1998-11-30,17.0
1998-12-31,15.5
1999-01-31,13.0
1999-02-28,13.0
1999-03-31,13.0
1999-04-30,13.0
1999-05-31,13.0
1999-06-30,13.0
1999-07-31,13.0
1999-08-31,13.0
1999-09-30,14.0
1999-10-31,14.0
1999-11-30,16.5
1999-12-31,16.5
2000-01-31,16.5
2000-02-29,17.5
2000-03-31,17.5
2000-04-30,17.5
2000-05-31,17.5
2000-06-30,17.5
2000-07-31,17.5
2000-08-31,19.0
2000-09-30,19.0
2000-10-31,19.0
2000-11-30,19.0
2000-12-31,19.0
2001-01-31,19.0
2001-02-28,19.0
2001-03-31,17.0
2001-04-30,17.0
2001-05-31,17.0
2001-06-30,15.5
2001-07-31,15.5
2001-08-31,14.5
2001-09-30,14.5
2001-10-31,13.0
2001-11-30,11.5
2001-12-31,11.5
2002-01-31,10.0
2002-02-28,10.0
2002-03-31,10.0
2002-04-30,9.5
2002-05-31,9.0
2002-06-30,8.5
2002-07-31,8.5
2002-08-31,8.0
2002-09-30,7.5
2002-10-31,7.0
2002-11-30,6.75
2002-12-31,6.75
2003-01-31,6.5
2003-02-28,6.25
2003-03-31,6.0
2003-04-30,5.75
2003-05-31,5.5
2003-06-30,5.25
2003-07-31,5.25
2003-08-31,5.25
2003-09-30,5.25
2003-10-31,5.25
2003-11-30,5.25
2003-12-31,5.25
2004-01-31,5.25
2004-02-29,5.25
2004-03-31,5.25
2004-04-30,5.25
2004-05-31,5.25
2004-06-30,5.25
2004-07-31,6.0
2004-08-31,6.5
2004-09-30,6.5
2004-10-31,6.5
2004-11-30,6.5
2004-12-31,6.5
2005-01-31,6.5
2005-02-28,6.5
2005-03-31,6.0
2005-04-30,5.5
2005-05-31,5.5
2005-06-30,5.0
2005-07-31,4.75
2005-08-31,4.75
2005-09-30,4.5
2005-10-31,4.5
2005-11-30,4.5
2005-12-31,4.5
2006-01-31,4.5
2006-02-28,4.25
2006-03-31,4.0
2006-04-30,4.0
2006-05-31,4.0
2006-06-30,4.0
2006-07-31,4.0
2006-08-31,4.0
2006-09-30,4.0
2006-10-31,4.0
2006-11-30,4.0
2006-12-31,4.0
2007-01-31,4.0
2007-02-28,4.0
2007-03-31,4.0
2007-04-30,4.25
2007-05-31,4.25
2007-06-30,4.5
2007-07-31,4.5
2007-08-31,4.75
2007-09-30,4.75
2007-10-31,4.75
2007-11-30,5.0
2007-12-31,5.0
2008-01-31,5.25
2008-02-29,5.5
2008-03-31,5.75
2008-04-30,5.75
2008-05-31,5.75
2008-06-30,6.0
2008-07-31,6.0
2008-08-31,6.0
2008-09-30,6.0
2008-10-31,6.0
2008-11-30,5.75
2008-12-31,5.0
2009-01-31,4.25
2009-02-28,4.0
2009-03-31,3.75
2009-04-30,3.75
2009-05-31,3.75
2009-06-30,3.5
2009-07-31,3.5
2009-08-31,3.5
2009-09-30,3.5
2009-10-31,3.5
2009-11-30,3.5
2009-12-31,3.5
2010-01-31,3.5
2010-02-28,3.5
2010-03-31,3.5
2010-04-30,3.5
2010-05-31,3.5
2010-06-30,3.5
2010-07-31,3.5
2010-08-31,3.5
2010-09-30,3.5
2010-10-31,3.5
2010-11-30,3.5
2010-12-31,3.5
2011-01-31,3.75
2011-02-28,3.75
2011-03-31,3.75
2011-04-30,4.0
2011-05-31,4.25
2011-06-30,4.5
2011-07-31,4.5
2011-08-31,4.5
2011-09-30,4.5
2011-10-31,4.5
2011-11-30,4.5
2011-12-31,4.5
2012-01-31,4.5
2012-02-29,4.5
2012-03-31,4.5
2012-04-30,4.5
2012-05-31,4.75
2012-06-30,4.75
2012-07-31,4.75
2012-08-31,4.75
2012-09-30,4.75
2012-10-31,4.75
2012-11-30,4.5
2012-12-31,4.25
2013-01-31,4.0
2013-02-28,3.75
2013-03-31,3.25
2013-04-30,3.25
2013-05-31,3.0
2013-06-30,2.75
2013-07-31,2.5
2013-08-31,2.5
2013-09-30,2.5
2013-10-31,2.5
2013-11-30,2.5
2013-12-31,2.5
2014-01-31,2.5
2014-02-28,2.5
2014-03-31,2.5
2014-04-30,2.5
2014-05-31,2.5
2014-06-30,2.5
2014-07-31,2.5
2014-08-31,2.5
2014-09-30,2.5
2014-10-31,2.0
2014-11-30,2.0
2014-12-31,2.0
2015-01-31,2.0
2015-02-28,2.0
2015-03-31,1.5
2015-04-30,1.5
2015-05-31,1.5
2015-06-30,1.5
2015-07-31,1.5
2015-08-31,1.5
2015-09-30,1.5
2015-10-31,1.5
2015-11-30,1.5
2015-12-31,1.5
2016-01-31,1.5
2016-02-29,1.5
2016-03-31,1.5
2016-04-30,1.5
2016-05-31,1.5
2016-06-30,1.5
2016-07-31,1.5
2016-08-31,1.5
2016-09-30,1.5
2016-10-31,1.5
2016-11-30,1.5
2016-12-31,1.5
2017-01-31,1.5
2017-02-28,1.5
2017-03-31,1.5
