,Monetary Policy Rate: National Bank of Romania
Region,Romania
Subnational,
Frequency,"Daily, ""Everyday"""
Unit,% pa
Source,National Bank of Romania
Status,Active
Series ID,139665008
SR Code,SR2347649
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/01/2004
Last Obs. Date,10/12/2023
Last Update Time,12/10/2023
Series remarks,
Suggestions,
Mean,5.856401384083045
Variance,20.496074395900525
Standard Deviation,4.527259037861708
Skewness,1.596495989189847
Kurtosis,2.752924020018261
Coefficient Variation,0.7730445269967703
Min,1.25
Max,21.25
Median,5.25
No. of Obs,7225
01/01/2004,21.25
01/02/2004,21.25
01/03/2004,21.25
01/04/2004,21.25
01/05/2004,21.25
01/06/2004,21.25
01/07/2004,21.25
01/08/2004,21.25
01/09/2004,21.25
01/10/2004,21.25
01/11/2004,21.25
01/12/2004,21.25
01/13/2004,21.25
01/14/2004,21.25
01/15/2004,21.25
01/16/2004,21.25
01/17/2004,21.25
01/18/2004,21.25
01/19/2004,21.25
01/20/2004,21.25
01/21/2004,21.25
01/22/2004,21.25
01/23/2004,21.25
01/24/2004,21.25
01/25/2004,21.25
01/26/2004,21.25
01/27/2004,21.25
01/28/2004,21.25
01/29/2004,21.25
01/30/2004,21.25
01/31/2004,21.25
02/01/2004,21.25
02/02/2004,21.25
02/03/2004,21.25
02/04/2004,21.25
02/05/2004,21.25
02/06/2004,21.25
02/07/2004,21.25
02/08/2004,21.25
02/09/2004,21.25
02/10/2004,21.25
02/11/2004,21.25
02/12/2004,21.25
02/13/2004,21.25
02/14/2004,21.25
02/15/2004,21.25
02/16/2004,21.25
02/17/2004,21.25
02/18/2004,21.25
02/19/2004,21.25
02/20/2004,21.25
02/21/2004,21.25
02/22/2004,21.25
02/23/2004,21.25
02/24/2004,21.25
02/25/2004,21.25
02/26/2004,21.25
02/27/2004,21.25
02/28/2004,21.25
02/29/2004,21.25
03/01/2004,21.25
03/02/2004,21.25
03/03/2004,21.25
03/04/2004,21.25
03/05/2004,21.25
03/06/2004,21.25
03/07/2004,21.25
03/08/2004,21.25
03/09/2004,21.25
03/10/2004,21.25
03/11/2004,21.25
03/12/2004,21.25
03/13/2004,21.25
03/14/2004,21.25
03/15/2004,21.25
03/16/2004,21.25
03/17/2004,21.25
03/18/2004,21.25
03/19/2004,21.25
03/20/2004,21.25
03/21/2004,21.25
03/22/2004,21.25
03/23/2004,21.25
03/24/2004,21.25
03/25/2004,21.25
03/26/2004,21.25
03/27/2004,21.25
03/28/2004,21.25
03/29/2004,21.25
03/30/2004,21.25
