,Central Bank Policy Rate: End of Period
Region,Romania
Subnational,
Frequency,Monthly
Unit,% pa
Source,International Monetary Fund
Status,Active
Series ID,448857567
SR Code,SR131572407
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/1993
Last Obs. Date,08/2022
Last Update Time,10/10/2022
Series remarks,
Suggestions,
Mean,16.67198795180723
Variance,314.742641957558
Standard Deviation,17.74098762632898
Skewness,1.2270251023555305
Kurtosis,0.6696508332279718
Coefficient Variation,1.0641195085800115
Min,1.25
Max,70
Median,7.5
No. of Obs,332
12/1993,70
01/1994,70
02/1994,70
03/1994,70
04/1994,70
05/1994,70
06/1994,70
07/1994,70
08/1994,70
09/1994,65
10/1994,62
11/1994,58
12/1994,58
01/1995,58
02/1995,55
03/1995,48.5
04/1995,44
05/1995,40
06/1995,40
07/1995,40
08/1995,35
09/1995,35
10/1995,33
11/1995,33
12/1995,34.1
01/1996,35
02/1996,35
03/1996,35
04/1996,35
05/1996,35
06/1996,35
07/1996,35
08/1996,35
09/1996,35
10/1996,35
11/1996,36
12/1996,35
01/1997,50
02/1997,50
03/1997,50
04/1997,50
05/1997,50
06/1997,50
07/1997,40
08/1997,40
09/1997,40
10/1997,40
11/1997,40
12/1997,40
01/1998,40
02/1998,40
03/1998,40
04/1998,40
05/1998,40
06/1998,40
07/1998,40
08/1998,35
09/1998,35
10/1998,35
11/1998,35
12/1998,35
01/1999,35
02/1999,35
03/1999,35
04/1999,35
05/1999,35
06/1999,35
07/1999,35
08/1999,35
09/1999,35
10/1999,35
11/1999,35
12/1999,35
01/2000,35
02/2000,35
03/2000,35
04/2000,35
05/2000,35
06/2000,35
07/2000,35
08/2000,35
09/2000,35
10/2000,35
11/2000,35
12/2000,35
01/2001,35
02/2001,35
03/2001,35
04/2001,35
05/2001,35
06/2001,35
07/2001,35
08/2001,35
09/2001,35
10/2001,35
11/2001,35
01/2003,19.75
02/2003,19
03/2003,18.5
04/2003,18.5
05/2003,18.25
06/2003,18.25
07/2003,18.25
08/2003,19.25
09/2003,19.25
10/2003,20.25
11/2003,21.25
12/2003,21.25
01/2004,21.25
02/2004,21.25
03/2004,21.25
04/2004,21.25
05/2004,21.25
06/2004,20.75
07/2004,20
08/2004,18.75
09/2004,18.75
10/2004,18.75
11/2004,17.75
12/2004,17
01/2005,16.5
02/2005,15.75
03/2005,14.5
04/2005,12.5
05/2005,12.5
06/2005,12.5
07/2005,12.5
08/2005,8.5
09/2005,7.5
10/2005,7.5
11/2005,7.5
12/2005,7.5
01/2006,7.5
