Date,Policy Rate
01/1995,25
02/1995,28
03/1995,28
04/1995,28
05/1995,28
06/1995,28
07/1995,28
08/1995,28
09/1995,28
10/1995,28
11/1995,28
12/1995,28
01/1996,28
02/1996,27
03/1996,27
04/1996,27
05/1996,26
06/1996,26
07/1996,25.5
08/1996,25.5
09/1996,24.5
10/1996,23
11/1996,23
12/1996,23
01/1997,22.5
02/1997,22.5
03/1997,21.5
04/1997,21.5
05/1997,21.5
06/1997,21.5
07/1997,21
08/1997,21
09/1997,20.5
10/1997,20.5
11/1997,20.5
12/1997,20.5
01/1998,20.5
02/1998,20
03/1998,20
04/1998,19.5
05/1998,19.5
06/1998,19
07/1998,19
08/1998,18
09/1998,18
10/1998,18
11/1998,18
12/1998,17
01/1999,17
02/1999,16
03/1999,16
04/1999,16
05/1999,16
06/1999,15.5
07/1999,15.5
08/1999,15.5
09/1999,15.5
10/1999,15.5
11/1999,15
12/1999,14.5
01/2000,13
02/2000,13
03/2000,12
04/2000,11
05/2000,11
06/2000,11
07/2000,11
08/2000,11
09/2000,11
10/2000,11
11/2000,11
12/2000,11
01/2001,11
02/2001,11
03/2001,11
04/2001,11
05/2001,11
06/2001,11
07/2001,11.25
08/2001,11.25
09/2001,11
10/2001,10.75
11/2001,10.25
12/2001,9.75
01/2002,9
02/2002,8.5
03/2002,8.5
04/2002,8.5
05/2002,9
06/2002,9
07/2002,9.5
08/2002,9.5
09/2002,9.5
10/2002,9.5
11/2002,9
12/2002,8.5
01/2003,6.5
02/2003,6.5
03/2003,6.5
04/2003,6.5
05/2003,6.5
06/2003,9.5
07/2003,9.5
08/2003,9.5
09/2003,9.5
10/2003,9.5
11/2003,12.5
12/2003,12.5
01/2004,12.5
02/2004,12.5
03/2004,12.25
04/2004,12
05/2004,11.5
06/2004,11.5
07/2004,11.5
08/2004,11
09/2004,11
10/2004,10.5
11/2004,10
12/2004,9.5
01/2005,9
02/2005,8.25
03/2005,7.75
04/2005,7.5
05/2005,7.25
06/2005,7
07/2005,6.75
08/2005,6.25
09/2005,6
10/2005,6
11/2005,6
12/2005,6
01/2006,6
02/2006,6
03/2006,6
04/2006,6
05/2006,6
06/2006,6.25
07/2006,6.75
08/2006,7.25
09/2006,7.75
10/2006,8
