,x,x,,,,
,,,,,,
,,,,,,
,Hungary,,,,,
,Equity,Debt,,,,
Jan 00,,,,,,
Feb 00,,,,,,
Mar 00,,,,,,
Apr 00,,,,,,
May 00,,,,,,
Jun 00,,,,,,
Jul 00,,,,,,
Aug 00,,,,,,
Sep 00,,,,,,
Oct 00,,,,,,
Nov 00,,,,,,
Dec 00,,,,,,
Jan 01,,,,,,
Feb 01,,,,,,
Mar 01,,,,,,
Apr 01,,,,,,
May 01,,,,,,
Jun 01,,,,,,
Jul 01,,,,,,
Aug 01,,,,,,
Sep 01,,,,,,
Oct 01,,,,,,
Nov 01,,,,,,
Dec 01,,,,,,
Jan 02,,,,,,
Feb 02,,,,,,
Mar 02,,,,,,
Apr 02,,,,,,
May 02,,,,,,
Jun 02,,,,,,
Jul 02,,,,,,
Aug 02,,,,,,
Sep 02,,,,,,
Oct 02,,,,,,
Nov 02,,,,,,
Dec 02,,,,,,
Jan 03,,,,,,
Feb 03,,,,,,
Mar 03,,,,,,
Apr 03,,,,,,
May 03,,,,,,
Jun 03,,,,,,
Jul 03,,,,,,
Aug 03,,,,,,
Sep 03,,,,,,
Oct 03,,,,,,
Nov 03,,,,,,
Dec 03,,,,,,
Jan 04,,,,,,
Feb 04,,,,,,
Mar 04,,,,,,
Apr 04,,,,,,
May 04,,,,,,
Jun 04,,,,,,
Jul 04,,,,,,
Aug 04,,,,,,
Sep 04,,,,,,
Oct 04,,,,,,
Nov 04,,,,,,
Dec 04,,,,,,
Jan 05,,161,,,,
Feb 05,,291,,,,
Mar 05,,37,,,,
Apr 05,,-709,,,,
May 05,,-190,,,,
Jun 05,,776,,,,
Jul 05,,-96,,,,
Aug 05,,-217,,,,
Sep 05,,376,,,,
Oct 05,,-103,,,,
Nov 05,,177,,,,
Dec 05,,-296,,,,
Jan 06,,242,,,,
Feb 06,,512,,,,
Mar 06,,320,,,,
Apr 06,,-261,,,,
May 06,,161,,,,
Jun 06,,-59,,,,
Jul 06,,112,,,,
Aug 06,,-662,,,,
Sep 06,,442,,,,
Oct 06,,294,,,,
Nov 06,,707,,,,
Dec 06,,169,,,,
Jan 07,,393,,,,
Feb 07,,245,,,,
Mar 07,,102,,,,
Apr 07,,-281,,,,
May 07,,802,,,,
Jun 07,,-332,,,,
Jul 07,,139,,,,
Aug 07,,204,,,,
Sep 07,,-12,,,,
Oct 07,,401,,,,
Nov 07,,-416,,,,
Dec 07,,404,,,,
Jan 08,,1212,,,,
Feb 08,,-662,,,,
Mar 08,,-382,,,,
Apr 08,,-483,,,,
May 08,,-347,,,,
Jun 08,,-385,,,,
Jul 08,,319,,,,
Aug 08,,654,,,,
Sep 08,,432,,,,
Oct 08,,-2985,,,,
Nov 08,,-1188,,,,
Dec 08,,-20,,,,
Jan 09,,1038,,,,
Feb 09,,-636,,,,
Mar 09,,-246,,,,
Apr 09,,-528,,,,
May 09,,-253,,,,
Jun 09,,-515,,,,
Jul 09,,1131,,,,
Aug 09,,-162,,,,
Sep 09,,181,,,,
Oct 09,,-795,,,,
Nov 09,,191,,,,
Dec 09,,-771,,,,
Jan 10,,662,,,,
Feb 10,,377,,,,
Mar 10,,21,,,,
