,x,x,,,,
,,,,,,
,,,,,,
,Poland,,,,,
,Equity,Debt,,,,
Jan 00,66,438,,,,
Feb 00,238,252,,,,
Mar 00,-6,1612,,,,
Apr 00,-107,216,,,,
May 00,-53,42,,,,
Jun 00,88,126,,,,
Jul 00,145,164,,,,
Aug 00,31,51,,,,
Sep 00,0,172,,,,
Oct 00,-68,-545,,,,
Nov 00,83,284,,,,
Dec 00,29,197,,,,
Jan 01,15,518,,,,
Feb 01,10,690,,,,
Mar 01,-106,995,,,,
Apr 01,85,-230,,,,
May 01,-10,-439,,,,
Jun 01,-90,-185,,,,
Jul 01,0,101,,,,
Aug 01,42,155,,,,
Sep 01,1,-235,,,,
Oct 01,-88,-352,,,,
Nov 01,-77,381,,,,
Dec 01,-92,-16,,,,
Jan 02,34,376,,,,
Feb 02,-169,262,,,,
Mar 02,-31,1228,,,,
Apr 02,-118,721,,,,
May 02,28,310,,,,
Jun 02,-78,-125,,,,
Jul 02,-160,250,,,,
Aug 02,-31,410,,,,
Sep 02,-58,484,,,,
Oct 02,-44,-782,,,,
Nov 02,-60,362,,,,
Dec 02,150,120,,,,
Jan 03,27,346,,,,
Feb 03,-47,2887,,,,
Mar 03,-25,-52,,,,
Apr 03,-71,-847,,,,
May 03,95,446,,,,
Jun 03,75,-519,,,,
Jul 03,81,-904,,,,
Aug 03,-206,-230,,,,
Sep 03,-180,938,,,,
Oct 03,35,1274,,,,
Nov 03,-364,1008,,,,
Dec 03,-250,253,,,,
Jan 04,105,2030,,,,
Feb 04,92,35,,,,
Mar 04,64,1836,,,,
Apr 04,128,240,,,,
May 04,-143,710,,,,
Jun 04,94,1239,,,,
Jul 04,32,442,,,,
Aug 04,-71,452,,,,
Sep 04,75,689,,,,
Oct 04,49,41,,,,
Nov 04,619,1244,,,,
Dec 04,651,-8,,,,
Jan 05,201,3454,,,,
Feb 05,595,1877,,,,
Mar 05,208,-100,,,,
Apr 05,65,2975,,,,
May 05,-70,4155,,,,
Jun 05,51,582,,,,
Jul 05,161,718,,,,
Aug 05,52,283,,,,
Sep 05,685,-429,,,,
Oct 05,-167,145,,,,
Nov 05,-123,76,,,,
Dec 05,-308,-1,,,,
Jan 06,-339,816,,,,
Feb 06,-150,3581,,,,
Mar 06,-99,16,,,,
Apr 06,-170,630,,,,
May 06,-670,-710,,,,
Jun 06,-155,-1301,,,,
Jul 06,101,534,,,,
Aug 06,-3,-682,,,,
Sep 06,10,-264,,,,
Oct 06,68,131,,,,
Nov 06,-499,-99,,,,
Dec 06,-253,1199,,,,
Jan 07,-35,3322,,,,
Feb 07,45,-1593,,,,
Mar 07,-380,-1527,,,,
Apr 07,132,264,,,,
May 07,22,1131,,,,
Jun 07,-285,-2035,,,,
Jul 07,6,250,,,,
Aug 07,-277,-740,,,,
Sep 07,12,-685,,,,
Oct 07,-191,1770,,,,
Nov 07,101,-283,,,,
Dec 07,393,662,,,,
Jan 08,348,-267,,,,
Feb 08,151,187,,,,
Mar 08,-219,-3031,,,,
Apr 08,353,-544,,,,
May 08,444,210,,,,
Jun 08,222,2314,,,,
Jul 08,432,141,,,,
Aug 08,426,763,,,,
Sep 08,-500,-1482,,,,
