,,,,,,
,,,,,,
,,,,,,
,Romania,,,,,
,Equity,Debt,,,,
Jan 00,,,,,,
Feb 00,,,,,,
Mar 00,,,,,,
Apr 00,,,,,,
May 00,,,,,,
Jun 00,,,,,,
Jul 00,,,,,,
Aug 00,,,,,,
Sep 00,,,,,,
Oct 00,,,,,,
Nov 00,,,,,,
Dec 00,,,,,,
Jan 01,,,,,,
Feb 01,,,,,,
Mar 01,,,,,,
Apr 01,,,,,,
May 01,,,,,,
Jun 01,,,,,,
Jul 01,,,,,,
Aug 01,,,,,,
Sep 01,,,,,,
Oct 01,,,,,,
Nov 01,,,,,,
Dec 01,,,,,,
Jan 02,,,,,,
Feb 02,,,,,,
Mar 02,,,,,,
Apr 02,,,,,,
May 02,,,,,,
Jun 02,,,,,,
Jul 02,,,,,,
Aug 02,,,,,,
Sep 02,,,,,,
Oct 02,,,,,,
Nov 02,,,,,,
Dec 02,,,,,,
Jan 03,,,,,,
Feb 03,,,,,,
Mar 03,,,,,,
Apr 03,,,,,,
May 03,,,,,,
Jun 03,,,,,,
Jul 03,,,,,,
Aug 03,,,,,,
Sep 03,,,,,,
Oct 03,,,,,,
Nov 03,,,,,,
Dec 03,,,,,,
Jan 04,,,,,,
Feb 04,,,,,,
Mar 04,,,,,,
Apr 04,,,,,,
May 04,,,,,,
Jun 04,,,,,,
Jul 04,,,,,,
Aug 04,,,,,,
Sep 04,,,,,,
Oct 04,,,,,,
Nov 04,,,,,,
Dec 04,,,,,,
Jan 05,29,0,,,,
Feb 05,13,0,,,,
Mar 05,-17,-3,,,,
Apr 05,-1,-3,,,,
May 05,3,4,,,,
Jun 05,29,603,,,,
Jul 05,27,2,,,,
Aug 05,12,0,,,,
Sep 05,37,18,,,,
Oct 05,7,0,,,,
Nov 05,51,-352,,,,
Dec 05,40,596,,,,
Jan 06,69,1,,,,
Feb 06,49,0,,,,
Mar 06,-17,0,,,,
Apr 06,7,1,,,,
May 06,17,0,,,,
Jun 06,0,3,,,,
Jul 06,-5,-14,,,,
Aug 06,-6,1,,,,
Sep 06,14,-115,,,,
Oct 06,42,-1,,,,
Nov 06,101,96,,,,
Dec 06,29,315,,,,
Jan 07,92,107,,,,
Feb 07,143,80,,,,
Mar 07,146,-110,,,,
Apr 07,73,-4,,,,
May 07,76,-99,,,,
Jun 07,130,-8,,,,
Jul 07,99,-36,,,,
Aug 07,-35,11,,,,
Sep 07,22,-13,,,,
Oct 07,47,-3,,,,
Nov 07,-41,0,,,,
Dec 07,-3,-189,,,,
Jan 08,76,457,,,,
Feb 08,-4,3,,,,
Mar 08,17,0,,,,
Apr 08,-6,0,,,,
May 08,-84,40,,,,
Jun 08,8,127,,,,
Jul 08,13,-43,,,,
Aug 08,5,-38,,,,
Sep 08,-3,55,,,,
Oct 08,15,-367,,,,
Nov 08,-11,-27,,,,
Dec 08,-3,-642,,,,
Jan 09,1,-17,,,,
Feb 09,4,-3,,,,
Mar 09,8,-5,,,,
Apr 09,-16,1,,,,
May 09,0,-1,,,,
Jun 09,15,6,,,,
Jul 09,-6,203,,,,
Aug 09,1,98,,,,
Sep 09,1,215,,,,
Oct 09,18,13,,,,
Nov 09,7,382,,,,
Dec 09,-26,59,,,,
Jan 10,-3,89,,,,
Feb 10,-1,19,,,,
Mar 10,18,1888,,,,
Apr 10,9,258,,,,
May 10,-11,-219,,,,
Jun 10,-4,-124,,,,
Jul 10,3,-702,,,,
Aug 10,-4,133,,,,
Sep 10,5,-30,,,,
Oct 10,1,199,,,,
Nov 10,-4,-96,,,,
Dec 10,-7,363,,,,
Jan 11,-79,934,,,,
Feb 11,27,29,,,,
Mar 11,7,203,,,,
Apr 11,-10,487,,,,
May 11,-4,984,,,,
Jun 11,3,1802,,,,
Jul 11,3,-227,,,,
Aug 11,9,-175,,,,
Sep 11,7,-357,,,,
Oct 11,-3,-182,,,,
Nov 11,5,-784,,,,
