469,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQ250,Current Account Balance,-482,-50,-72,-271,164,145,149,-209,359,315,99,150,522,"1,172","1,539",475,554,850,"1,482",350,995,84,208,762,912,-130,"1,333",399,"1,114",-577,-131,-162,693,489,-966,"-1,547",-918,-994,-493,-790,"-1,323","-1,711","-1,306","-1,255","-2,098","-1,429","-2,299","-2,075","-3,140","-2,632",-854,"-2,915","-1,031","-1,591",532,"-1,697",191,"-1,805","-1,557","-2,752","-4,037","-3,797","-4,010","-5,368","-5,663","-4,791","-5,351","-4,664","-2,827","-1,553","-1,754","-1,785","-1,931",-493,"-2,012","-3,247","-4,548","-1,088","-1,382","-3,192","-2,765","-3,828","-2,785","-4,849","-5,667","-5,135","-4,001","-3,801","-5,792","-2,958","-3,192","1,410","-1,378","-2,708","-5,868",…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Capital Flows (+ = inflow of capital, - = outflow of capital)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Capital Flows including E&Os,553.4,337.8,396.6,217,72.1,6.579253333,640.6093333,-612.8906667,-613.8906667,50.20933333,-160.0857067,51.6,-701.4,-1000.7,-2231.6,-776.4,-1090.4,-918,-1410.8,1053.1,2066.2,1104.7,2048.3,468.1,-54,-372.3,1216.7,645.1,660.1,2310.1,1523.3,2327.7,1867.5,492,-167.1,3.7,-1235.9,78.1,3149.6,1341,2201,1776.4,1718.4,1995.5,-3766.2,-2474.3,316.1,-4010.6,480,2281.5,826.9,2610.2,-677.4,2964.3,3258.1,-294.8,271,1155.4,1697.9,1251.6,4004.2,8573.6,286.7,5503.3,5868.3,5860.1,7268.3,9302.3,7196.1,4296.4,7021.3,2299.1,7554.1,2083.6,2221.4,1405.2,6140.3,1618.1,1826.5,3561.1,-2429.2,1815.7,3078.8,6397.9,5904.9,8145.8,4275.6,3957.1,1366.6,2284.4,4432.2,1290.7,3330,-1148.648,…,…,…,…,…,…
,Net Capital Flows excluding E&Os,553.4,337.8,396.6,217,72.1,170.4,361.6,290,-745.9,-869.6,-1083.3,51.6,-701.4,-1000.7,-2231.6,-776.4,-1090.4,-918,-1410.8,1053.1,2066.2,1669.2,1882.9,986.1,-1073.2,1753.1,157.5,-1008.3,406.1,1336.7,1435.1,1680.2,507,3932.9,2264.1,177.2,-1025.9,871.9,3157.225,811.325,2658.225,3043.025,1199.5,2078.9,-4492.4,-2952.3,650.7,-2720.4,-145.2,3333.8,863.4,4612.1,-436.4,4820.7,4154,-1221.4,345.2,1717.6,423.2,401.8,5900.2,11326.6,1667.7,4572.5,8440.7,6637.2,7931,9706.3,8979.5,4511.6,6287.7,4221.1,8654.1,2984.3,1826.1,1367.4,6540.4,1252.2,695.1,4643,-1061.6,1346.6,3961.9,5298.6,7919.7,6346.8,6085.8,5430.5,-574.3,941.4,4432.2,1290.7,3330,-1148.648,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ100,Non-Resident Capital Flows (changes in liabilities),553,338,397,217,72,518,"1,063",-38,-276,167,99,352,-211,140,-372,390,255,458,615,"2,045","1,655","1,741","4,117","2,489",885,"2,036","2,863","4,641","2,515","2,908","2,207","4,409","6,196","1,218","-1,508","-1,115",209,"2,708","5,037","2,578","8,273","4,950","8,099",462,"-6,419","-1,806","-1,119","-2,200",-70,"3,743",352,"5,761","1,300","4,725","3,967",353,"1,305","1,910","2,585",568,"4,643","11,653","1,427","7,729","9,765","5,846","8,211","11,814","12,197","10,970","9,933","3,956","10,700","2,363",62,"2,625","14,594","3,058","3,608","4,810","-7,833","6,307","8,508","7,002","10,149","5,037","2,440","3,150","4,583","-2,046","5,732","2,491","4,430",-675,…,…,…,…,…,…
FQ110,Foreign direct investment,614,289,110,223,66,111,199,135,54,40,402,150,26,123,34,56,95,223,775,"1,065","1,220",842,"1,947","1,366","1,318","1,480","3,237","4,008","1,801","2,008","2,969","4,800","3,482","1,985","1,655","2,373","1,211","2,875","1,731",895,"1,706","2,426","1,597",656,-164,99,440,-858,"1,584","2,817",847,783,"1,128",995,783,"1,350","1,036","1,009","1,321","1,246","2,547","1,265","1,357","1,756","2,773","1,047","1,872","2,415","2,278","1,368","1,843","1,920","2,256","1,700","1,415","2,769","2,339","1,712","2,353","2,606",971,"1,524","1,605","1,752","1,430",427,"1,665","1,601","4,083","1,589","3,297","2,431","2,430","2,120",…,…,…,…,…,…
FQ111,Equity,…,…,2,4,1,2,4,2,1,1,7,3,0,2,1,1,2,4,14,19,22,15,23,16,16,17,29,36,16,18,87,141,102,58,206,295,150,357,348,180,343,488,41,42,202,42,125,171,91,10,95,12,165,6,27,142,94,21,81,6,452,0,134,330,163,1,149,7,155,24,139,27,189,15,422,"1,074",884,722,947,"1,122",976,933,"1,044",910,"1,260","1,642","1,498","1,456","1,489","1,500","1,501","1,501","2,300","2,500",…,…,…,…,…,…
FQ113,Debt,…,…,108,219,64,109,195,132,53,39,395,148,25,120,33,55,93,219,761,"1,046","1,198",827,"1,924","1,350","1,303","1,462","3,208","3,971","1,784","1,990","2,882","4,659","3,380","1,926","1,449","2,078","1,061","2,517","1,383",715,"1,363","1,938","1,556",614,-365,57,315,"-1,029","1,493","2,806",752,771,963,989,757,"1,208",943,988,"1,240","1,240","2,095","1,265","1,223","1,426","2,610","1,046","1,723","2,408","2,123","1,344","1,704","1,893","2,067","1,685",993,"1,695","1,455",990,"1,405","1,484",-5,591,561,842,169,"-1,214",167,145,"2,594",89,"1,796",930,130,-380,…,…,…,…,…,…
