694,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQ250,Current Account Balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"27,387","2,905","-4,674","18,169","23,011","2,441","-3,927","15,265","17,405","1,846","-2,971","11,546","9,432","10,384","10,110",-586,"1,273","2,190","3,401","7,157","1,649","4,062","2,232","6,637","5,650","6,706","-3,282","3,584","4,495","1,334","8,583","4,521","6,554","4,595","3,674","5,324","3,189",-263,"1,160","-3,178","-5,670","-2,060","-5,695","-2,014","1,729","-1,130",560,"3,918","4,114","2,163","2,799","4,487","2,260","5,186",-691,528,"-1,908","-3,790","-1,867","-6,119","-4,519","-3,186","-3,511","-4,770","-4,653","1,673","1,078","-1,351","-1,694","2,427","-2,063","2,348","-1,000",-750,-700,-302,-517,-367,-217,"1,100",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Capital Flows (+ = inflow of capital, - = outflow of capital)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Capital Flows including E&Os,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,-22948.10808,268.983048,5314.633254,-15864.50822,-21617.2075,-1444.603665,4128.344099,-14542.13293,-13628.40665,853.7131383,3515.115642,-9586.02213,-17855.52,-9784.31,-13034.6,9667.93,4645.74,1428.98,-3281.86,-6196.09,66.77,-863.4,646.98,-4386.8,-6455.87,-5349.91,3367.76,-4528.04,-7029.76,-1601.48,-13769.29,-7719.68,-10676.34,-1654.78,-2777.91,-4051.03,2268.93,333.16,-2214.23,7158.07,10438.75,3126.65,4145.75,3580.99,-990.56,1946.12,2134.22,-7186.19,-7090.45,-2461.59,-5586.41,-10667.49,-9582.44,-5689.91,5233.47,-530.93,-293.92,3839.03,5885.44,8744.36,8905.09,1108.31,3367.13,4270.17,5957.89,470.33,-6361.72,2640.39,2652.46,-2605.98,3500.75,-1242.66,1400,500,-900,665.3,-356.5,-126.5,1220,2800,
,Net Capital Flows excluding E&Os,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,-13183.58781,7767.306707,23713.98557,-21005.10447,-13581.88914,4497.199517,20349.52724,-19367.83761,-14593.34208,1471.294428,7721.683512,-10674.93586,7860.29,7988.94,6682.66,4008.37,-1825.29,4411,9297.81,8011.08,22869.53,13577.38,-14341.49,1290.6,4697.14,14830.55,7286.01,8014.43,1230.36,12141.77,17710.14,20491.67,12011.76,13583.6,-226.34,11076.74,9728.64,15880.83,9781.82,-2558.52,4633.05,7369.5,2986.8,6896.94,10618.22,-7035.4,1285.81,-265.14,3043.48,4797.33,10932.2,8878.72,13663.52,-166.12,-9443.5,9330.71,19650.03,10128.92,-7043.05,-19836.8,-5766.85,-308.38,-2474.71,8107.63,6006.19,4649.23,19642.77,1203.05,7752.9,3049.53,5882.36,4129.73,1400,500,-900,665.3,-356.5,-126.5,1220,2800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ100,Non-Resident Capital Flows (changes in liabilities),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"4,162","4,104","1,715",-90,-892,"2,320","5,838","3,696","2,857","1,701","1,541","1,580","4,338","3,964","2,571","3,970","4,284","4,534","7,503","8,821","6,975","7,002","3,162","4,464","3,404","7,816","6,793",321,"3,280","1,131",990,-51,"2,227",327,"3,544",852,"3,774","6,204","7,037","5,559","11,839","-2,957","-6,751","6,155","12,068","2,534","-1,685","-2,994","-6,705","5,083",774,-694,"5,206",511,"16,428","-3,042","3,280","3,206","3,568","1,938","2,000","1,100",-200,"1,365",294,374,"1,620","3,150",
FQ110,Foreign direct investment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,193","1,357","1,366","1,062","1,174","1,335","1,344","1,045","1,459","1,659","1,670","1,299","2,435","2,854","1,115","1,845","2,015","2,429","1,880","2,325","1,275","1,505","1,775","1,544","2,260","2,417","2,109","2,129","1,737",826,"1,479","3,085","1,532","1,943","1,133","1,000","1,128","1,381","1,155","1,030",723,625,"1,214",502,627,666,"1,144","1,016",618,599,508,689,378,162,176,59,"1,041",766,250,248,276,895,775,439,"1,436","1,561",274,42,39,"-1,474",496,753,300,200,100,100,300,500,500,500,
FQ111,Equity,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,193","1,357","1,366","1,062","1,174","1,335","1,344","1,045","1,459","1,659","1,670","1,299","2,398","2,833","1,110","1,844","2,014","2,429","1,868","2,319","1,268","1,490","1,770","1,510","2,243","2,374","1,947","2,096","1,725",807,"1,470","3,058","1,512","1,943","1,132",992,"1,127","1,370","1,155","1,029",723,625,"1,212",500,291,332,815,695,302,286,192,370,52,-170,-161,-285,690,406,-117,-128,-110,530,423,86,415,"2,192",115,21,-109,-100,-100,-50,150,300,100,100,200,250,300,350,
FQ113,Debt,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,0,0,0,0,0,0,0,0,0,0,0,37,20,5,1,2,1,12,7,8,15,5,33,17,42,163,33,13,19,9,27,20,0,1,8,0,11,0,1,0,0,2,2,336,334,329,321,316,313,315,319,326,332,337,343,352,359,367,376,386,365,352,352,"1,020",-631,159,21,148,"-1,374",596,803,150,-100,0,0,100,250,200,150,
