Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,514500000,-160000000,657800000,269000000,39200000,-216900000,36800000,26100000,729400000,501900000,-3198900000,-673600000,393000000,1724400000,-711300000,-983400000,-431400000,484900000,13500000,609500000,224300000,220300000,-12000000,-1996900000,-1486100000,-1385600000
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,45528772.5869617,224045129.263944,-62321034.9614042,358544725.745944,979134015.201458,555939513.740102,1191169659.14096,-352608640.878536,142371941.021023,-162622735.351616,275861633.265326,1481728891.24559,12019442.7045853,985237354.940941,-4969953198.72521,-197119279.892211,665203186.926201,-325211474.233601,177628299.811199,746172897.974248,25037714.0616073,-324870579.963653,774221274.395321,-102657014.329243,-141835643.7957,82924803.1771202,231999006.065685,-578553464.225031,-824952768.51107,-1616944982.89573
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,750775094.3952,1769162544.85626,1447330958.33185,-953448580.264265,487342221.923697,2153299955.08907,2570808286.61955,9959018733.20635,5532059839.76553,1044955627.9525,-476619500,325125000,1360441234.49109,1259167883.85656,-1548463201.73002,-255230064.900555,71602136.4597128,293462952.902714
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,219000000,749000000,599000000,1734000000,14000000,447000000,-307000000,-545000000,-837000000,1660000000,1331000000,-2129000000,-470000000,566000000,1580000000,7062000000,3110000000,3831000000,2796000000,3377000000,5413000000,-2514000000,1468000000,957000000,346000000,-3628000000,671000000,-1129000000
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000000,95000000,68000000,58000000,8000000,21000000,69000000,111000000,232210719.422015,302593655.106679,742056406.512232,21132360.6081801,6755842.41724002,3437242.67270628,-38290891.3040163,408323207.598552,1054061124.14664,534835681.817057,361658058.660049,-459356569.610531,-61144311.8438115,-479265394.41138,-656140789.492825,-854598823.517529,-142865455.343334,-249702601.493107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
