date,portfolio_inv
2005-03-01,248
2005-04-01,248
2005-05-01,248
2005-06-01,356
2005-07-01,356
2005-08-01,356
2005-09-01,185
2005-10-01,185
2005-11-01,185
2005-12-01,95
2006-01-01,95
2006-02-01,95
2006-03-01,792
2006-04-01,792
2006-05-01,792
2006-06-01,1138
2006-07-01,1138
2006-08-01,1138
2006-09-01,593
2006-10-01,593
2006-11-01,593
2006-12-01,303
2007-01-01,303
2007-02-01,303
2007-03-01,747
2007-04-01,747
2007-05-01,747
2007-06-01,1073
2007-07-01,1073
2007-08-01,1073
2007-09-01,559
2007-10-01,559
2007-11-01,559
2007-12-01,285
2008-01-01,285
2008-02-01,285
2008-03-01,997
2008-04-01,997
2008-05-01,997
2008-06-01,221
2008-07-01,221
2008-08-01,221
2008-09-01,219
2008-10-01,219
2008-11-01,219
2008-12-01,-102
2009-01-01,-102
2009-02-01,-102
2009-03-01,-412
2009-04-01,-412
2009-05-01,-412
2009-06-01,273
2009-07-01,273
2009-08-01,273
2009-09-01,361
2009-10-01,361
2009-11-01,361
2009-12-01,260
2010-01-01,260
2010-02-01,260
2010-03-01,853
2010-04-01,853
2010-05-01,853
2010-06-01,600
2010-07-01,600
2010-08-01,600
2010-09-01,917
2010-10-01,917
2010-11-01,917
2010-12-01,1378
2011-01-01,1378
2011-02-01,1378
2011-03-01,1137
2011-04-01,1137
2011-05-01,1137
2011-06-01,1571
2011-07-01,1571
2011-08-01,1571
2011-09-01,1130
2011-10-01,1130
2011-11-01,1130
2011-12-01,1356
2012-01-01,1356
2012-02-01,1356
2012-03-01,3816
2012-04-01,3816
2012-05-01,3816
2012-06-01,2621
2012-07-01,2621
2012-08-01,2621
2012-09-01,5148
2012-10-01,5148
2012-11-01,5148
2012-12-01,5615
2013-01-01,5615
2013-02-01,5615
2013-03-01,5963
2013-04-01,5963
2013-05-01,5963
2013-06-01,4464
2013-07-01,4464
2013-08-01,4464
2013-09-01,1409
2013-10-01,1409
2013-11-01,1409
2013-12-01,1816
2014-01-01,1816
2014-02-01,1816
2014-03-01,92
2014-04-01,92
2014-05-01,92
2014-06-01,2883
2014-07-01,2883
2014-08-01,2883
2014-09-01,3088
2014-10-01,3088
2014-11-01,3088
2014-12-01,-770
2015-01-01,-770
2015-02-01,-770
2015-03-01,269
2015-04-01,269
2015-05-01,269
2015-06-01,1500
2015-07-01,1500
2015-08-01,1500
2015-09-01,-387
2015-10-01,-387
2015-11-01,-387
2015-12-01,1153
2016-01-01,1153
2016-02-01,1153
2016-03-01,227
2016-04-01,227
2016-05-01,227
2016-06-01,563
2016-07-01,563
2016-08-01,563
2016-09-01,795
2016-10-01,795
2016-11-01,795
2016-12-01,303
2017-01-01,303
2017-02-01,303
2017-03-01,46
2017-04-01,46
2017-05-01,46
2017-06-01,3621
2017-07-01,3621
2017-08-01,3621
2017-09-01,5036
2017-10-01,5036
2017-11-01,5036
2017-12-01,1810
2018-01-01,1810
2018-02-01,1810
2018-03-01,5700
2018-04-01,5700
2018-05-01,5700
2018-06-01,-3136
2018-07-01,-3136
2018-08-01,-3136
2018-09-01,-6105
2018-10-01,-6105
2018-11-01,-6105
2018-12-01,3935
2019-01-01,3935
2019-02-01,3935
2019-03-01,9111
2019-04-01,9111
2019-05-01,9111
2019-06-01,934
2019-07-01,934
2019-08-01,934
2019-09-01,-3079
2019-10-01,-3079
2019-11-01,-3079
2019-12-01,-3788
2020-01-01,-3788
2020-02-01,-3788
2020-03-01,-5530
2020-04-01,-5530
2020-05-01,-5530
2020-06-01,678
2020-07-01,678
2020-08-01,678
2020-09-01,1742
2020-10-01,1742
2020-11-01,1742
2020-12-01,-477
2021-01-01,-477
2021-02-01,-477
2021-03-01,1926
2021-04-01,1926
2021-05-01,1926
2021-06-01,-273
2021-07-01,-273
2021-08-01,-273
2021-09-01,7458
2021-10-01,7458
2021-11-01,7458
2021-12-01,-3012
2022-01-01,-3012
2022-02-01,-3012
2022-03-01,1542
2022-04-01,1542
2022-05-01,1542
2022-06-01,1678
2022-07-01,1678
2022-08-01,1678
2022-09-01,998
2022-10-01,998
2022-11-01,998
2022-12-01,337
2023-01-01,337
2023-02-01,337
2023-03-01,200
2023-04-01,200
2023-05-01,200
2023-06-01,-100
2023-07-01,-100
2023-08-01,-100
2023-09-01,-800
2023-10-01,-800
2023-11-01,-800
2023-12-01,-500
2024-01-01,-500
2024-02-01,-500
2024-03-01,50
2024-04-01,50
2024-05-01,50
2024-06-01,100
2024-07-01,100
2024-08-01,100
2024-09-01,120
2024-10-01,120
2024-11-01,120
2024-12-01,150
