,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,227265101
SR Code,SR2854984
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/1979
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,150.27342897577145
Variance,13196.751018290386
Standard Deviation,114.8771126825983
Skewness,1.9201365320750405
Kurtosis,3.1719297753844864
Coefficient Variation,0.7644539255247839
Min,44.30402419
Max,605.20977085
Median,103.59261838
No. of Obs,525
08/2023,120.10245029
07/2023,115.53494031
06/2023,113.04823737
05/2023,145.15735396
04/2023,141.58893269
03/2023,140.27648955
02/2023,137.26387066
01/2023,134.00666428
12/2022,137.56702801
11/2022,140.53140442
10/2022,142.35997192
09/2022,140.0909153
08/2022,137.68346182
07/2022,137.89008903
06/2022,134.31850013
05/2022,132.42851642
04/2022,127.12770517
03/2022,124.68930387
02/2022,121.99157451
01/2022,121.13063334
12/2021,120.64141605
11/2021,119.00519946
10/2021,117.89594407
09/2021,116.99363457
08/2021,115.75157023
07/2021,114.94992488
06/2021,112.86497316
05/2021,111.86122123
04/2021,121.01823449
03/2021,120.10885138
02/2021,117.31212234
01/2021,115.84348
12/2020,115.23912663
11/2020,115.64411472
10/2020,114.79950734
09/2020,113.6778066
08/2020,112.76160376
07/2020,114.39574671
06/2020,119.25221557
05/2020,119.8861065
04/2020,118.35679824
03/2020,127.46653174
02/2020,132.57468378
01/2020,129.97011297
12/2019,130.11403003
11/2019,129.7162882
10/2019,129.33241993
09/2019,128.92866325
08/2019,127.16320741
07/2019,123.76646903
06/2019,123.06533444
05/2019,122.38102365
04/2019,119.81452954
03/2019,118.95404554
02/2019,118.6459797
01/2019,118.28056191
12/2018,118.38158066
11/2018,117.99432255
10/2018,116.98691328
09/2018,115.23424725
08/2018,114.00395577
07/2018,111.4257932
06/2018,108.30454375
05/2018,106.17880368
04/2018,103.59261838
03/2018,102.72042575
02/2018,101.79894088
01/2018,102.10777162
12/2017,103.77886654
11/2017,104.1965136
10/2017,103.48892355
09/2017,101.59696883
08/2017,101.77161492
07/2017,102.15202293
06/2017,101.86592973
05/2017,101.4493573
04/2017,100.66295033
03/2017,99.58727821
02/2017,98.86547421
01/2017,97.8531201
12/2016,97.656663
11/2016,95.42988457
10/2016,93.28697525
09/2016,91.34583266
08/2016,89.09408282
07/2016,93.3374904
06/2016,116.48489189
05/2016,134.58965511
04/2016,130.82395677
03/2016,130.64427483
02/2016,129.64717427
01/2016,127.87572894
12/2015,125.10238082
11/2015,123.15680064
10/2015,120.65691743
09/2015,120.53987509
08/2015,118.47386766
07/2015,115.96634063
06/2015,114.72826921
05/2015,113.75415456
04/2015,114.25582583
03/2015,113.94592988
02/2015,129.77142837
01/2015,127.81626054
12/2014,124.84961544
11/2014,130.07358628
10/2014,129.95582565
09/2014,128.07680295
08/2014,125.86458636
07/2014,124.43540068
06/2014,123.60886075
05/2014,122.70341595
04/2014,122.60370483
03/2014,122.05356512
02/2014,122.10592069
01/2014,121.47710504
12/2013,120.58627983
11/2013,120.22000962
10/2013,118.49348919
