,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Poland
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230560501
SR Code,SR3286810
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,89.1698974562278
Variance,176.7829740223892
Standard Deviation,13.295975858220757
Skewness,-1.0169048749300456
Kurtosis,0.9727008731558819
Coefficient Variation,0.14910834527703204
Min,42.25747151
Max,120.40245351
Median,92.66133304
No. of Obs,395
08/2023,107.63735993
07/2023,107.74158131
06/2023,106.59230373
05/2023,104.29141694
04/2023,102.28807249
03/2023,100.18286957
02/2023,98.66939706
01/2023,98.99711304
12/2022,97.91946986
11/2022,96.26042545
10/2022,93.38638844
09/2022,93.63217277
08/2022,93.33321502
07/2022,91.67281317
06/2022,94.75546991
05/2022,93.51355983
04/2022,93.11337824
03/2022,90.95569833
02/2022,93.61679949
01/2022,94.44702903
12/2021,92.91896208
11/2021,91.40280148
10/2021,92.4050521
09/2021,92.96718673
08/2021,92.47186668
07/2021,92.54129248
06/2021,93.65120287
05/2021,93.50207987
04/2021,92.43127981
03/2021,91.3420017
02/2021,93.08690354
01/2021,92.40688997
12/2020,93.94012525
11/2020,93.05097901
10/2020,92.45886028
09/2020,93.99246401
08/2020,95.32343607
07/2020,93.03402698
06/2020,92.85639443
05/2020,90.21462907
04/2020,90.01847091
03/2020,92.27546214
02/2020,93.85811061
01/2020,94.13235797
12/2019,93.3674894
11/2019,92.64789676
10/2019,92.43960848
09/2019,91.44921322
08/2019,91.88541612
07/2019,93.35480236
06/2019,93.36751256
05/2019,92.52289067
04/2019,92.20191309
03/2019,91.60136915
02/2019,91.41663552
01/2019,92.17630144
12/2018,92.74226145
11/2018,92.44176984
10/2018,92.72514989
09/2018,93.4655144
08/2018,93.01413844
07/2018,91.76789215
06/2018,91.90849432
05/2018,92.66133304
04/2018,95.00861744
03/2018,94.53506469
02/2018,95.80244308
01/2018,96.10181224
12/2017,94.76854805
11/2017,94.0671864
10/2017,92.84144693
09/2017,92.77529043
08/2017,92.6152474
07/2017,92.71425978
06/2017,92.60444202
05/2017,92.53278336
04/2017,90.94839357
03/2017,90.20381014
02/2017,89.77915357
01/2017,88.73780635
12/2016,87.05349075
11/2016,88.20731705
10/2016,89.88976503
09/2016,89.68649158
08/2016,90.15114542
07/2016,87.91237473
06/2016,88.085661
05/2016,88.03545486
04/2016,90.2037042
03/2016,90.43471977
02/2016,89.05554985
01/2016,88.67127958
12/2015,90.22718405
11/2015,90.3457531
10/2015,91.7302222
09/2015,93.09520567
08/2015,92.7927588
07/2015,92.51677249
06/2015,92.61158784
05/2015,94.00380643
04/2015,94.44048645
03/2015,92.93321247
02/2015,93.76708967
01/2015,92.31948813
12/2014,94.51259504
11/2014,96.25761122
10/2014,94.79093768
09/2014,95.51460399
08/2014,96.15468003
07/2014,97.63331697
06/2014,97.94644976
05/2014,97.54712646
04/2014,97.89009268
03/2014,98.05559375
02/2014,98.09544959
01/2014,97.9613521
12/2013,97.84964795
11/2013,97.13291324
10/2013,97.35225365
09/2013,95.88786472
08/2013,96.16241868
07/2013,94.53405418
06/2013,93.95642171
05/2013,95.86980185
04/2013,96.67950041
03/2013,96.08834847
02/2013,96.58529372
01/2013,97.10790133
12/2012,97.95411453
11/2012,96.33495272
10/2012,97.2157537
09/2012,96.43306441
08/2012,96.51214065
07/2012,94.75592283
06/2012,93.21605087
05/2012,93.82489262
04/2012,96.43966192
03/2012,97.34917324
02/2012,96.299277
01/2012,91.79427145
12/2011,90.44035249
11/2011,91.93160852
10/2011,93.21550181
09/2011,93.20837833
08/2011,98.32686962
07/2011,101.40319943
06/2011,102.16201273
05/2011,103.3373037
04/2011,102.3370125
03/2011,100.51320871
02/2011,101.76188488
01/2011,102.49334538
12/2010,99.55020068
11/2010,101.33084628
10/2010,101.92166513
09/2010,100.3393267
08/2010,99.00094512
07/2010,96.98823716
06/2010,95.62731567
05/2010,97.48431189
