,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Romania
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230653101
SR Code,SR3286824
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,87.41254258187347
Variance,334.9895313906613
Standard Deviation,18.302719234874946
Skewness,-0.9997647100184244
Kurtosis,0.21066795592213872
Coefficient Variation,0.20938321543195035
Min,29.59543097
Max,119.105466
Median,96.47675983
No. of Obs,395
08/2023,109.77372798
07/2023,109.68525583
06/2023,108.26479941
05/2023,107.27441522
04/2023,107.41944059
03/2023,106.92346975
02/2023,106.88236757
01/2023,106.07306794
12/2022,107.0730322
11/2022,106.02446464
10/2022,104.32623668
09/2022,104.21219535
08/2022,104.12230601
07/2022,102.85493661
06/2022,102.95611825
05/2022,102.4396541
04/2022,102.65844801
03/2022,100.77134039
02/2022,100.33343636
01/2022,100.42672527
12/2021,100.65442661
11/2021,99.94766388
10/2021,100.25988125
09/2021,99.42195047
08/2021,99.43470944
07/2021,99.45118354
06/2021,98.96856714
05/2021,99.04362039
04/2021,98.7628588
03/2021,99.35828393
02/2021,99.56366622
01/2021,99.85641424
12/2020,99.97092158
11/2020,99.36757412
10/2020,99.41481717
09/2020,99.69229322
08/2020,100.16078382
07/2020,99.14347841
06/2020,98.55417245
05/2020,98.04241985
04/2020,98.2710872
03/2020,97.70654482
02/2020,96.53502599
01/2020,96.52938134
12/2019,96.8822862
11/2019,96.82472699
10/2019,97.05264861
09/2019,97.52569339
08/2019,97.8265098
07/2019,97.36660276
06/2019,98.00146189
05/2019,97.3445232
04/2019,96.91393125
03/2019,96.78795833
02/2019,96.875659
01/2019,97.62185448
12/2018,98.36234853
11/2018,97.76217378
10/2018,98.27759322
09/2018,99.38209675
08/2018,98.74441368
07/2018,97.59988945
06/2018,97.28853461
05/2018,97.5790926
04/2018,97.39782013
03/2018,96.86342274
02/2018,96.86112921
01/2018,96.64706003
12/2017,96.4417617
11/2017,96.20697907
10/2017,96.58065906
09/2017,95.61609014
08/2017,95.83066006
07/2017,95.59106934
06/2017,94.46549707
05/2017,94.27483431
04/2017,93.92174043
03/2017,93.74865646
02/2017,94.41451185
01/2017,95.31602156
12/2016,95.60459659
11/2016,95.97460033
10/2016,96.23371164
09/2016,97.4550351
08/2016,97.47789795
07/2016,96.47675983
06/2016,95.90843098
05/2016,96.45033172
04/2016,96.84040894
