Date,REER
2023-08-31,120.10245029
2023-07-31,115.53494031
2023-06-30,113.04823737
2023-05-31,145.15735396
2023-04-30,141.58893269
2023-03-31,140.27648955
2023-02-28,137.26387066
2023-01-31,134.00666428
2022-12-31,137.56702801
2022-11-30,140.53140442
2022-10-31,142.35997192
2022-09-30,140.0909153
2022-08-31,137.68346182
2022-07-31,137.89008903
2022-06-30,134.31850013
2022-05-31,132.42851642
2022-04-30,127.12770517
2022-03-31,124.68930387
2022-02-28,121.99157451
2022-01-31,121.13063334
2021-12-31,120.64141605
2021-11-30,119.00519946
2021-10-31,117.89594407
2021-09-30,116.99363457
2021-08-31,115.75157023
2021-07-31,114.94992488
2021-06-30,112.86497316
2021-05-31,111.86122123
2021-04-30,121.01823449
2021-03-31,120.10885138
2021-02-28,117.31212234
2021-01-31,115.84348
2020-12-31,115.23912663
2020-11-30,115.64411472
2020-10-31,114.79950734
2020-09-30,113.6778066
2020-08-31,112.76160376
2020-07-31,114.39574671
2020-06-30,119.25221557
2020-05-31,119.8861065
2020-04-30,118.35679824
2020-03-31,127.46653174
2020-02-29,132.57468378
2020-01-31,129.97011297
2019-12-31,130.11403003
2019-11-30,129.7162882
2019-10-31,129.33241993
2019-09-30,128.92866325
2019-08-31,127.16320741
2019-07-31,123.76646903
2019-06-30,123.06533444
2019-05-31,122.38102365
2019-04-30,119.81452954
2019-03-31,118.95404554
2019-02-28,118.6459797
2019-01-31,118.28056191
2018-12-31,118.38158066
2018-11-30,117.99432255
2018-10-31,116.98691328
2018-09-30,115.23424725
2018-08-31,114.00395577
2018-07-31,111.4257932
2018-06-30,108.30454375
2018-05-31,106.17880368
2018-04-30,103.59261838
2018-03-31,102.72042575
2018-02-28,101.79894088
2018-01-31,102.10777162
2017-12-31,103.77886654
2017-11-30,104.1965136
2017-10-31,103.48892355
2017-09-30,101.59696883
2017-08-31,101.77161492
2017-07-31,102.15202293
2017-06-30,101.86592973
2017-05-31,101.4493573
2017-04-30,100.66295033
2017-03-31,99.58727821
2017-02-28,98.86547421
2017-01-31,97.8531201
2016-12-31,97.656663
2016-11-30,95.42988457
2016-10-31,93.28697525
2016-09-30,91.34583266
2016-08-31,89.09408282
2016-07-31,93.3374904
2016-06-30,116.48489189
2016-05-31,134.58965511
2016-04-30,130.82395677
2016-03-31,130.64427483
2016-02-29,129.64717427
2016-01-31,127.87572894
2015-12-31,125.10238082
2015-11-30,123.15680064
2015-10-31,120.65691743
2015-09-30,120.53987509
2015-08-31,118.47386766
2015-07-31,115.96634063
2015-06-30,114.72826921
2015-05-31,113.75415456
2015-04-30,114.25582583
2015-03-31,113.94592988
2015-02-28,129.77142837
2015-01-31,127.81626054
2014-12-31,124.84961544
2014-11-30,130.07358628
2014-10-31,129.95582565
2014-09-30,128.07680295
2014-08-31,125.86458636
2014-07-31,124.43540068
2014-06-30,123.60886075
2014-05-31,122.70341595
2014-04-30,122.60370483
2014-03-31,122.05356512
2014-02-28,122.10592069
2014-01-31,121.47710504
2013-12-31,120.58627983
2013-11-30,120.22000962
2013-10-31,118.49348919
2013-09-30,118.9333598
2013-08-31,118.57077379
2013-07-31,118.52320786
2013-06-30,117.43071235
2013-05-31,117.07641752
2013-04-30,116.4849279
2013-03-31,116.10060172
2013-02-28,114.24163765
2013-01-31,113.73809041
2012-12-31,113.9721592
2012-11-30,114.1408114
2012-10-31,112.48997639
2012-09-30,111.86982067
2012-08-31,112.2568539
2012-07-31,112.38473831
2012-06-30,112.05864414
2012-05-31,109.9362211
2012-04-30,107.77203793
2012-03-31,107.21876844
2012-02-29,105.36916357
2012-01-31,106.51279657
2011-12-31,103.72281196
2011-11-30,103.42429103
2011-10-31,104.22674059
2011-09-30,101.49422681
2011-08-31,99.61441996
2011-07-31,98.91789913
2011-06-30,97.40636546
2011-05-31,97.2496672
2011-04-30,97.38198906
2011-03-31,100.46854504
2011-02-28,100.85955578
2011-01-31,101.28071434
2010-12-31,102.04053515
2010-11-30,100.58708251
2010-10-31,99.11597868
2010-09-30,101.30726256
2010-08-31,102.26726369
2010-07-31,101.87254496
2010-06-30,103.1575746
2010-05-31,100.04098433
2010-04-30,98.3898458
2010-03-31,97.89729994
2010-02-28,98.02539243
2010-01-31,95.29823536
2009-12-31,94.27806443
2009-11-30,91.25119044
2009-10-31,91.57132946
2009-09-30,89.32995929
2009-08-31,90.03554766
2009-07-31,92.57314858
2009-06-30,92.04011813
2009-05-31,92.65703768
2009-04-30,94.12743688
2009-03-31,95.39364998
2009-02-28,95.13689086
2009-01-31,93.30950516
2008-12-31,106.41472722
2008-11-30,114.79388339
2008-10-31,110.14248905
2008-09-30,103.25629554
2008-08-31,99.0368838
2008-07-31,96.5338848
2008-06-30,96.45649427
2008-05-31,94.39911851
2008-04-30,92.63721178
2008-03-31,92.49132806
2008-02-29,93.97055281
