"Date","ten_yr_egypt","ten_yr_us","RiskPremium"
2012-04-30,13.6,1.95,11.65
2012-07-31,17,1.51,15.49
2012-09-30,17,1.65,15.35
2012-10-31,16.2,1.72,14.48
2012-11-30,16.7,1.62,15.08
2012-12-31,16.7,1.78,14.92
2013-01-31,16.35,2.02,14.33
2013-02-28,16.45,1.89,14.56
2013-03-31,16.7,1.87,14.83
2013-05-31,16.7,2.16,14.54
2013-06-30,16.65,2.52,14.13
2013-07-31,16.65,2.6,14.05
2013-08-31,16.4,2.78,13.62
2013-09-30,16.55,2.64,13.91
2013-10-31,16.1,2.57,13.53
2013-11-30,14.5,2.75,11.75
2013-12-31,14.5,3.04,11.46
2014-01-31,15.1,2.67,12.43
2014-02-28,15.05,2.66,12.39
2014-03-31,15.15,2.73,12.42
2014-04-30,15.4,2.67,12.73
2014-05-31,15.5,2.48,13.02
2014-06-30,15.45,2.53,12.92
2014-07-31,15.85,2.58,13.27
2014-08-31,15.9,2.35,13.55
2014-09-30,15.95,2.52,13.43
2014-10-31,15.98,2.35,13.63
2014-11-30,15.98,2.18,13.8
2014-12-31,14.9,2.17,12.73
2015-01-31,14.65,1.68,12.97
2015-02-28,14.2,2.03,12.17
2015-03-31,14.2,1.94,12.26
2015-04-30,14.45,2.05,12.4
2015-05-31,14.55,2.12,12.43
2015-06-30,14.65,2.35,12.3
2015-07-31,15,2.2,12.8
2015-08-31,15.4,2.21,13.19
2015-09-30,15.4,2.06,13.34
2015-10-31,15.41,2.16,13.25
2015-11-30,15.25,2.21,13.04
2015-12-31,15.54,2.27,13.27
2016-01-31,15.77,1.94,13.83
2016-02-29,15.85,1.74,14.11
2016-03-31,17.15,1.78,15.37
2016-04-30,17.29,1.83,15.46
2016-05-31,17.24,1.84,15.4
2016-06-30,17.97,1.49,16.48
2016-07-31,17.81,1.46,16.35
2016-08-31,17.59,1.58,16.01
2016-09-30,17.5,1.6,15.9
2016-10-31,17.4,1.84,15.56
2016-11-30,17.02,2.37,14.65
2016-12-31,17.15,2.45,14.7
2017-01-31,17.35,2.45,14.9
2017-02-28,16.95,2.36,14.59
2017-03-31,17.42,2.4,15.02
2017-04-30,17.13,2.29,14.84
2017-05-31,18.59,2.21,16.38
2017-06-30,18.37,2.31,16.06
2017-07-31,18.64,2.3,16.34
2017-08-31,16.84,2.12,14.72
2017-09-30,15.45,2.33,13.12
2017-10-31,15.65,2.38,13.27
2017-11-30,16.21,2.42,13.79
2017-12-31,16.18,2.4,13.78
2018-01-31,14.75,2.72,12.03
2018-02-28,14.8,2.87,11.93
2018-03-31,14.825,2.74,12.08
2018-04-30,14.875,2.95,11.93
2018-05-31,15.32,2.83,12.49
2018-06-30,16.95,2.85,14.1
2018-07-31,17.11,2.96,14.15
2018-08-31,18.15,2.86,15.29
2018-09-30,18.72,3.05,15.67
2018-10-31,18.05,3.15,14.9
2018-11-30,17.8,3.01,14.79
2018-12-31,18.106,2.69,15.42
2019-01-31,17.75,2.63,15.12
2019-02-28,17.6,2.73,14.87
2019-03-31,16.6,2.41,14.19
2019-04-30,16.3,2.51,13.79
2019-05-31,15.964,2.14,13.82
2019-06-30,15.73,2,13.73
2019-07-31,15.73,2.02,13.71
2019-08-31,14.71,1.5,13.21
2019-09-30,13.9,1.68,12.22
2019-10-31,14.16,1.69,12.47
2019-11-30,13.883,1.78,12.1
2019-12-31,13.702,1.92,11.78
2020-01-31,13.65,1.51,12.14
2020-02-29,13.65,1.13,12.52
2020-03-31,14.954,0.7,14.25
2020-04-30,13.6,0.64,12.96
2020-05-31,13.997,0.65,13.35
2020-06-30,13.911,0.66,13.25
2020-07-31,14.459,0.55,13.91
2020-08-31,14.747,0.72,14.03
2020-09-30,14.578,0.69,13.89
2020-10-31,14.687,0.88,13.81
2020-11-30,14.478,0.84,13.64
2020-12-31,14.481,0.93,13.55
2021-01-31,14.481,1.11,13.37
2021-02-28,14.649,1.44,13.21
2021-03-31,14.915,1.74,13.17
2021-04-30,15.349,1.65,13.7
2021-05-31,14.894,1.58,13.31
2021-06-30,14.823,1.45,13.37
2021-07-31,15.316,1.24,14.08
2021-08-31,15.272,1.3,13.97
2021-09-30,14.88,1.52,13.36
2021-10-31,14.913,1.55,13.36
2021-11-30,14.915,1.43,13.48
2021-12-31,14.893,1.52,13.37
2022-01-31,14.893,1.79,13.1
2022-02-28,14.891,1.83,13.06
2022-03-31,15.51,2.32,13.19
2022-04-30,15.27,2.89,12.38
2022-05-31,17.28,2.85,14.43
2022-06-30,17.017,2.98,14.04
2022-07-31,17.994,2.67,15.32
2022-08-31,18.565,3.15,15.42
2022-09-30,18.718,3.83,14.89
2022-10-31,18.03,4.1,13.93
2022-11-30,18.55,3.68,14.87
2022-12-31,18.3,3.88,14.42
2023-01-31,19.87,3.52,16.35
2023-02-28,21.1,3.92,17.18
2023-03-31,22.42,3.48,18.94
2023-04-30,23.53,3.44,20.09
2023-05-31,23.98,3.64,20.34
2023-06-30,22.73,3.81,18.92
2023-07-31,23.21,3.97,19.24
2023-08-31,24,4.09,19.91
2023-09-30,25.418,4.59,20.83
